version,1.7.0
info,balls_per_over,6
info,team,Middlesex
info,team,Yorkshire
info,gender,male
info,season,2025
info,date,2025/08/17
info,event,One-Day Cup
info,venue,"Radlett Cricket Club, Radlett"
info,city,Radlett
info,toss_winner,Middlesex
info,toss_decision,bat
info,umpire,GD Cross
info,umpire,Hassan Adnan
info,match_referee,SJ Davis
info,winner,Yorkshire
info,winner_wickets,7
info,player,Middlesex,JB Cracknell
info,player,Middlesex,JM De Caires
info,player,Middlesex,SD Robson
info,player,Middlesex,BBA Geddes
info,player,Middlesex,JLB Davies
info,player,Middlesex,LBK Hollman
info,player,Middlesex,N Fernandes
info,player,Middlesex,TS Roland-Jones
info,player,Middlesex,HJH Brookes
info,player,Middlesex,NB Cornwell
info,player,Middlesex,NN Gilchrist
info,player,Yorkshire,A Lyth
info,player,Yorkshire,Imam-ul-Haq
info,player,Yorkshire,W Luxton
info,player,Yorkshire,JH Wharton
info,player,Yorkshire,HG Duke
info,player,Yorkshire,GCH Hill
info,player,Yorkshire,DM Bess
info,player,Yorkshire,ME Milnes
info,player,Yorkshire,D Moriarty
info,player,Yorkshire,BO Coad
info,player,Yorkshire,CJ White
info,registry,people,A Lyth,70b8fd28
info,registry,people,BBA Geddes,305c31f2
info,registry,people,BO Coad,a37b5c0a
info,registry,people,CJ White,5a74e559
info,registry,people,D Moriarty,6ea2710f
info,registry,people,DM Bess,ad46c747
info,registry,people,GCH Hill,214f6461
info,registry,people,GD Cross,776fbf9b
info,registry,people,HG Duke,443b47a6
info,registry,people,HJH Brookes,2085e1fa
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,Imam-ul-Haq,40c041ea
info,registry,people,JB Cracknell,dd6e32da
info,registry,people,JH Wharton,42a5c1c7
info,registry,people,JLB Davies,76dc16d4
info,registry,people,JM De Caires,8cbcff3b
info,registry,people,LBK Hollman,bdc0670a
info,registry,people,ME Milnes,3dcd1e8d
info,registry,people,N Fernandes,01561e94
info,registry,people,NB Cornwell,8f08313a
info,registry,people,NN Gilchrist,93cad673
info,registry,people,SD Robson,76cb1a7f
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,TS Roland-Jones,6c6aca89
info,registry,people,W Luxton,c15fb753
ball,1,0.1,Middlesex,JB Cracknell,JM De Caires,CJ White,0,0,,,,,,"",""
ball,1,0.2,Middlesex,JB Cracknell,JM De Caires,CJ White,1,0,,,,,,"",""
ball,1,0.3,Middlesex,JM De Caires,JB Cracknell,CJ White,0,0,,,,,,bowled,JM De Caires
ball,1,0.4,Middlesex,SD Robson,JB Cracknell,CJ White,0,0,,,,,,"",""
ball,1,0.5,Middlesex,SD Robson,JB Cracknell,CJ White,0,0,,,,,,"",""
ball,1,0.6,Middlesex,SD Robson,JB Cracknell,CJ White,0,0,,,,,,"",""
ball,1,1.1,Middlesex,JB Cracknell,SD Robson,BO Coad,0,0,,,,,,caught,JB Cracknell
ball,1,1.2,Middlesex,BBA Geddes,SD Robson,BO Coad,0,0,,,,,,"",""
ball,1,1.3,Middlesex,BBA Geddes,SD Robson,BO Coad,0,0,,,,,,"",""
ball,1,1.4,Middlesex,BBA Geddes,SD Robson,BO Coad,1,0,,,,,,"",""
ball,1,1.5,Middlesex,SD Robson,BBA Geddes,BO Coad,0,0,,,,,,"",""
ball,1,1.6,Middlesex,SD Robson,BBA Geddes,BO Coad,0,0,,,,,,"",""
ball,1,2.1,Middlesex,BBA Geddes,SD Robson,CJ White,0,0,,,,,,"",""
ball,1,2.2,Middlesex,BBA Geddes,SD Robson,CJ White,0,0,,,,,,"",""
ball,1,2.3,Middlesex,BBA Geddes,SD Robson,CJ White,0,0,,,,,,"",""
ball,1,2.4,Middlesex,BBA Geddes,SD Robson,CJ White,1,0,,,,,,"",""
ball,1,2.5,Middlesex,SD Robson,BBA Geddes,CJ White,0,0,,,,,,"",""
ball,1,2.6,Middlesex,SD Robson,BBA Geddes,CJ White,0,0,,,,,,"",""
ball,1,3.1,Middlesex,BBA Geddes,SD Robson,BO Coad,0,0,,,,,,"",""
ball,1,3.2,Middlesex,BBA Geddes,SD Robson,BO Coad,1,0,,,,,,"",""
ball,1,3.3,Middlesex,SD Robson,BBA Geddes,BO Coad,0,1,,,,1,,"",""
ball,1,3.4,Middlesex,BBA Geddes,SD Robson,BO Coad,0,0,,,,,,caught,BBA Geddes
ball,1,3.5,Middlesex,JLB Davies,SD Robson,BO Coad,0,0,,,,,,"",""
