version,1.7.0
info,balls_per_over,6
info,team,MI Emirates
info,team,Gulf Giants
info,gender,male
info,season,2025/26
info,date,2025/12/04
info,event,International League T20
info,match_number,3
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Gulf Giants
info,toss_decision,field
info,player_of_match,P Nissanka
info,umpire,Aasif Iqbal
info,umpire,WR Knights
info,reserve_umpire,MJ Saggers
info,tv_umpire,LS Reifer
info,match_referee,RS Mahanama
info,winner,Gulf Giants
info,winner_wickets,6
info,player,MI Emirates,Fazalhaq Farooqi
info,player,MI Emirates,Waseem Muhammad
info,player,MI Emirates,JM Bairstow
info,player,MI Emirates,T Banton
info,player,MI Emirates,N Pooran
info,player,MI Emirates,Tajinder Singh
info,player,MI Emirates,KA Pollard
info,player,MI Emirates,R Shepherd
info,player,MI Emirates,Rashid Khan
info,player,MI Emirates,Muhammad Rohid
info,player,MI Emirates,CR Woakes
info,player,MI Emirates,AM Ghazanfar
info,player,Gulf Giants,T Shamsi
info,player,Gulf Giants,P Nissanka
info,player,Gulf Giants,Rahmanullah Gurbaz
info,player,Gulf Giants,MG Erasmus
info,player,Gulf Giants,MM Ali
info,player,Gulf Giants,Azmatullah Omarzai
info,player,Gulf Giants,TJ Moores
info,player,Gulf Giants,Asif Khan
info,player,Gulf Giants,Haider Razzaq
info,player,Gulf Giants,MW Forde
info,player,Gulf Giants,LA Dawson
info,player,Gulf Giants,N Thushara
info,registry,people,AM Ghazanfar,9ca68676
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Asif Khan,074acfb4
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,CR Woakes,4c5d73db
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Haider Razzaq,695b4273
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LA Dawson,4a461c24
info,registry,people,LS Reifer,5dee559a
info,registry,people,MG Erasmus,95a5e066
info,registry,people,MJ Saggers,402d5937
info,registry,people,MM Ali,bb351c23
info,registry,people,MW Forde,83d17bbc
info,registry,people,Muhammad Rohid,9103ecdb
info,registry,people,N Pooran,3241e3fd
info,registry,people,N Thushara,ee1b6c27
info,registry,people,P Nissanka,8ee36b18
info,registry,people,R Shepherd,c5aef772
info,registry,people,RS Mahanama,57910393
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SR Dickson,2344bdd1
info,registry,people,T Banton,25f7b7d6
info,registry,people,T Shamsi,a03bba42
info,registry,people,TJ Moores,85dcb721
info,registry,people,Tajinder Singh,f9d99806
info,registry,people,WR Knights,63cbf8d8
info,registry,people,Waseem Muhammad,6f02fe2a
ball,1,0.1,MI Emirates,Waseem Muhammad,JM Bairstow,N Thushara,1,0,,,,,,"",""
ball,1,0.2,MI Emirates,JM Bairstow,Waseem Muhammad,N Thushara,0,0,,,,,,"",""
ball,1,0.3,MI Emirates,JM Bairstow,Waseem Muhammad,N Thushara,1,0,,,,,,"",""
ball,1,0.4,MI Emirates,Waseem Muhammad,JM Bairstow,N Thushara,0,0,,,,,,caught and bowled,Waseem Muhammad
ball,1,0.5,MI Emirates,T Banton,JM Bairstow,N Thushara,0,0,,,,,,"",""
ball,1,0.6,MI Emirates,T Banton,JM Bairstow,N Thushara,0,0,,,,,,"",""
ball,1,1.1,MI Emirates,JM Bairstow,T Banton,MW Forde,0,1,1,,,,,"",""
ball,1,1.2,MI Emirates,JM Bairstow,T Banton,MW Forde,0,0,,,,,,"",""
ball,1,1.3,MI Emirates,JM Bairstow,T Banton,MW Forde,1,0,,,,,,"",""
ball,1,1.4,MI Emirates,T Banton,JM Bairstow,MW Forde,1,0,,,,,,"",""
ball,1,1.5,MI Emirates,JM Bairstow,T Banton,MW Forde,0,1,,,,1,,"",""
ball,1,1.6,MI Emirates,T Banton,JM Bairstow,MW Forde,0,0,,,,,,"",""
ball,1,1.7,MI Emirates,T Banton,JM Bairstow,MW Forde,4,0,,,,,,"",""
ball,1,2.1,MI Emirates,JM Bairstow,T Banton,Azmatullah Omarzai,0,1,,,,1,,"",""
ball,1,2.2,MI Emirates,T Banton,JM Bairstow,Azmatullah Omarzai,0,0,,,,,,"",""
ball,1,2.3,MI Emirates,T Banton,JM Bairstow,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,2.4,MI Emirates,JM Bairstow,T Banton,Azmatullah Omarzai,4,0,,,,,,"",""
ball,1,2.5,MI Emirates,JM Bairstow,T Banton,Azmatullah Omarzai,1,0,,,,,,"",""
ball,1,2.6,MI Emirates,T Banton,JM Bairstow,Azmatullah Omarzai,0,0,,,,,,bowled,T Banton
ball,1,3.1,MI Emirates,JM Bairstow,N Pooran,MW Forde,1,0,,,,,,"",""
ball,1,3.2,MI Emirates,N Pooran,JM Bairstow,MW Forde,0,1,1,,,,,"",""
ball,1,3.3,MI Emirates,N Pooran,JM Bairstow,MW Forde,0,0,,,,,,"",""
ball,1,3.4,MI Emirates,N Pooran,JM Bairstow,MW Forde,1,0,,,,,,"",""
ball,1,3.5,MI Emirates,JM Bairstow,N Pooran,MW Forde,1,0,,,,,,"",""
ball,1,3.6,MI Emirates,N Pooran,JM Bairstow,MW Forde,0,0,,,,,,"",""
ball,1,3.7,MI Emirates,N Pooran,JM Bairstow,MW Forde,0,2,2,,,,,"",""
