version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bangalore
info,team,Mumbai Indians
info,gender,female
info,season,2022/23
info,date,2023/03/06
info,event,Women's Premier League
info,match_number,4
info,venue,"Brabourne Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,bat
info,player_of_match,HK Matthews
info,umpire,PG Pathak
info,umpire,Ranjeev Sharma
info,reserve_umpire,Sanjay Kumar Singh
info,tv_umpire,Saurabh Dhote
info,match_referee,VR Nagre
info,winner,Mumbai Indians
info,winner_wickets,9
info,player,Royal Challengers Bangalore,S Mandhana
info,player,Royal Challengers Bangalore,SFM Devine
info,player,Royal Challengers Bangalore,DD Kasat
info,player,Royal Challengers Bangalore,EA Perry
info,player,Royal Challengers Bangalore,HC Knight
info,player,Royal Challengers Bangalore,RM Ghosh
info,player,Royal Challengers Bangalore,KS Ahuja
info,player,Royal Challengers Bangalore,SR Patil
info,player,Royal Challengers Bangalore,ML Schutt
info,player,Royal Challengers Bangalore,Renuka Singh
info,player,Royal Challengers Bangalore,Preeti Bose
info,player,Mumbai Indians,HK Matthews
info,player,Mumbai Indians,YH Bhatia
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,P Vastrakar
info,player,Mumbai Indians,IECM Wong
info,player,Mumbai Indians,HY Kazi
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,JN Kalita
info,player,Mumbai Indians,S Ishaque
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,DD Kasat,fc0155d9
info,registry,people,EA Perry,be150fc8
info,registry,people,H Kaur,53cd8da6
info,registry,people,HC Knight,4ba0289e
info,registry,people,HK Matthews,d32cf49a
info,registry,people,HY Kazi,16954a36
info,registry,people,IECM Wong,e5b17517
info,registry,people,JN Kalita,4c3bbf03
info,registry,people,KS Ahuja,58593620
info,registry,people,ML Schutt,17608a6f
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Vastrakar,8026ea72
info,registry,people,PG Pathak,9f772ec5
info,registry,people,Preeti Bose,ca1a3105
info,registry,people,RM Ghosh,721e0199
info,registry,people,Ranjeev Sharma,d334aee7
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Ishaque,f2c1f0e5
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SFM Devine,de69af96
info,registry,people,SR Patil,33946d69
info,registry,people,Sanjay Kumar Singh,ccb9d6a6
info,registry,people,Saurabh Dhote,afe4ec5a
info,registry,people,VR Nagre,fadaac76
info,registry,people,YH Bhatia,9c3d4e8a
ball,1,0.1,Royal Challengers Bangalore,S Mandhana,SFM Devine,HK Matthews,0,0,,,,,,"",""
ball,1,0.2,Royal Challengers Bangalore,S Mandhana,SFM Devine,HK Matthews,4,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bangalore,S Mandhana,SFM Devine,HK Matthews,0,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bangalore,S Mandhana,SFM Devine,HK Matthews,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bangalore,S Mandhana,SFM Devine,HK Matthews,1,0,,,,,,"",""
ball,1,0.6,Royal Challengers Bangalore,SFM Devine,S Mandhana,HK Matthews,6,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bangalore,S Mandhana,SFM Devine,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bangalore,S Mandhana,SFM Devine,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bangalore,S Mandhana,SFM Devine,NR Sciver-Brunt,4,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bangalore,S Mandhana,SFM Devine,NR Sciver-Brunt,2,0,,,,,,"",""
ball,1,1.5,Royal Challengers Bangalore,S Mandhana,SFM Devine,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bangalore,S Mandhana,SFM Devine,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bangalore,SFM Devine,S Mandhana,S Ishaque,4,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bangalore,SFM Devine,S Mandhana,S Ishaque,0,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bangalore,SFM Devine,S Mandhana,S Ishaque,0,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bangalore,SFM Devine,S Mandhana,S Ishaque,0,0,,,,,,"",""
ball,1,2.5,Royal Challengers Bangalore,SFM Devine,S Mandhana,S Ishaque,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bangalore,SFM Devine,S Mandhana,S Ishaque,1,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bangalore,SFM Devine,S Mandhana,IECM Wong,0,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bangalore,SFM Devine,S Mandhana,IECM Wong,1,0,,,,,,"",""
ball,1,3.3,Royal Challengers Bangalore,S Mandhana,SFM Devine,IECM Wong,4,0,,,,,,"",""
ball,1,3.4,Royal Challengers Bangalore,S Mandhana,SFM Devine,IECM Wong,0,0,,,,,,"",""
ball,1,3.5,Royal Challengers Bangalore,S Mandhana,SFM Devine,IECM Wong,4,0,,,,,,"",""
