version,1.7.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Delhi Capitals
info,gender,female
info,season,2025/26
info,date,2026/01/24
info,event,Women's Premier League
info,match_number,15
info,venue,"Kotambi Stadium, Vadodara"
info,city,Vadodara
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,M Kapp
info,umpire,AK Argal
info,umpire,AS Guha
info,reserve_umpire,T Ematty
info,tv_umpire,Anish Sahasrabudhe
info,match_referee,VR Nagre
info,winner,Delhi Capitals
info,winner_wickets,7
info,player,Royal Challengers Bengaluru,GM Harris
info,player,Royal Challengers Bengaluru,S Mandhana
info,player,Royal Challengers Bengaluru,G Voll
info,player,Royal Challengers Bengaluru,GJ Naik
info,player,Royal Challengers Bengaluru,RM Ghosh
info,player,Royal Challengers Bengaluru,RP Yadav
info,player,Royal Challengers Bengaluru,N de Klerk
info,player,Royal Challengers Bengaluru,A Reddy
info,player,Royal Challengers Bengaluru,SG Satghare
info,player,Royal Challengers Bengaluru,SR Patil
info,player,Royal Challengers Bengaluru,LK Bell
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,L Lee
info,player,Delhi Capitals,L Wolvaardt
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,NS Prasad
info,player,Delhi Capitals,CA Henry
info,player,Delhi Capitals,S Rana
info,player,Delhi Capitals,M Mani
info,player,Delhi Capitals,N Shree Charani
info,player,Delhi Capitals,NSS Sharma
info,registry,people,A Reddy,eadc8924
info,registry,people,AK Argal,0ee78cf3
info,registry,people,AS Guha,c21b184d
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,CA Henry,75820733
info,registry,people,G Voll,5c30d455
info,registry,people,GJ Naik,52183095
info,registry,people,GM Harris,72166006
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LK Bell,38b4583c
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Mani,8d1ade08
info,registry,people,N Shree Charani,583ce32c
info,registry,people,N de Klerk,ea544967
info,registry,people,NS Prasad,f903aec2
info,registry,people,NSS Sharma,5f22ccae
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Rana,c4c374d9
info,registry,people,SG Satghare,3708b522
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
info,registry,people,T Ematty,e995f8e9
info,registry,people,VR Nagre,fadaac76
ball,1,0.1,Royal Challengers Bengaluru,GM Harris,S Mandhana,CA Henry,0,1,,,,1,,"",""
ball,1,0.2,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,0,0,,,,,,"",""
ball,1,0.3,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,4,0,,,,,,"",""
ball,1,0.4,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,0,0,,,,,,"",""
ball,1,0.5,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,0,1,,,,1,,"",""
ball,1,0.6,Royal Challengers Bengaluru,GM Harris,S Mandhana,CA Henry,0,0,,,,,,"",""
ball,1,1.1,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,0,,,,,,"",""
ball,1,1.2,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,0,,,,,,"",""
ball,1,1.3,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,0,,,,,,"",""
ball,1,1.4,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,1,1,,,,,"",""
ball,1,1.5,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,0,,,,,,"",""
ball,1,1.6,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,0,,,,,,"",""
ball,1,1.7,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,1,,1,,,,"",""
ball,1,1.8,Royal Challengers Bengaluru,S Mandhana,GM Harris,M Kapp,0,0,,,,,,"",""
ball,1,2.1,Royal Challengers Bengaluru,GM Harris,S Mandhana,CA Henry,0,0,,,,,,"",""
ball,1,2.2,Royal Challengers Bengaluru,GM Harris,S Mandhana,CA Henry,1,0,,,,,,"",""
ball,1,2.3,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,1,0,,,,,,"",""
ball,1,2.4,Royal Challengers Bengaluru,GM Harris,S Mandhana,CA Henry,0,2,2,,,,,"",""
ball,1,2.5,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,0,0,,,,,,"",""
ball,1,2.6,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,4,0,,,,,,"",""
ball,1,2.7,Royal Challengers Bengaluru,S Mandhana,GM Harris,CA Henry,4,0,,,,,,"",""
ball,1,3.1,Royal Challengers Bengaluru,GM Harris,S Mandhana,M Kapp,4,0,,,,,,"",""
ball,1,3.2,Royal Challengers Bengaluru,GM Harris,S Mandhana,M Kapp,0,0,,,,,,"",""
