version,1.7.0
info,balls_per_over,6
info,team,Pretoria Capitals
info,team,Paarl Royals
info,gender,male
info,season,2025/26
info,date,2026/01/15
info,event,SA20
info,match_number,25
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,Pretoria Capitals
info,toss_decision,bat
info,player_of_match,OEG Baartman
info,umpire,DJ Smith
info,umpire,Siphelele Gasa
info,reserve_umpire,MN Gampu
info,tv_umpire,BP Jele
info,match_referee,SB Lambson
info,winner,Paarl Royals
info,winner_wickets,6
info,player,Pretoria Capitals,C Esterhuizen
info,player,Pretoria Capitals,SD Hope
info,player,Pretoria Capitals,JM Cox
info,player,Pretoria Capitals,WJ Lubbe
info,player,Pretoria Capitals,D Brevis
info,player,Pretoria Capitals,SE Rutherford
info,player,Pretoria Capitals,AD Russell
info,player,Pretoria Capitals,KA Maharaj
info,player,Pretoria Capitals,LB Williams
info,player,Pretoria Capitals,L Ngidi
info,player,Pretoria Capitals,GG Peters
info,player,Paarl Royals,LG Pretorius
info,player,Paarl Royals,AM Tribe
info,player,Paarl Royals,RA Herman
info,player,Paarl Royals,DW Lawrence
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,Sikandar Raza
info,player,Paarl Royals,D Potgieter
info,player,Paarl Royals,GC Viljoen
info,player,Paarl Royals,Waqar Salamkheil
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,OEG Baartman
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Tribe,86f84b37
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Esterhuizen,ef9acbcc
info,registry,people,D Brevis,844e79d1
info,registry,people,D Potgieter,60fbf53a
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Smith,d17bec15
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,GC Viljoen,a316d663
info,registry,people,GG Peters,360f4e4b
info,registry,people,JM Cox,ff154ecd
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,L Ngidi,f834dcfc
info,registry,people,LB Williams,a1d95bd8
info,registry,people,LG Pretorius,60aa2db3
info,registry,people,MN Gampu,41597619
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,RA Herman,9c821d2e
info,registry,people,SB Lambson,4146063f
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,WJ Lubbe,10f42013
info,registry,people,Waqar Salamkheil,3f1066d0
ball,1,0.1,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,0,0,,,,,,"",""
ball,1,0.2,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,0,0,,,,,,"",""
ball,1,0.3,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,4,0,,,,,,"",""
ball,1,0.4,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,0,0,,,,,,"",""
ball,1,0.5,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,4,0,,,,,,"",""
ball,1,0.6,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,0,0,,,,,,"",""
ball,1,1.1,Pretoria Capitals,SD Hope,C Esterhuizen,GC Viljoen,0,0,,,,,,"",""
ball,1,1.2,Pretoria Capitals,SD Hope,C Esterhuizen,GC Viljoen,0,0,,,,,,"",""
ball,1,1.3,Pretoria Capitals,SD Hope,C Esterhuizen,GC Viljoen,1,0,,,,,,"",""
ball,1,1.4,Pretoria Capitals,C Esterhuizen,SD Hope,GC Viljoen,0,0,,,,,,"",""
ball,1,1.5,Pretoria Capitals,C Esterhuizen,SD Hope,GC Viljoen,0,5,5,,,,,"",""
ball,1,1.6,Pretoria Capitals,C Esterhuizen,SD Hope,GC Viljoen,0,0,,,,,,"",""
ball,1,1.7,Pretoria Capitals,C Esterhuizen,SD Hope,GC Viljoen,0,5,5,,,,,"",""
ball,1,1.8,Pretoria Capitals,C Esterhuizen,SD Hope,GC Viljoen,0,0,,,,,,"",""
ball,1,2.1,Pretoria Capitals,SD Hope,C Esterhuizen,BC Fortuin,0,0,,,,,,"",""
ball,1,2.2,Pretoria Capitals,SD Hope,C Esterhuizen,BC Fortuin,6,0,,,,,,"",""
ball,1,2.3,Pretoria Capitals,SD Hope,C Esterhuizen,BC Fortuin,0,1,1,,,,,"",""
ball,1,2.4,Pretoria Capitals,SD Hope,C Esterhuizen,BC Fortuin,1,0,,,,,,"",""
ball,1,2.5,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,0,2,,,,2,,"",""
ball,1,2.6,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,0,0,,,,,,"",""
ball,1,2.7,Pretoria Capitals,C Esterhuizen,SD Hope,BC Fortuin,0,1,,,,1,,"",""
ball,1,3.1,Pretoria Capitals,C Esterhuizen,SD Hope,OEG Baartman,0,0,,,,,,bowled,C Esterhuizen
