version,1.7.0
info,balls_per_over,6
info,team,Somerset
info,team,Glamorgan
info,gender,male
info,season,2018
info,date,2018/05/20
info,event,Royal London One-Day Cup
info,venue,"The Cooper Associates County Ground, Taunton"
info,city,Taunton
info,toss_winner,Glamorgan
info,toss_decision,field
info,umpire,JW Lloyds
info,umpire,RJ Warren
info,winner,Somerset
info,winner_runs,83
info,player,Somerset,JG Myburgh
info,player,Somerset,SM Davies
info,player,Somerset,PD Trego
info,player,Somerset,JC Hildreth
info,player,Somerset,T Banton
info,player,Somerset,TB Abell
info,player,Somerset,RE van der Merwe
info,player,Somerset,C Overton
info,player,Somerset,TD Groenewald
info,player,Somerset,MTC Waller
info,player,Somerset,JH Davey
info,player,Glamorgan,NJ Selman
info,player,Glamorgan,JR Murphy
info,player,Glamorgan,SE Marsh
info,player,Glamorgan,CA Ingram
info,player,Glamorgan,DL Lloyd
info,player,Glamorgan,CB Cooke
info,player,Glamorgan,M de Lange
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,AG Salter
info,player,Glamorgan,LJ Carey
info,player,Glamorgan,MG Hogan
info,registry,people,AG Salter,1a45b864
info,registry,people,C Overton,e9987a94
info,registry,people,CA Ingram,c995d726
info,registry,people,CB Cooke,6755cd5c
info,registry,people,DL Lloyd,0c7f11be
info,registry,people,GG Wagg,450f6fa6
info,registry,people,J Overton,59559bc2
info,registry,people,JC Hildreth,782c0568
info,registry,people,JG Myburgh,47b4ad09
info,registry,people,JH Davey,d3868bd0
info,registry,people,JR Murphy,1a25a6b5
info,registry,people,JW Lloyds,112b8472
info,registry,people,LJ Carey,5e6d1a54
info,registry,people,M de Lange,d4eef961
info,registry,people,MG Hogan,5da34add
info,registry,people,MTC Waller,d74d1090
info,registry,people,NJ Selman,bab08c8b
info,registry,people,PD Trego,93e06301
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,SE Marsh,508a1ea7
info,registry,people,SM Davies,8fc65c2b
info,registry,people,T Banton,25f7b7d6
info,registry,people,TB Abell,ba9258a7
info,registry,people,TD Groenewald,dddc811c
ball,1,0.1,Somerset,JG Myburgh,SM Davies,LJ Carey,0,0,,,,,,"",""
ball,1,0.2,Somerset,JG Myburgh,SM Davies,LJ Carey,0,0,,,,,,"",""
ball,1,0.3,Somerset,JG Myburgh,SM Davies,LJ Carey,0,0,,,,,,"",""
ball,1,0.4,Somerset,JG Myburgh,SM Davies,LJ Carey,4,0,,,,,,"",""
ball,1,0.5,Somerset,JG Myburgh,SM Davies,LJ Carey,0,0,,,,,,"",""
ball,1,0.6,Somerset,JG Myburgh,SM Davies,LJ Carey,0,0,,,,,,"",""
ball,1,1.1,Somerset,SM Davies,JG Myburgh,M de Lange,0,0,,,,,,"",""
ball,1,1.2,Somerset,SM Davies,JG Myburgh,M de Lange,0,0,,,,,,"",""
ball,1,1.3,Somerset,SM Davies,JG Myburgh,M de Lange,3,0,,,,,,"",""
ball,1,1.4,Somerset,JG Myburgh,SM Davies,M de Lange,0,0,,,,,,"",""
ball,1,1.5,Somerset,JG Myburgh,SM Davies,M de Lange,0,0,,,,,,"",""
ball,1,1.6,Somerset,JG Myburgh,SM Davies,M de Lange,0,0,,,,,,"",""
ball,1,2.1,Somerset,SM Davies,JG Myburgh,LJ Carey,0,0,,,,,,"",""
ball,1,2.2,Somerset,SM Davies,JG Myburgh,LJ Carey,4,0,,,,,,"",""
ball,1,2.3,Somerset,SM Davies,JG Myburgh,LJ Carey,1,0,,,,,,"",""
ball,1,2.4,Somerset,JG Myburgh,SM Davies,LJ Carey,4,0,,,,,,"",""
ball,1,2.5,Somerset,JG Myburgh,SM Davies,LJ Carey,0,0,,,,,,"",""
ball,1,2.6,Somerset,JG Myburgh,SM Davies,LJ Carey,0,0,,,,,,"",""
ball,1,3.1,Somerset,SM Davies,JG Myburgh,M de Lange,0,0,,,,,,"",""
ball,1,3.2,Somerset,SM Davies,JG Myburgh,M de Lange,6,0,,,,,,"",""
ball,1,3.3,Somerset,SM Davies,JG Myburgh,M de Lange,4,0,,,,,,"",""
ball,1,3.4,Somerset,SM Davies,JG Myburgh,M de Lange,4,0,,,,,,"",""
ball,1,3.5,Somerset,SM Davies,JG Myburgh,M de Lange,0,0,,,,,,"",""
ball,1,3.6,Somerset,SM Davies,JG Myburgh,M de Lange,0,0,,,,,,"",""
ball,1,4.1,Somerset,JG Myburgh,SM Davies,LJ Carey,1,0,,,,,,"",""
ball,1,4.2,Somerset,SM Davies,JG Myburgh,LJ Carey,0,0,,,,,,"",""
ball,1,4.3,Somerset,SM Davies,JG Myburgh,LJ Carey,2,0,,,,,,"",""
ball,1,4.4,Somerset,SM Davies,JG Myburgh,LJ Carey,0,0,,,,,,"",""
ball,1,4.5,Somerset,SM Davies,JG Myburgh,LJ Carey,0,0,,,,,,"",""
ball,1,4.6,Somerset,SM Davies,JG Myburgh,LJ Carey,0,0,,,,,,"",""
