version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,male
info,season,2023/24
info,date,2023/11/02
info,event,ICC Cricket World Cup
info,match_number,33
info,venue,"Wankhede Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,Mohammed Shami
info,umpire,CM Brown
info,umpire,PR Reiffel
info,reserve_umpire,RK Illingworth
info,tv_umpire,RJ Tucker
info,match_referee,JJ Crowe
info,winner,India
info,winner_runs,302
info,player,India,RG Sharma
info,player,India,Shubman Gill
info,player,India,V Kohli
info,player,India,SS Iyer
info,player,India,KL Rahul
info,player,India,SA Yadav
info,player,India,RA Jadeja
info,player,India,Mohammed Shami
info,player,India,JJ Bumrah
info,player,India,Kuldeep Yadav
info,player,India,Mohammed Siraj
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,MADI Hemantha
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,CAK Rajitha
info,player,Sri Lanka,D Madushanka
info,registry,people,AD Mathews,896d78ad
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,CM Brown,448f4f1c
info,registry,people,D Madushanka,de7d833e
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JJ Crowe,2e760301
info,registry,people,KIC Asalanka,732c038e
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Theekshana,f24c6701
info,registry,people,MADI Hemantha,58431ca0
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PR Reiffel,c9354f29
info,registry,people,PVD Chameera,327b58d3
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RK Illingworth,20672246
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,SA Yadav,271f83cd
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Shubman Gill,b4b99816
info,registry,people,V Kohli,ba607b88
ball,1,0.1,India,RG Sharma,Shubman Gill,D Madushanka,4,0,,,,,,"",""
ball,1,0.2,India,RG Sharma,Shubman Gill,D Madushanka,0,0,,,,,,bowled,RG Sharma
ball,1,0.3,India,V Kohli,Shubman Gill,D Madushanka,0,0,,,,,,"",""
ball,1,0.4,India,V Kohli,Shubman Gill,D Madushanka,0,0,,,,,,"",""
ball,1,0.5,India,V Kohli,Shubman Gill,D Madushanka,0,0,,,,,,"",""
ball,1,0.6,India,V Kohli,Shubman Gill,D Madushanka,4,0,,,,,,"",""
ball,1,1.1,India,Shubman Gill,V Kohli,PVD Chameera,0,0,,,,,,"",""
ball,1,1.2,India,Shubman Gill,V Kohli,PVD Chameera,0,0,,,,,,"",""
ball,1,1.3,India,Shubman Gill,V Kohli,PVD Chameera,0,0,,,,,,"",""
ball,1,1.4,India,Shubman Gill,V Kohli,PVD Chameera,0,0,,,,,,"",""
ball,1,1.5,India,Shubman Gill,V Kohli,PVD Chameera,0,0,,,,,,"",""
ball,1,1.6,India,Shubman Gill,V Kohli,PVD Chameera,0,0,,,,,,"",""
ball,1,2.1,India,V Kohli,Shubman Gill,D Madushanka,0,0,,,,,,"",""
ball,1,2.2,India,V Kohli,Shubman Gill,D Madushanka,4,0,,,,,,"",""
ball,1,2.3,India,V Kohli,Shubman Gill,D Madushanka,0,0,,,,,,"",""
ball,1,2.4,India,V Kohli,Shubman Gill,D Madushanka,0,1,1,,,,,"",""
ball,1,2.5,India,V Kohli,Shubman Gill,D Madushanka,0,0,,,,,,"",""
ball,1,2.6,India,V Kohli,Shubman Gill,D Madushanka,1,0,,,,,,"",""
ball,1,2.7,India,Shubman Gill,V Kohli,D Madushanka,0,0,,,,,,"",""
ball,1,3.1,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
ball,1,3.2,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
ball,1,3.3,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
ball,1,3.4,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
ball,1,3.5,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
ball,1,3.6,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
ball,1,4.1,India,Shubman Gill,V Kohli,D Madushanka,0,0,,,,,,"",""
ball,1,4.2,India,Shubman Gill,V Kohli,D Madushanka,4,0,,,,,,"",""
ball,1,4.3,India,Shubman Gill,V Kohli,D Madushanka,4,0,,,,,,"",""
ball,1,4.4,India,Shubman Gill,V Kohli,D Madushanka,0,0,,,,,,"",""
ball,1,4.5,India,Shubman Gill,V Kohli,D Madushanka,0,1,1,,,,,"",""
ball,1,4.6,India,Shubman Gill,V Kohli,D Madushanka,1,0,,,,,,"",""
ball,1,4.7,India,V Kohli,Shubman Gill,D Madushanka,1,0,,,,,,"",""
ball,1,5.1,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
ball,1,5.2,India,V Kohli,Shubman Gill,PVD Chameera,0,0,,,,,,"",""
