version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Eastern Cape
info,team,Joburg Super Kings
info,gender,male
info,season,2022/23
info,date,2023/01/21
info,event,SA20
info,match_number,17
info,venue,"St George's Park, Gqeberha"
info,city,Gqeberha
info,toss_winner,Joburg Super Kings
info,toss_decision,field
info,player_of_match,AM Phangiso
info,umpire,A Steenkamp
info,umpire,A Jacobs
info,reserve_umpire,Siphelele Gasa
info,tv_umpire,BM White
info,match_referee,LH Matroos
info,winner,Joburg Super Kings
info,winner_wickets,5
info,player,Sunrisers Eastern Cape,AM Rossington
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,SJ Erwee
info,player,Sunrisers Eastern Cape,AK Markram
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,JT Smuts
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,JK Fuller
info,player,Sunrisers Eastern Cape,BA Carse
info,player,Sunrisers Eastern Cape,RE van der Merwe
info,player,Sunrisers Eastern Cape,SSB Magala
info,player,Joburg Super Kings,RR Hendricks
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,N Brand
info,player,Joburg Super Kings,JL du Plooy
info,player,Joburg Super Kings,BS Makhanya
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,R Shepherd
info,player,Joburg Super Kings,G Coetzee
info,player,Joburg Super Kings,AS Joseph
info,player,Joburg Super Kings,M Theekshana
info,player,Joburg Super Kings,AM Phangiso
info,registry,people,A Jacobs,70d117de
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Phangiso,7f8ecc51
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,AS Joseph,b0946605
info,registry,people,BA Carse,cad40f5e
info,registry,people,BM White,66c21d35
info,registry,people,BS Makhanya,1b42a100
info,registry,people,D Ferreira,f0af99a7
info,registry,people,F du Plessis,3355b542
info,registry,people,G Coetzee,3204c99f
info,registry,people,J Hermann,e87aeca2
info,registry,people,JK Fuller,dda5aae5
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JT Smuts,42172c3c
info,registry,people,LH Matroos,6fa18157
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Theekshana,f24c6701
info,registry,people,N Brand,68790da2
info,registry,people,R Shepherd,c5aef772
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,SJ Erwee,a3ce3d1d
info,registry,people,SSB Magala,8361e524
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,T Stubbs,85b3fab2
ball,1,0.1,Sunrisers Eastern Cape,AM Rossington,J Hermann,AS Joseph,4,0,,,,,,"",""
ball,1,0.2,Sunrisers Eastern Cape,AM Rossington,J Hermann,AS Joseph,0,1,1,,,,,"",""
ball,1,0.3,Sunrisers Eastern Cape,AM Rossington,J Hermann,AS Joseph,0,0,,,,,,"",""
ball,1,0.4,Sunrisers Eastern Cape,AM Rossington,J Hermann,AS Joseph,0,0,,,,,,"",""
ball,1,0.5,Sunrisers Eastern Cape,AM Rossington,J Hermann,AS Joseph,0,0,,,,,,"",""
ball,1,0.6,Sunrisers Eastern Cape,AM Rossington,J Hermann,AS Joseph,0,0,,,,,,"",""
ball,1,0.7,Sunrisers Eastern Cape,AM Rossington,J Hermann,AS Joseph,6,0,,,,,,"",""
ball,1,1.1,Sunrisers Eastern Cape,J Hermann,AM Rossington,M Theekshana,0,0,,,,,,"",""
ball,1,1.2,Sunrisers Eastern Cape,J Hermann,AM Rossington,M Theekshana,1,0,,,,,,"",""
ball,1,1.3,Sunrisers Eastern Cape,AM Rossington,J Hermann,M Theekshana,1,0,,,,,,"",""
ball,1,1.4,Sunrisers Eastern Cape,J Hermann,AM Rossington,M Theekshana,1,0,,,,,,"",""
ball,1,1.5,Sunrisers Eastern Cape,AM Rossington,J Hermann,M Theekshana,1,0,,,,,,"",""
ball,1,1.6,Sunrisers Eastern Cape,J Hermann,AM Rossington,M Theekshana,1,0,,,,,,"",""
ball,1,2.1,Sunrisers Eastern Cape,J Hermann,AM Rossington,G Coetzee,0,0,,,,,,caught,J Hermann
ball,1,2.2,Sunrisers Eastern Cape,SJ Erwee,AM Rossington,G Coetzee,0,0,,,,,,"",""
ball,1,2.3,Sunrisers Eastern Cape,SJ Erwee,AM Rossington,G Coetzee,0,0,,,,,,run out,SJ Erwee
ball,1,2.4,Sunrisers Eastern Cape,AM Rossington,AK Markram,G Coetzee,0,0,,,,,,"",""
ball,1,2.5,Sunrisers Eastern Cape,AM Rossington,AK Markram,G Coetzee,0,0,,,,,,"",""
ball,1,2.6,Sunrisers Eastern Cape,AM Rossington,AK Markram,G Coetzee,1,0,,,,,,"",""
ball,1,3.1,Sunrisers Eastern Cape,AM Rossington,AK Markram,M Theekshana,0,0,,,,,,"",""
ball,1,3.2,Sunrisers Eastern Cape,AM Rossington,AK Markram,M Theekshana,1,0,,,,,,"",""
ball,1,3.3,Sunrisers Eastern Cape,AK Markram,AM Rossington,M Theekshana,0,0,,,,,,"",""
ball,1,3.4,Sunrisers Eastern Cape,AK Markram,AM Rossington,M Theekshana,1,0,,,,,,"",""
