version,1.7.0
info,balls_per_over,6
info,team,MI Cape Town
info,team,Paarl Royals
info,gender,male
info,season,2024/25
info,date,2025/01/13
info,event,SA20
info,match_number,6
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,bat
info,player_of_match,K Rabada
info,umpire,A Jacobs
info,umpire,Lauren Agenbag
info,reserve_umpire,A Steenkamp
info,tv_umpire,Stephen Harris
info,match_referee,SA Fritz
info,winner,MI Cape Town
info,winner_runs,33
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,CA Ingram
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,Azmatullah Omarzai
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,K Rabada
info,player,MI Cape Town,TA Boult
info,player,Paarl Royals,LG Pretorius
info,player,Paarl Royals,JE Root
info,player,Paarl Royals,SR Hain
info,player,Paarl Royals,M Van Buuren
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,Dayyaan Galiem
info,player,Paarl Royals,KD Karthik
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,Mujeeb Ur Rahman
info,player,Paarl Royals,KT Maphaka
info,player,Paarl Royals,L Ngidi
info,registry,people,A Jacobs,70d117de
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,C Esterhuizen,ef9acbcc
info,registry,people,CA Ingram,c995d726
info,registry,people,D Brevis,844e79d1
info,registry,people,D Potgieter,60fbf53a
info,registry,people,DA Miller,d67d5f00
info,registry,people,Dayyaan Galiem,47c449c5
info,registry,people,GF Linde,e5437608
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JE Root,a343262c
info,registry,people,K Rabada,e62dd25d
info,registry,people,KD Karthik,c03f1114
info,registry,people,KT Maphaka,107c26fb
info,registry,people,L Ngidi,f834dcfc
info,registry,people,LG Pretorius,60aa2db3
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Van Buuren,46e4a4e0
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SR Hain,67b9536c
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,TA Boult,a818c1be
ball,1,0.1,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,1,0,,,,,,"",""
ball,1,0.2,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,1,0,,,,,,"",""
ball,1,0.3,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,1,0,,,,,,"",""
ball,1,0.4,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,0,0,,,,,,"",""
ball,1,0.5,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,1,0,,,,,,"",""
ball,1,0.6,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,1,0,,,,,,"",""
ball,1,1.1,MI Cape Town,RD Rickelton,HE van der Dussen,KT Maphaka,4,0,,,,,,"",""
ball,1,1.2,MI Cape Town,RD Rickelton,HE van der Dussen,KT Maphaka,0,0,,,,,,"",""
ball,1,1.3,MI Cape Town,RD Rickelton,HE van der Dussen,KT Maphaka,0,1,1,,,,,"",""
ball,1,1.4,MI Cape Town,RD Rickelton,HE van der Dussen,KT Maphaka,0,0,,,,,,"",""
ball,1,1.5,MI Cape Town,RD Rickelton,HE van der Dussen,KT Maphaka,1,0,,,,,,"",""
ball,1,1.6,MI Cape Town,HE van der Dussen,RD Rickelton,KT Maphaka,4,0,,,,,,"",""
ball,1,1.7,MI Cape Town,HE van der Dussen,RD Rickelton,KT Maphaka,0,0,,,,,,"",""
ball,1,2.1,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,0,0,,,,,,caught,RD Rickelton
ball,1,2.2,MI Cape Town,RR Hendricks,HE van der Dussen,BC Fortuin,0,0,,,,,,"",""
ball,1,2.3,MI Cape Town,RR Hendricks,HE van der Dussen,BC Fortuin,4,0,,,,,,"",""
ball,1,2.4,MI Cape Town,RR Hendricks,HE van der Dussen,BC Fortuin,1,0,,,,,,"",""
ball,1,2.5,MI Cape Town,HE van der Dussen,RR Hendricks,BC Fortuin,0,0,,,,,,"",""
ball,1,2.6,MI Cape Town,HE van der Dussen,RR Hendricks,BC Fortuin,1,0,,,,,,"",""
ball,1,3.1,MI Cape Town,HE van der Dussen,RR Hendricks,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,3.2,MI Cape Town,HE van der Dussen,RR Hendricks,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,3.3,MI Cape Town,RR Hendricks,HE van der Dussen,Mujeeb Ur Rahman,0,1,1,,,,,"",""
