version,1.7.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Brisbane Heat
info,gender,female
info,season,2023/24
info,date,2023/12/02
info,event,Women's Big Bash League
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Adelaide Strikers
info,toss_decision,bat
info,player_of_match,A Wellington
info,umpire,CA Polosak
info,umpire,Eloise Sheridan
info,tv_umpire,Troy Penman
info,match_referee,David Johnston
info,winner,Adelaide Strikers
info,winner_runs,3
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,GL Adams
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Adelaide Strikers,AC Mushangwe
info,player,Brisbane Heat,GM Harris
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,AC Kerr
info,player,Brisbane Heat,M du Preez
info,player,Brisbane Heat,L Harris
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,G Voll
info,player,Brisbane Heat,M Hinkley
info,player,Brisbane Heat,NM Hancock
info,player,Brisbane Heat,CG Sippel
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Kerr,7673c908
info,registry,people,AC Mushangwe,db873292
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,CA Polosak,26a360d2
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,CR Knott,d7ff1adc
info,registry,people,D Brown,2e81be88
info,registry,people,David Johnston,92cef862
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,G Redmayne,324b9eee
info,registry,people,G Voll,5c30d455
info,registry,people,GL Adams,7b1f2542
info,registry,people,GM Harris,72166006
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,JL Jonassen,0475a86b
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Harris,36e2dc83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Hinkley,3812165d
info,registry,people,M Penna,36453b99
info,registry,people,M du Preez,e219f17a
info,registry,people,ML Schutt,17608a6f
info,registry,people,NM Hancock,af8c3a85
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,Troy Penman,0aa42c26
ball,1,0.1,Adelaide Strikers,KM Mack,L Wolvaardt,G Voll,0,0,,,,,,"",""
ball,1,0.2,Adelaide Strikers,KM Mack,L Wolvaardt,G Voll,0,0,,,,,,"",""
ball,1,0.3,Adelaide Strikers,KM Mack,L Wolvaardt,G Voll,1,0,,,,,,"",""
ball,1,0.4,Adelaide Strikers,L Wolvaardt,KM Mack,G Voll,1,0,,,,,,"",""
ball,1,0.5,Adelaide Strikers,KM Mack,L Wolvaardt,G Voll,0,0,,,,,,"",""
ball,1,0.6,Adelaide Strikers,KM Mack,L Wolvaardt,G Voll,2,0,,,,,,"",""
ball,1,1.1,Adelaide Strikers,L Wolvaardt,KM Mack,NM Hancock,1,0,,,,,,"",""
ball,1,1.2,Adelaide Strikers,KM Mack,L Wolvaardt,NM Hancock,0,0,,,,,,bowled,KM Mack
ball,1,1.3,Adelaide Strikers,TM McGrath,L Wolvaardt,NM Hancock,0,1,1,,,,,"",""
ball,1,1.4,Adelaide Strikers,TM McGrath,L Wolvaardt,NM Hancock,0,0,,,,,,"",""
ball,1,1.5,Adelaide Strikers,TM McGrath,L Wolvaardt,NM Hancock,0,0,,,,,,"",""
ball,1,1.6,Adelaide Strikers,TM McGrath,L Wolvaardt,NM Hancock,0,0,,,,,,"",""
ball,1,1.7,Adelaide Strikers,TM McGrath,L Wolvaardt,NM Hancock,4,0,,,,,,"",""
ball,1,2.1,Adelaide Strikers,L Wolvaardt,TM McGrath,CR Knott,1,0,,,,,,"",""
ball,1,2.2,Adelaide Strikers,TM McGrath,L Wolvaardt,CR Knott,0,1,1,,,,,"",""
ball,1,2.3,Adelaide Strikers,TM McGrath,L Wolvaardt,CR Knott,0,0,,,,,,"",""
ball,1,2.4,Adelaide Strikers,TM McGrath,L Wolvaardt,CR Knott,0,0,,,,,,"",""
ball,1,2.5,Adelaide Strikers,TM McGrath,L Wolvaardt,CR Knott,4,0,,,,,,"",""
ball,1,2.6,Adelaide Strikers,TM McGrath,L Wolvaardt,CR Knott,0,0,,,,,,"",""
ball,1,2.7,Adelaide Strikers,TM McGrath,L Wolvaardt,CR Knott,4,0,,,,,,"",""
ball,1,3.1,Adelaide Strikers,L Wolvaardt,TM McGrath,JL Jonassen,0,0,,,,,,"",""
ball,1,3.2,Adelaide Strikers,L Wolvaardt,TM McGrath,JL Jonassen,4,0,,,,,,"",""
ball,1,3.3,Adelaide Strikers,L Wolvaardt,TM McGrath,JL Jonassen,4,0,,,,,,"",""
ball,1,3.4,Adelaide Strikers,L Wolvaardt,TM McGrath,JL Jonassen,4,0,,,,,,"",""
ball,1,3.5,Adelaide Strikers,L Wolvaardt,TM McGrath,JL Jonassen,1,0,,,,,,"",""
ball,1,3.6,Adelaide Strikers,TM McGrath,L Wolvaardt,JL Jonassen,0,1,1,,,,,"",""
ball,1,3.7,Adelaide Strikers,TM McGrath,L Wolvaardt,JL Jonassen,0,0,,,,,,"",""
ball,1,4.1,Adelaide Strikers,L Wolvaardt,TM McGrath,AC Kerr,1,0,,,,,,"",""
ball,1,4.2,Adelaide Strikers,TM McGrath,L Wolvaardt,AC Kerr,0,0,,,,,,"",""
ball,1,4.3,Adelaide Strikers,TM McGrath,L Wolvaardt,AC Kerr,1,0,,,,,,"",""
ball,1,4.4,Adelaide Strikers,L Wolvaardt,TM McGrath,AC Kerr,0,0,,,,,,"",""
ball,1,4.5,Adelaide Strikers,L Wolvaardt,TM McGrath,AC Kerr,1,0,,,,,,"",""
ball,1,4.6,Adelaide Strikers,TM McGrath,L Wolvaardt,AC Kerr,0,0,,,,,,"",""
ball,1,5.1,Adelaide Strikers,L Wolvaardt,TM McGrath,CG Sippel,1,0,,,,,,"",""
ball,1,5.2,Adelaide Strikers,TM McGrath,L Wolvaardt,CG Sippel,0,0,,,,,,"",""
ball,1,5.3,Adelaide Strikers,TM McGrath,L Wolvaardt,CG Sippel,6,0,,,,,,"",""
