version,1.7.0
info,balls_per_over,6
info,team,Bihar
info,team,Uttarakhand
info,gender,male
info,season,2019/20
info,date,2019/11/17
info,event,Syed Mushtaq Ali Trophy
info,venue,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium
info,city,
info,toss_winner,Uttarakhand
info,toss_decision,field
info,winner,Uttarakhand
info,winner_wickets,6
info,player,Bihar,Vijay Bharti
info,player,Bihar,Kunal Dabas
info,player,Bihar,Babul Kumar
info,player,Bihar,MD Rahmatullah
info,player,Bihar,Rajesh Singh
info,player,Bihar,Asfan Khan
info,player,Bihar,Sarfaraz Ashraf
info,player,Bihar,Ashutosh Aman
info,player,Bihar,Shivam Kumar
info,player,Bihar,Shashi Shekhar
info,player,Bihar,Abhijeet Saket
info,player,Uttarakhand,Mayank Mishra
info,player,Uttarakhand,Akash Madhwal
info,player,Uttarakhand,Sunny Rana
info,player,Uttarakhand,Rahil Shah
info,player,Uttarakhand,Vaibhav Singh Panwar
info,player,Uttarakhand,Himanshu Bisht
info,player,Uttarakhand,Harshit Bisht
info,player,Uttarakhand,AM Joshi
info,player,Uttarakhand,TM Srivastava
info,player,Uttarakhand,Karanveer Kaushal
info,player,Uttarakhand,Saurabh Rawat
info,registry,people,AM Joshi,748b7a38
info,registry,people,Abhijeet Saket,5fd3f9db
info,registry,people,Akash Madhwal,4bd09374
info,registry,people,Asfan Khan,fc3d382b
info,registry,people,Ashutosh Aman,4948a916
info,registry,people,Babul Kumar,85e6ccde
info,registry,people,Harshit Bisht,a2101f05
info,registry,people,Himanshu Bisht,24d163d7
info,registry,people,Karanveer Kaushal,9e62632a
info,registry,people,Kunal Dabas,90065d86
info,registry,people,MD Rahmatullah,c10a99ec
info,registry,people,Mayank Mishra,de00b96c
info,registry,people,Rahil Shah,7c30f4d0
info,registry,people,Rajesh Singh,985b57b1
info,registry,people,Sarfaraz Ashraf,8be36d3e
info,registry,people,Saurabh Rawat,839b6d2e
info,registry,people,Shashi Shekhar,c166ca1c
info,registry,people,Shivam Kumar,f81005c4
info,registry,people,Sunny Rana,798c67e5
info,registry,people,TM Srivastava,a76d10ba
info,registry,people,Vaibhav Singh Panwar,8685f676
info,registry,people,Vijay Bharti,522bb42d
ball,1,0.1,Bihar,Vijay Bharti,Kunal Dabas,Mayank Mishra,0,0,,,,,,"",""
ball,1,0.2,Bihar,Vijay Bharti,Kunal Dabas,Mayank Mishra,0,0,,,,,,lbw,Vijay Bharti
ball,1,0.3,Bihar,Babul Kumar,Kunal Dabas,Mayank Mishra,4,0,,,,,,"",""
ball,1,0.4,Bihar,Babul Kumar,Kunal Dabas,Mayank Mishra,0,0,,,,,,"",""
ball,1,0.5,Bihar,Babul Kumar,Kunal Dabas,Mayank Mishra,1,0,,,,,,"",""
ball,1,0.6,Bihar,Kunal Dabas,Babul Kumar,Mayank Mishra,0,0,,,,,,"",""
ball,1,1.1,Bihar,Babul Kumar,Kunal Dabas,Akash Madhwal,0,0,,,,,,"",""
ball,1,1.2,Bihar,Babul Kumar,Kunal Dabas,Akash Madhwal,0,0,,,,,,"",""
ball,1,1.3,Bihar,Babul Kumar,Kunal Dabas,Akash Madhwal,0,0,,,,,,"",""
ball,1,1.4,Bihar,Babul Kumar,Kunal Dabas,Akash Madhwal,1,0,,,,,,"",""
ball,1,1.5,Bihar,Kunal Dabas,Babul Kumar,Akash Madhwal,0,0,,,,,,"",""
ball,1,1.6,Bihar,Kunal Dabas,Babul Kumar,Akash Madhwal,0,0,,,,,,"",""
ball,1,2.1,Bihar,Babul Kumar,Kunal Dabas,Sunny Rana,4,0,,,,,,"",""
ball,1,2.2,Bihar,Babul Kumar,Kunal Dabas,Sunny Rana,4,0,,,,,,"",""
ball,1,2.3,Bihar,Babul Kumar,Kunal Dabas,Sunny Rana,0,0,,,,,,"",""
ball,1,2.4,Bihar,Babul Kumar,Kunal Dabas,Sunny Rana,4,0,,,,,,"",""
ball,1,2.5,Bihar,Babul Kumar,Kunal Dabas,Sunny Rana,0,0,,,,,,caught,Babul Kumar
ball,1,2.6,Bihar,MD Rahmatullah,Kunal Dabas,Sunny Rana,0,0,,,,,,"",""
ball,1,3.1,Bihar,Kunal Dabas,MD Rahmatullah,Akash Madhwal,0,0,,,,,,"",""
ball,1,3.2,Bihar,Kunal Dabas,MD Rahmatullah,Akash Madhwal,1,0,,,,,,"",""
