version,1.7.0
info,balls_per_over,6
info,team,Northern Districts
info,team,Wellington
info,gender,female
info,season,2023/24
info,date,2024/01/15
info,event,Women's Super Smash
info,match_number,24
info,venue,"Basin Reserve, Wellington"
info,city,Wellington
info,toss_winner,Northern Districts
info,toss_decision,bat
info,umpire,C Black
info,umpire,Tyron Davies
info,reserve_umpire,DJ Walker
info,tv_umpire,C High
info,match_referee,K Pulley
info,winner,Wellington
info,winner_wickets,8
info,player,Northern Districts,AC Jayangani
info,player,Northern Districts,JM Watkin
info,player,Northern Districts,CA Gurrey
info,player,Northern Districts,SRH Curtis
info,player,Northern Districts,MBA Lamplough
info,player,Northern Districts,EAJ Richardson
info,player,Northern Districts,NH Patel
info,player,Northern Districts,C Agafili
info,player,Northern Districts,MW Downes
info,player,Northern Districts,SR Naidu
info,player,Northern Districts,HE Topp
info,player,Wellington,JT McFadyen
info,player,Wellington,RM Burns
info,player,Wellington,AC Kerr
info,player,Wellington,GE Plimmer
info,player,Wellington,LM Kasperek
info,player,Wellington,KM Chandler
info,player,Wellington,JM Kerr
info,player,Wellington,G Sims
info,player,Wellington,N Baird
info,player,Wellington,NE Codyre
info,player,Wellington,XA Jetly
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,C Agafili,b9bb76c8
info,registry,people,C Black,75b42f71
info,registry,people,C High,ed55e0da
info,registry,people,CA Gurrey,1e579ad5
info,registry,people,DJ Walker,d4aea8ac
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,G Sims,aed2c7ea
info,registry,people,GE Plimmer,575494db
info,registry,people,HE Topp,d9b3ff0a
info,registry,people,JM Kerr,9af58032
info,registry,people,JM Watkin,7239a365
info,registry,people,JT McFadyen,7072542f
info,registry,people,K Pulley,644bf4ad
info,registry,people,KM Chandler,32221cdb
info,registry,people,LM Kasperek,9b73d523
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,MW Downes,d8e8179f
info,registry,people,N Baird,c0380823
info,registry,people,NE Codyre,f587fbbe
info,registry,people,NH Patel,d945db3e
info,registry,people,RM Burns,94fe4708
info,registry,people,SR Naidu,f41d1a02
info,registry,people,SRH Curtis,aa89a853
info,registry,people,Tyron Davies,6ec463f4
info,registry,people,XA Jetly,57a49987
ball,1,0.1,Northern Districts,AC Jayangani,JM Watkin,JM Kerr,0,4,,,4,,,"",""
ball,1,0.2,Northern Districts,AC Jayangani,JM Watkin,JM Kerr,0,0,,,,,,"",""
ball,1,0.3,Northern Districts,AC Jayangani,JM Watkin,JM Kerr,4,0,,,,,,"",""
ball,1,0.4,Northern Districts,AC Jayangani,JM Watkin,JM Kerr,0,0,,,,,,"",""
ball,1,0.5,Northern Districts,AC Jayangani,JM Watkin,JM Kerr,4,0,,,,,,"",""
ball,1,0.6,Northern Districts,AC Jayangani,JM Watkin,JM Kerr,4,0,,,,,,"",""
ball,1,1.1,Northern Districts,JM Watkin,AC Jayangani,NE Codyre,0,0,,,,,,"",""
ball,1,1.2,Northern Districts,JM Watkin,AC Jayangani,NE Codyre,0,0,,,,,,"",""
ball,1,1.3,Northern Districts,JM Watkin,AC Jayangani,NE Codyre,4,0,,,,,,"",""
ball,1,1.4,Northern Districts,JM Watkin,AC Jayangani,NE Codyre,0,0,,,,,,"",""
ball,1,1.5,Northern Districts,JM Watkin,AC Jayangani,NE Codyre,4,0,,,,,,"",""
ball,1,1.6,Northern Districts,JM Watkin,AC Jayangani,NE Codyre,4,0,,,,,,"",""
ball,1,2.1,Northern Districts,AC Jayangani,JM Watkin,JM Kerr,1,0,,,,,,"",""
ball,1,2.2,Northern Districts,JM Watkin,AC Jayangani,JM Kerr,0,0,,,,,,caught,JM Watkin
ball,1,2.3,Northern Districts,CA Gurrey,AC Jayangani,JM Kerr,1,0,,,,,,"",""
ball,1,2.4,Northern Districts,AC Jayangani,CA Gurrey,JM Kerr,1,0,,,,,,"",""
ball,1,2.5,Northern Districts,CA Gurrey,AC Jayangani,JM Kerr,0,0,,,,,,"",""
ball,1,2.6,Northern Districts,CA Gurrey,AC Jayangani,JM Kerr,0,0,,,,,,"",""
ball,1,3.1,Northern Districts,AC Jayangani,CA Gurrey,XA Jetly,1,0,,,,,,"",""
ball,1,3.2,Northern Districts,CA Gurrey,AC Jayangani,XA Jetly,0,0,,,,,,"",""
ball,1,3.3,Northern Districts,CA Gurrey,AC Jayangani,XA Jetly,1,0,,,,,,"",""
ball,1,3.4,Northern Districts,AC Jayangani,CA Gurrey,XA Jetly,0,0,,,,,,"",""
