version,1.7.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Sydney Sixers
info,gender,female
info,season,2024/25
info,date,2024/11/01
info,event,Women's Big Bash League
info,match_number,9
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Melbourne Stars
info,toss_decision,bat
info,player_of_match,R McKenna
info,umpire,ME Claydon
info,umpire,Roberto Howard
info,reserve_umpire,Bede Sajowitz
info,tv_umpire,S Patel
info,match_referee,J Stainer
info,winner,Melbourne Stars
info,winner_runs,32
info,method,D/L
info,player,Melbourne Stars,YH Bhatia
info,player,Melbourne Stars,IY Mckeon
info,player,Melbourne Stars,MM Lanning
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,M Kapp
info,player,Melbourne Stars,T Flintoff
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,S Day
info,player,Melbourne Stars,ML Gibson
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,AJ Healy
info,player,Sydney Sixers,SJ Bryce
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,HJ Armitage
info,player,Sydney Sixers,Siow Tzin Yee
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,S Ecclestone
info,player,Sydney Sixers,C Bray
info,player,Sydney Sixers,CG Sippel
info,player,Sydney Sixers,L Cheatle
info,registry,people,A Gardner,bc969efb
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,C Bray,b54cc792
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,EA Perry,be150fc8
info,registry,people,HJ Armitage,f05167d2
info,registry,people,IY Mckeon,59ff3c57
info,registry,people,J Stainer,fcd293d7
info,registry,people,KJ Garth,0b69a844
info,registry,people,L Cheatle,275dff85
info,registry,people,M Brown,78bec461
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ME Claydon,15101f12
info,registry,people,ML Gibson,27fa592f
info,registry,people,MM Lanning,27e003ce
info,registry,people,R McKenna,f7e41cd8
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,S Day,c3d27d76
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Patel,c4ee6c06
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,T Flintoff,5471b94a
info,registry,people,YH Bhatia,9c3d4e8a
ball,1,0.1,Melbourne Stars,YH Bhatia,IY Mckeon,L Cheatle,1,0,,,,,,"",""
ball,1,0.2,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,0,0,,,,,,"",""
ball,1,0.3,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,0,0,,,,,,"",""
ball,1,0.4,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,0,0,,,,,,"",""
ball,1,0.5,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,0,0,,,,,,"",""
ball,1,0.6,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,4,0,,,,,,"",""
ball,1,1.1,Melbourne Stars,YH Bhatia,IY Mckeon,A Gardner,1,0,,,,,,"",""
ball,1,1.2,Melbourne Stars,IY Mckeon,YH Bhatia,A Gardner,0,0,,,,,,"",""
ball,1,1.3,Melbourne Stars,IY Mckeon,YH Bhatia,A Gardner,1,0,,,,,,"",""
ball,1,1.4,Melbourne Stars,YH Bhatia,IY Mckeon,A Gardner,1,0,,,,,,"",""
ball,1,1.5,Melbourne Stars,IY Mckeon,YH Bhatia,A Gardner,4,0,,,,,,"",""
ball,1,1.6,Melbourne Stars,IY Mckeon,YH Bhatia,A Gardner,4,0,,,,,,"",""
ball,1,2.1,Melbourne Stars,YH Bhatia,IY Mckeon,L Cheatle,1,0,,,,,,"",""
ball,1,2.2,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,0,0,,,,,,"",""
ball,1,2.3,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,0,0,,,,,,"",""
ball,1,2.4,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,0,0,,,,,,"",""
ball,1,2.5,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,4,0,,,,,,"",""
ball,1,2.6,Melbourne Stars,IY Mckeon,YH Bhatia,L Cheatle,1,0,,,,,,"",""
ball,1,3.1,Melbourne Stars,IY Mckeon,YH Bhatia,EA Perry,0,0,,,,,,"",""
ball,1,3.2,Melbourne Stars,IY Mckeon,YH Bhatia,EA Perry,1,0,,,,,,"",""
ball,1,3.3,Melbourne Stars,YH Bhatia,IY Mckeon,EA Perry,0,0,,,,,,"",""
ball,1,3.4,Melbourne Stars,YH Bhatia,IY Mckeon,EA Perry,0,0,,,,,,"",""
ball,1,3.5,Melbourne Stars,YH Bhatia,IY Mckeon,EA Perry,4,0,,,,,,"",""
