version,1.7.0
info,balls_per_over,6
info,team,Leinster Lightning
info,team,North-West Warriors
info,gender,male
info,season,2023
info,date,2023/08/14
info,event,Cricket Ireland Inter-Provincial Limited Over Cup
info,match_number,7
info,venue,"The Hills, Milverton"
info,city,Milverton
info,toss_winner,North-West Warriors
info,toss_decision,field
info,player_of_match,L Tucker
info,umpire,M Hawthorne
info,umpire,R Black
info,reserve_umpire,G McCrea
info,winner,Leinster Lightning
info,winner_runs,244
info,player,Leinster Lightning,TH Tector
info,player,Leinster Lightning,Simi Singh
info,player,Leinster Lightning,C De Freitas
info,player,Leinster Lightning,HT Tector
info,player,Leinster Lightning,L Tucker
info,player,Leinster Lightning,GH Dockrell
info,player,Leinster Lightning,BJ McCarthy
info,player,Leinster Lightning,SJ Harbinson
info,player,Leinster Lightning,F Hand
info,player,Leinster Lightning,G Hoey
info,player,Leinster Lightning,DC Delany
info,player,North-West Warriors,ST Doheny
info,player,North-West Warriors,LC Doherty
info,player,North-West Warriors,AR McBrine
info,player,North-West Warriors,SJ MacBeth
info,player,North-West Warriors,SC Getkate
info,player,North-West Warriors,C Melly
info,player,North-West Warriors,J Wilson
info,player,North-West Warriors,GI Hume
info,player,North-West Warriors,R MacBeth
info,player,North-West Warriors,CA Young
info,player,North-West Warriors,T McKeegan
info,registry,people,AR McBrine,e957b38f
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C De Freitas,22072cab
info,registry,people,C Melly,48641e31
info,registry,people,CA Young,bd0a4a7d
info,registry,people,DC Delany,0f9c9d1d
info,registry,people,F Hand,e3fe4b49
info,registry,people,G Hoey,19d0a172
info,registry,people,G McCrea,46f4a901
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GI Hume,25550d06
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Wilson,20f9e6b1
info,registry,people,L Tucker,3979b5e0
info,registry,people,LC Doherty,6d5fceb7
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,R Black,156c8fb1
info,registry,people,R MacBeth,b4402d8a
info,registry,people,SC Getkate,c8065f31
info,registry,people,SJ Harbinson,ccc17282
info,registry,people,SJ MacBeth,5d4338a2
info,registry,people,ST Doheny,4992d6f6
info,registry,people,Simi Singh,c9945bdf
info,registry,people,T McKeegan,2052d6f4
info,registry,people,TH Tector,0348f9a5
ball,1,0.1,Leinster Lightning,TH Tector,Simi Singh,GI Hume,0,0,,,,,,"",""
ball,1,0.2,Leinster Lightning,TH Tector,Simi Singh,GI Hume,0,0,,,,,,"",""
ball,1,0.3,Leinster Lightning,TH Tector,Simi Singh,GI Hume,4,0,,,,,,"",""
ball,1,0.4,Leinster Lightning,TH Tector,Simi Singh,GI Hume,1,0,,,,,,"",""
ball,1,0.5,Leinster Lightning,Simi Singh,TH Tector,GI Hume,0,0,,,,,,"",""
ball,1,0.6,Leinster Lightning,Simi Singh,TH Tector,GI Hume,0,0,,,,,,"",""
ball,1,1.1,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,0,1,1,,,,,"",""
ball,1,1.2,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,0,0,,,,,,"",""
ball,1,1.3,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,1,0,,,,,,"",""
ball,1,1.4,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,1,1,,,,,"",""
ball,1,1.5,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,0,,,,,,"",""
ball,1,1.6,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,0,,,,,,"",""
ball,1,1.7,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,5,0,,,,,,"",""
ball,1,1.8,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,0,0,,,,,,"",""
ball,1,2.1,Leinster Lightning,Simi Singh,TH Tector,GI Hume,0,0,,,,,,"",""
ball,1,2.2,Leinster Lightning,Simi Singh,TH Tector,GI Hume,1,0,,,,,,"",""
ball,1,2.3,Leinster Lightning,TH Tector,Simi Singh,GI Hume,0,0,,,,,,"",""
ball,1,2.4,Leinster Lightning,TH Tector,Simi Singh,GI Hume,0,0,,,,,,"",""
ball,1,2.5,Leinster Lightning,TH Tector,Simi Singh,GI Hume,0,0,,,,,,"",""
ball,1,2.6,Leinster Lightning,TH Tector,Simi Singh,GI Hume,0,0,,,,,,"",""
ball,1,3.1,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,0,,,,,,"",""
ball,1,3.2,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,1,0,,,,,,"",""
ball,1,3.3,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,0,0,,,,,,"",""
ball,1,3.4,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,4,0,,,,,,"",""
ball,1,3.5,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,0,0,,,,,,"",""
ball,1,3.6,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,0,0,,,,,,"",""
ball,1,4.1,Leinster Lightning,Simi Singh,TH Tector,GI Hume,0,0,,,,,,"",""
ball,1,4.2,Leinster Lightning,Simi Singh,TH Tector,GI Hume,0,0,,,,,,"",""
ball,1,4.3,Leinster Lightning,Simi Singh,TH Tector,GI Hume,0,0,,,,,,"",""
ball,1,4.4,Leinster Lightning,Simi Singh,TH Tector,GI Hume,6,0,,,,,,"",""
ball,1,4.5,Leinster Lightning,Simi Singh,TH Tector,GI Hume,0,1,,,,1,,"",""
ball,1,4.6,Leinster Lightning,TH Tector,Simi Singh,GI Hume,0,0,,,,,,"",""
ball,1,5.1,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,0,,,,,,"",""
ball,1,5.2,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,0,,,,,,"",""
ball,1,5.3,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,0,,,,,,"",""
ball,1,5.4,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,0,0,,,,,,"",""
ball,1,5.5,Leinster Lightning,Simi Singh,TH Tector,R MacBeth,1,0,,,,,,"",""
ball,1,5.6,Leinster Lightning,TH Tector,Simi Singh,R MacBeth,0,0,,,,,,"",""
ball,1,6.1,Leinster Lightning,Simi Singh,TH Tector,CA Young,0,0,,,,,,"",""
ball,1,6.2,Leinster Lightning,Simi Singh,TH Tector,CA Young,0,0,,,,,,"",""
