version,1.7.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Brisbane Heat
info,gender,male
info,season,2022/23
info,date,2023/02/02
info,event,Big Bash League
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Sydney Sixers
info,toss_decision,bat
info,player_of_match,MG Neser
info,umpire,DM Koch
info,umpire,SJ Nogajski
info,reserve_umpire,GA Abood
info,tv_umpire,P Wilson
info,match_referee,RL Parry
info,winner,Brisbane Heat
info,winner_wickets,4
info,player,Sydney Sixers,KR Patterson
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,DP Hughes
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,H Kerr
info,player,Sydney Sixers,DT Christian
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,SNJ O'Keefe
info,player,Sydney Sixers,Izharulhaq Naveed
info,player,Brisbane Heat,SD Heazlett
info,player,Brisbane Heat,J Brown
info,player,Brisbane Heat,NA McSweeney
info,player,Brisbane Heat,SR Hain
info,player,Brisbane Heat,JJ Peirson
info,player,Brisbane Heat,M Bryant
info,player,Brisbane Heat,MG Neser
info,player,Brisbane Heat,JJ Bazley
info,player,Brisbane Heat,XC Bartlett
info,player,Brisbane Heat,SH Johnson
info,player,Brisbane Heat,MP Kuhnemann
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,DM Koch,6d10c034
info,registry,people,DP Hughes,f3982af9
info,registry,people,DT Christian,2a2e6343
info,registry,people,GA Abood,a4af5528
info,registry,people,H Kerr,f422728b
info,registry,people,Izharulhaq Naveed,2cbdd22f
info,registry,people,J Brown,647e7d44
info,registry,people,JC Silk,7a6dc294
info,registry,people,JJ Bazley,003d49e6
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,JR Philippe,39086549
info,registry,people,KR Patterson,e3bf8356
info,registry,people,M Bryant,f32012f4
info,registry,people,MC Henriques,32198ae0
info,registry,people,MG Neser,0164b064
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,P Wilson,68304a36
info,registry,people,RL Parry,86d151dc
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SD Heazlett,e00a9155
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SNJ O'Keefe,3540beff
info,registry,people,SR Hain,67b9536c
info,registry,people,XC Bartlett,3b53243a
ball,1,0.1,Sydney Sixers,KR Patterson,JR Philippe,MG Neser,0,0,,,,,,"",""
ball,1,0.2,Sydney Sixers,KR Patterson,JR Philippe,MG Neser,0,0,,,,,,"",""
ball,1,0.3,Sydney Sixers,KR Patterson,JR Philippe,MG Neser,0,1,1,,,,,"",""
ball,1,0.4,Sydney Sixers,KR Patterson,JR Philippe,MG Neser,2,0,,,,,,"",""
ball,1,0.5,Sydney Sixers,KR Patterson,JR Philippe,MG Neser,4,0,,,,,,"",""
ball,1,0.6,Sydney Sixers,KR Patterson,JR Philippe,MG Neser,0,1,,,,1,,"",""
ball,1,0.7,Sydney Sixers,JR Philippe,KR Patterson,MG Neser,1,0,,,,,,"",""
ball,1,1.1,Sydney Sixers,JR Philippe,KR Patterson,SH Johnson,1,0,,,,,,"",""
ball,1,1.2,Sydney Sixers,KR Patterson,JR Philippe,SH Johnson,0,0,,,,,,"",""
ball,1,1.3,Sydney Sixers,KR Patterson,JR Philippe,SH Johnson,0,0,,,,,,"",""
ball,1,1.4,Sydney Sixers,KR Patterson,JR Philippe,SH Johnson,1,0,,,,,,"",""
ball,1,1.5,Sydney Sixers,JR Philippe,KR Patterson,SH Johnson,1,0,,,,,,"",""
ball,1,1.6,Sydney Sixers,KR Patterson,JR Philippe,SH Johnson,3,0,,,,,,"",""
ball,1,2.1,Sydney Sixers,KR Patterson,JR Philippe,XC Bartlett,1,0,,,,,,"",""
ball,1,2.2,Sydney Sixers,JR Philippe,KR Patterson,XC Bartlett,1,0,,,,,,"",""
ball,1,2.3,Sydney Sixers,KR Patterson,JR Philippe,XC Bartlett,4,0,,,,,,"",""
ball,1,2.4,Sydney Sixers,KR Patterson,JR Philippe,XC Bartlett,3,0,,,,,,"",""
ball,1,2.5,Sydney Sixers,JR Philippe,KR Patterson,XC Bartlett,0,1,1,,,,,"",""
ball,1,2.6,Sydney Sixers,JR Philippe,KR Patterson,XC Bartlett,1,0,,,,,,"",""
ball,1,2.7,Sydney Sixers,KR Patterson,JR Philippe,XC Bartlett,1,0,,,,,,"",""
ball,1,3.1,Sydney Sixers,KR Patterson,JR Philippe,SH Johnson,0,0,,,,,,caught,KR Patterson
ball,1,3.2,Sydney Sixers,DP Hughes,JR Philippe,SH Johnson,1,0,,,,,,"",""
ball,1,3.3,Sydney Sixers,JR Philippe,DP Hughes,SH Johnson,0,0,,,,,,"",""
ball,1,3.4,Sydney Sixers,JR Philippe,DP Hughes,SH Johnson,4,0,,,,,,"",""
