version,1.7.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Brisbane Heat
info,gender,female
info,season,2024/25
info,date,2024/11/29
info,event,Women's Big Bash League
info,venue,"Allan Border Field, Brisbane"
info,city,Brisbane
info,toss_winner,Brisbane Heat
info,toss_decision,field
info,player_of_match,GE Parsons
info,umpire,CA Polosak
info,umpire,SE Dionysius
info,reserve_umpire,D Taylor
info,tv_umpire,Troy Penman
info,match_referee,Kepler Wessels
info,winner,Brisbane Heat
info,winner_wickets,9
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,GL Adams
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,T Peschel
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SL Bates
info,player,Brisbane Heat,GM Harris
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,JI Rodrigues
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,L Harris
info,player,Brisbane Heat,L Winfield-Hill
info,player,Brisbane Heat,LK Hamilton
info,player,Brisbane Heat,S Pandey
info,player,Brisbane Heat,NM Hancock
info,player,Brisbane Heat,GE Parsons
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,CA Polosak,26a360d2
info,registry,people,CR Knott,d7ff1adc
info,registry,people,D Taylor,b940a2b2
info,registry,people,G Redmayne,324b9eee
info,registry,people,G Voll,5c30d455
info,registry,people,GE Parsons,0ded1af1
info,registry,people,GL Adams,7b1f2542
info,registry,people,GM Harris,72166006
info,registry,people,HJ Darlington,50b558d2
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Jonassen,0475a86b
info,registry,people,Kepler Wessels,3bedaff0
info,registry,people,L Harris,36e2dc83
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,LK Hamilton,c347ffe6
info,registry,people,NM Hancock,af8c3a85
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,S Ismail,108c4c09
info,registry,people,S Pandey,5463cb7a
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Peschel,923402d8
info,registry,people,T Wilson,32100b2d
info,registry,people,Troy Penman,0aa42c26
ball,1,0.1,Sydney Thunder,G Voll,AC Jayangani,CR Knott,1,0,,,,,,"",""
ball,1,0.2,Sydney Thunder,AC Jayangani,G Voll,CR Knott,0,0,,,,,,"",""
ball,1,0.3,Sydney Thunder,AC Jayangani,G Voll,CR Knott,0,0,,,,,,"",""
ball,1,0.4,Sydney Thunder,AC Jayangani,G Voll,CR Knott,0,0,,,,,,"",""
ball,1,0.5,Sydney Thunder,AC Jayangani,G Voll,CR Knott,0,0,,,,,,"",""
ball,1,0.6,Sydney Thunder,AC Jayangani,G Voll,CR Knott,2,0,,,,,,"",""
ball,1,1.1,Sydney Thunder,G Voll,AC Jayangani,S Pandey,0,0,,,,,,"",""
ball,1,1.2,Sydney Thunder,G Voll,AC Jayangani,S Pandey,4,0,,,,,,"",""
ball,1,1.3,Sydney Thunder,G Voll,AC Jayangani,S Pandey,0,0,,,,,,"",""
ball,1,1.4,Sydney Thunder,G Voll,AC Jayangani,S Pandey,4,0,,,,,,"",""
ball,1,1.5,Sydney Thunder,G Voll,AC Jayangani,S Pandey,0,0,,,,,,"",""
ball,1,1.6,Sydney Thunder,G Voll,AC Jayangani,S Pandey,0,0,,,,,,"",""
ball,1,2.1,Sydney Thunder,AC Jayangani,G Voll,CR Knott,0,2,2,,,,,"",""
ball,1,2.2,Sydney Thunder,G Voll,AC Jayangani,CR Knott,0,0,,,,,,"",""
ball,1,2.3,Sydney Thunder,G Voll,AC Jayangani,CR Knott,2,0,,,,,,"",""
ball,1,2.4,Sydney Thunder,G Voll,AC Jayangani,CR Knott,2,0,,,,,,"",""
ball,1,2.5,Sydney Thunder,G Voll,AC Jayangani,CR Knott,4,0,,,,,,"",""
ball,1,2.6,Sydney Thunder,G Voll,AC Jayangani,CR Knott,1,0,,,,,,"",""
ball,1,2.7,Sydney Thunder,AC Jayangani,G Voll,CR Knott,0,0,,,,,,"",""
ball,1,3.1,Sydney Thunder,G Voll,AC Jayangani,S Pandey,1,0,,,,,,"",""
ball,1,3.2,Sydney Thunder,AC Jayangani,G Voll,S Pandey,0,0,,,,,,"",""
ball,1,3.3,Sydney Thunder,AC Jayangani,G Voll,S Pandey,1,0,,,,,,"",""
ball,1,3.4,Sydney Thunder,G Voll,AC Jayangani,S Pandey,0,0,,,,,,"",""
ball,1,3.5,Sydney Thunder,G Voll,AC Jayangani,S Pandey,1,0,,,,,,"",""
ball,1,3.6,Sydney Thunder,AC Jayangani,G Voll,S Pandey,0,0,,,,,,"",""
ball,1,4.1,Sydney Thunder,G Voll,AC Jayangani,NM Hancock,0,0,,,,,,bowled,G Voll
ball,1,4.2,Sydney Thunder,P Litchfield,AC Jayangani,NM Hancock,1,0,,,,,,"",""
ball,1,4.3,Sydney Thunder,AC Jayangani,P Litchfield,NM Hancock,1,0,,,,,,"",""
ball,1,4.4,Sydney Thunder,P Litchfield,AC Jayangani,NM Hancock,0,0,,,,,,"",""
ball,1,4.5,Sydney Thunder,P Litchfield,AC Jayangani,NM Hancock,1,0,,,,,,"",""
ball,1,4.6,Sydney Thunder,AC Jayangani,P Litchfield,NM Hancock,0,0,,,,,,"",""
ball,1,5.1,Sydney Thunder,P Litchfield,AC Jayangani,LK Hamilton,0,0,,,,,,"",""
ball,1,5.2,Sydney Thunder,P Litchfield,AC Jayangani,LK Hamilton,1,0,,,,,,"",""
ball,1,5.3,Sydney Thunder,AC Jayangani,P Litchfield,LK Hamilton,4,0,,,,,,"",""
ball,1,5.4,Sydney Thunder,AC Jayangani,P Litchfield,LK Hamilton,1,0,,,,,,"",""
ball,1,5.5,Sydney Thunder,P Litchfield,AC Jayangani,LK Hamilton,0,0,,,,,,"",""
ball,1,5.6,Sydney Thunder,P Litchfield,AC Jayangani,LK Hamilton,4,0,,,,,,"",""
ball,1,6.1,Sydney Thunder,AC Jayangani,P Litchfield,CR Knott,0,0,,,,,,"",""
ball,1,6.2,Sydney Thunder,AC Jayangani,P Litchfield,CR Knott,0,0,,,,,,"",""
ball,1,6.3,Sydney Thunder,AC Jayangani,P Litchfield,CR Knott,1,0,,,,,,"",""
ball,1,6.4,Sydney Thunder,P Litchfield,AC Jayangani,CR Knott,0,0,,,,,,"",""
