version,1.7.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Sydney Sixers
info,gender,female
info,season,2025/26
info,date,2025/11/20
info,event,Women's Big Bash League
info,match_number,17
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,MM Lanning
info,umpire,ME Claydon
info,umpire,Roberto Howard
info,reserve_umpire,CA Polosak
info,tv_umpire,Sharad Patel
info,match_referee,J Stainer
info,winner,Melbourne Stars
info,winner_runs,111
info,method,D/L
info,player,Melbourne Stars,MM Lanning
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,M Kapp
info,player,Melbourne Stars,DR Gibson
info,player,Melbourne Stars,AE Jones
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,G Prestwidge
info,player,Melbourne Stars,ML Gibson
info,player,Melbourne Stars,S Day
info,player,Sydney Sixers,SIR Dunkley
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,AJ Healy
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,Siow Tzin Yee
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,MK Villiers
info,player,Sydney Sixers,EA Burns
info,player,Sydney Sixers,C Bray
info,player,Sydney Sixers,L Kua
info,player,Sydney Sixers,L Cheatle
info,registry,people,A Gardner,bc969efb
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AE Jones,b05e45e4
info,registry,people,AJ Healy,321644de
info,registry,people,C Bray,b54cc792
info,registry,people,CA Polosak,26a360d2
info,registry,people,DR Gibson,d2763568
info,registry,people,EA Burns,2e0b6638
info,registry,people,EA Perry,be150fc8
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,J Stainer,fcd293d7
info,registry,people,KJ Garth,0b69a844
info,registry,people,L Cheatle,275dff85
info,registry,people,L Kua,c6dfc16b
info,registry,people,M Brown,78bec461
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ME Claydon,15101f12
info,registry,people,MK Villiers,cd62f670
info,registry,people,ML Gibson,27fa592f
info,registry,people,MM Lanning,27e003ce
info,registry,people,R McKenna,f7e41cd8
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,S Day,c3d27d76
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,Siow Tzin Yee,686b7194
ball,1,0.1,Melbourne Stars,MM Lanning,R McKenna,M Brown,0,0,,,,,,"",""
ball,1,0.2,Melbourne Stars,MM Lanning,R McKenna,M Brown,0,0,,,,,,"",""
ball,1,0.3,Melbourne Stars,MM Lanning,R McKenna,M Brown,1,0,,,,,,"",""
ball,1,0.4,Melbourne Stars,R McKenna,MM Lanning,M Brown,0,0,,,,,,"",""
ball,1,0.5,Melbourne Stars,R McKenna,MM Lanning,M Brown,0,0,,,,,,"",""
ball,1,0.6,Melbourne Stars,R McKenna,MM Lanning,M Brown,0,0,,,,,,"",""
ball,1,1.1,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,2,,,,2,,"",""
ball,1,1.2,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,0,,,,,,"",""
ball,1,1.3,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,4,0,,,,,,"",""
ball,1,1.4,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,0,,,,,,"",""
ball,1,1.5,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,0,,,,,,"",""
ball,1,1.6,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,0,,,,,,"",""
ball,1,2.1,Melbourne Stars,R McKenna,MM Lanning,M Brown,3,0,,,,,,"",""
ball,1,2.2,Melbourne Stars,MM Lanning,R McKenna,M Brown,4,0,,,,,,"",""
ball,1,2.3,Melbourne Stars,MM Lanning,R McKenna,M Brown,0,1,1,,,,,"",""
ball,1,2.4,Melbourne Stars,MM Lanning,R McKenna,M Brown,4,0,,,,,,"",""
ball,1,2.5,Melbourne Stars,MM Lanning,R McKenna,M Brown,1,0,,,,,,"",""
ball,1,2.6,Melbourne Stars,R McKenna,MM Lanning,M Brown,0,0,,,,,,"",""
ball,1,2.7,Melbourne Stars,R McKenna,MM Lanning,M Brown,1,0,,,,,,"",""
ball,1,3.1,Melbourne Stars,R McKenna,MM Lanning,L Cheatle,6,0,,,,,,"",""
ball,1,3.2,Melbourne Stars,R McKenna,MM Lanning,L Cheatle,1,0,,,,,,"",""
ball,1,3.3,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,0,,,,,,"",""
ball,1,3.4,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,0,,,,,,"",""
ball,1,3.5,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,4,0,,,,,,"",""
ball,1,3.6,Melbourne Stars,MM Lanning,R McKenna,L Cheatle,0,0,,,,,,"",""
ball,1,4.1,Melbourne Stars,R McKenna,MM Lanning,C Bray,0,1,,,,1,,"",""
ball,1,4.2,Melbourne Stars,MM Lanning,R McKenna,C Bray,0,0,,,,,,"",""
ball,1,4.3,Melbourne Stars,MM Lanning,R McKenna,C Bray,0,0,,,,,,"",""
ball,1,4.4,Melbourne Stars,MM Lanning,R McKenna,C Bray,4,1,,1,,,,"",""
ball,1,4.5,Melbourne Stars,MM Lanning,R McKenna,C Bray,0,0,,,,,,"",""
ball,1,4.6,Melbourne Stars,MM Lanning,R McKenna,C Bray,1,0,,,,,,"",""
ball,1,4.7,Melbourne Stars,R McKenna,MM Lanning,C Bray,1,0,,,,,,"",""
ball,1,5.1,Melbourne Stars,R McKenna,MM Lanning,A Gardner,0,1,1,,,,,"",""
ball,1,5.2,Melbourne Stars,R McKenna,MM Lanning,A Gardner,1,0,,,,,,"",""
ball,1,5.3,Melbourne Stars,MM Lanning,R McKenna,A Gardner,0,0,,,,,,"",""
ball,1,5.4,Melbourne Stars,MM Lanning,R McKenna,A Gardner,1,0,,,,,,"",""
ball,1,5.5,Melbourne Stars,R McKenna,MM Lanning,A Gardner,0,2,2,,,,,"",""
ball,1,5.6,Melbourne Stars,MM Lanning,R McKenna,A Gardner,0,0,,,,,,"",""
ball,1,5.7,Melbourne Stars,MM Lanning,R McKenna,A Gardner,0,0,,,,,,"",""
ball,1,5.8,Melbourne Stars,MM Lanning,R McKenna,A Gardner,2,0,,,,,,"",""
