version,1.7.0
info,balls_per_over,6
info,team,Brisbane Heat
info,team,Adelaide Strikers
info,gender,male
info,season,2025/26
info,date,2025/12/27
info,event,Big Bash League
info,match_number,13
info,venue,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
info,city,Brisbane
info,toss_winner,Adelaide Strikers
info,toss_decision,field
info,player_of_match,XC Bartlett
info,umpire,DM Koch
info,umpire,SE Dionysius
info,reserve_umpire,MH Wessels
info,tv_umpire,SJ Nogajski
info,match_referee,J Broadbent
info,winner,Brisbane Heat
info,winner_runs,7
info,player,Brisbane Heat,C Munro
info,player,Brisbane Heat,JD Wildermuth
info,player,Brisbane Heat,MT Renshaw
info,player,Brisbane Heat,HD Weibgen
info,player,Brisbane Heat,M Bryant
info,player,Brisbane Heat,TP Alsop
info,player,Brisbane Heat,JJ Peirson
info,player,Brisbane Heat,XC Bartlett
info,player,Brisbane Heat,Shaheen Shah Afridi
info,player,Brisbane Heat,MP Kuhnemann
info,player,Brisbane Heat,Thomas Balkin
info,player,Adelaide Strikers,MW Short
info,player,Adelaide Strikers,CA Lynn
info,player,Adelaide Strikers,MW Harvey
info,player,Adelaide Strikers,L Scott
info,player,Adelaide Strikers,HJ Manenti
info,player,Adelaide Strikers,J Overton
info,player,Adelaide Strikers,J Wadia
info,player,Adelaide Strikers,L Wood
info,player,Adelaide Strikers,HJ Nielsen
info,player,Adelaide Strikers,Hasan Ali
info,player,Adelaide Strikers,L Pope
info,registry,people,C Munro,af2c687b
info,registry,people,CA Lynn,45eda7c8
info,registry,people,DM Koch,6d10c034
info,registry,people,HD Weibgen,2535b30f
info,registry,people,HJ Manenti,0e56c514
info,registry,people,HJ Nielsen,0ea1455a
info,registry,people,Hasan Ali,2911de16
info,registry,people,J Broadbent,f3266bb5
info,registry,people,J Overton,59559bc2
info,registry,people,J Wadia,6ef38020
info,registry,people,JD Wildermuth,f1c61793
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,L Haskett,037429dc
info,registry,people,L Pope,616a8149
info,registry,people,L Scott,0ebb3444
info,registry,people,L Wood,65b6943c
info,registry,people,M Bryant,f32012f4
info,registry,people,MH Wessels,90f47cf2
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MT Renshaw,218d4d78
info,registry,people,MW Harvey,47dc9794
info,registry,people,MW Short,a90e53ec
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TP Alsop,961b8ff1
info,registry,people,Thomas Balkin,61c4f340
info,registry,people,XC Bartlett,3b53243a
ball,1,0.1,Brisbane Heat,C Munro,JD Wildermuth,L Wood,1,0,,,,,,"",""
ball,1,0.2,Brisbane Heat,JD Wildermuth,C Munro,L Wood,1,0,,,,,,"",""
ball,1,0.3,Brisbane Heat,C Munro,JD Wildermuth,L Wood,4,0,,,,,,"",""
ball,1,0.4,Brisbane Heat,C Munro,JD Wildermuth,L Wood,1,0,,,,,,"",""
ball,1,0.5,Brisbane Heat,JD Wildermuth,C Munro,L Wood,0,0,,,,,,"",""
ball,1,0.6,Brisbane Heat,JD Wildermuth,C Munro,L Wood,0,0,,,,,,"",""
ball,1,1.1,Brisbane Heat,C Munro,JD Wildermuth,L Scott,1,0,,,,,,"",""
ball,1,1.2,Brisbane Heat,JD Wildermuth,C Munro,L Scott,0,0,,,,,,caught,JD Wildermuth
ball,1,1.3,Brisbane Heat,MT Renshaw,C Munro,L Scott,1,0,,,,,,"",""
ball,1,1.4,Brisbane Heat,C Munro,MT Renshaw,L Scott,1,0,,,,,,"",""
ball,1,1.5,Brisbane Heat,MT Renshaw,C Munro,L Scott,1,0,,,,,,"",""
ball,1,1.6,Brisbane Heat,C Munro,MT Renshaw,L Scott,2,0,,,,,,"",""
ball,1,2.1,Brisbane Heat,MT Renshaw,C Munro,L Wood,4,0,,,,,,"",""
ball,1,2.2,Brisbane Heat,MT Renshaw,C Munro,L Wood,2,0,,,,,,"",""
ball,1,2.3,Brisbane Heat,MT Renshaw,C Munro,L Wood,0,1,1,,,,,"",""
ball,1,2.4,Brisbane Heat,MT Renshaw,C Munro,L Wood,4,0,,,,,,"",""
ball,1,2.5,Brisbane Heat,MT Renshaw,C Munro,L Wood,0,1,,1,,,,"",""
ball,1,2.6,Brisbane Heat,MT Renshaw,C Munro,L Wood,0,1,1,,,,,"",""
ball,1,2.7,Brisbane Heat,MT Renshaw,C Munro,L Wood,1,0,,,,,,"",""
ball,1,2.8,Brisbane Heat,C Munro,MT Renshaw,L Wood,4,0,,,,,,"",""
ball,1,2.9,Brisbane Heat,C Munro,MT Renshaw,L Wood,0,0,,,,,,bowled,C Munro
ball,1,3.1,Brisbane Heat,MT Renshaw,HD Weibgen,J Overton,1,0,,,,,,"",""
ball,1,3.2,Brisbane Heat,HD Weibgen,MT Renshaw,J Overton,1,0,,,,,,"",""
ball,1,3.3,Brisbane Heat,MT Renshaw,HD Weibgen,J Overton,0,0,,,,,,"",""
ball,1,3.4,Brisbane Heat,MT Renshaw,HD Weibgen,J Overton,0,1,1,,,,,"",""
ball,1,3.5,Brisbane Heat,MT Renshaw,HD Weibgen,J Overton,0,0,,,,,,"",""
