version,1.7.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Melbourne Stars
info,gender,female
info,season,2023/24
info,date,2023/10/21
info,event,Women's Big Bash League
info,match_number,4
info,venue,"Karen Rolton Oval, Adelaide"
info,city,Adelaide
info,toss_winner,Melbourne Stars
info,toss_decision,field
info,player_of_match,KM Mack
info,umpire,Harsimran Singh
info,umpire,K Miegel
info,match_referee,SJ Davis
info,winner,Adelaide Strikers
info,winner_runs,148
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,DR Gibson
info,player,Adelaide Strikers,GL Adams
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,AC Mushangwe
info,player,Melbourne Stars,SIR Dunkley
info,player,Melbourne Stars,MM Lanning
info,player,Melbourne Stars,A Capsey
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,ME Bouchier
info,player,Melbourne Stars,N Faltum
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,S Day
info,player,Melbourne Stars,MH Illingworth
info,registry,people,A Capsey,910dd54e
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,DR Gibson,d2763568
info,registry,people,GL Adams,7b1f2542
info,registry,people,Harsimran Singh,bf4720ce
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,K Miegel,fcef2064
info,registry,people,KJ Garth,0b69a844
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Penna,36453b99
info,registry,people,ME Bouchier,c2554b59
info,registry,people,MH Illingworth,99dc3877
info,registry,people,ML Schutt,17608a6f
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Faltum,9a56c670
info,registry,people,R McKenna,f7e41cd8
info,registry,people,S Day,c3d27d76
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Adelaide Strikers,KM Mack,L Wolvaardt,KJ Garth,0,0,,,,,,"",""
ball,1,0.2,Adelaide Strikers,KM Mack,L Wolvaardt,KJ Garth,2,0,,,,,,"",""
ball,1,0.3,Adelaide Strikers,KM Mack,L Wolvaardt,KJ Garth,4,0,,,,,,"",""
ball,1,0.4,Adelaide Strikers,KM Mack,L Wolvaardt,KJ Garth,4,0,,,,,,"",""
ball,1,0.5,Adelaide Strikers,KM Mack,L Wolvaardt,KJ Garth,1,0,,,,,,"",""
ball,1,0.6,Adelaide Strikers,L Wolvaardt,KM Mack,KJ Garth,0,0,,,,,,"",""
ball,1,1.1,Adelaide Strikers,KM Mack,L Wolvaardt,SK Moloney,1,0,,,,,,"",""
ball,1,1.2,Adelaide Strikers,L Wolvaardt,KM Mack,SK Moloney,1,0,,,,,,"",""
ball,1,1.3,Adelaide Strikers,KM Mack,L Wolvaardt,SK Moloney,1,0,,,,,,"",""
ball,1,1.4,Adelaide Strikers,L Wolvaardt,KM Mack,SK Moloney,0,0,,,,,,"",""
ball,1,1.5,Adelaide Strikers,L Wolvaardt,KM Mack,SK Moloney,1,0,,,,,,"",""
ball,1,1.6,Adelaide Strikers,KM Mack,L Wolvaardt,SK Moloney,4,0,,,,,,"",""
ball,1,2.1,Adelaide Strikers,L Wolvaardt,KM Mack,S Day,0,0,,,,,,"",""
ball,1,2.2,Adelaide Strikers,L Wolvaardt,KM Mack,S Day,1,0,,,,,,"",""
ball,1,2.3,Adelaide Strikers,KM Mack,L Wolvaardt,S Day,2,0,,,,,,"",""
ball,1,2.4,Adelaide Strikers,KM Mack,L Wolvaardt,S Day,4,0,,,,,,"",""
ball,1,2.5,Adelaide Strikers,KM Mack,L Wolvaardt,S Day,0,0,,,,,,"",""
ball,1,2.6,Adelaide Strikers,KM Mack,L Wolvaardt,S Day,1,0,,,,,,"",""
ball,1,3.1,Adelaide Strikers,KM Mack,L Wolvaardt,A Capsey,2,0,,,,,,"",""
ball,1,3.2,Adelaide Strikers,KM Mack,L Wolvaardt,A Capsey,4,0,,,,,,"",""
ball,1,3.3,Adelaide Strikers,KM Mack,L Wolvaardt,A Capsey,4,0,,,,,,"",""
ball,1,3.4,Adelaide Strikers,KM Mack,L Wolvaardt,A Capsey,1,0,,,,,,"",""
