version,1.7.0
info,balls_per_over,6
info,team,Thunder
info,team,Central Sparks
info,gender,female
info,season,2020
info,date,2020/09/05
info,event,Rachael Heyhoe Flint Trophy
info,venue,"County Ground, New Road, Worcester"
info,city,Worcester
info,toss_winner,Thunder
info,toss_decision,bat
info,umpire,JW Lloyds
info,umpire,M Underdown
info,match_referee,TJ Boon
info,winner,Central Sparks
info,winner_wickets,8
info,player,Thunder,L Marshall
info,player,Thunder,GEB Boyce
info,player,Thunder,L Jackson
info,player,Thunder,E Threlkeld
info,player,Thunder,N Brown
info,player,Thunder,R Duckworth
info,player,Thunder,L Heap
info,player,Thunder,Olivia Thomas
info,player,Thunder,AE Dyson
info,player,Thunder,A Hartley
info,player,Thunder,HE Jones
info,player,Central Sparks,E Jones
info,player,Central Sparks,GM Davies
info,player,Central Sparks,M Kelly
info,player,Central Sparks,P Davies
info,player,Central Sparks,EL Arlott
info,player,Central Sparks,TF Brookes
info,player,Central Sparks,CK Boycott
info,player,Central Sparks,CAE Hill
info,player,Central Sparks,M Home
info,player,Central Sparks,A Patel
info,player,Central Sparks,EA Russell
info,registry,people,A Hartley,53d50717
info,registry,people,A Patel,eaeaf575
info,registry,people,AE Dyson,7b34c7e2
info,registry,people,CAE Hill,24ffb29f
info,registry,people,CK Boycott,a6fb56d4
info,registry,people,E Jones,971cb321
info,registry,people,E Threlkeld,c66c73f9
info,registry,people,EA Russell,708584cf
info,registry,people,EL Arlott,78fd864b
info,registry,people,GEB Boyce,5b1f15fc
info,registry,people,GM Davies,dbd30397
info,registry,people,HE Jones,f7b74efa
info,registry,people,JW Lloyds,112b8472
info,registry,people,L Heap,8d26dfab
info,registry,people,L Jackson,68ac12a0
info,registry,people,L Marshall,04e5a38a
info,registry,people,M Home,cd73c513
info,registry,people,M Kelly,ebf683f9
info,registry,people,M Underdown,0fa73f64
info,registry,people,N Brown,d900e56e
info,registry,people,Olivia Thomas,dbdec8e0
info,registry,people,P Davies,b81ede97
info,registry,people,R Duckworth,8122c036
info,registry,people,TF Brookes,45135344
info,registry,people,TJ Boon,0bdf177a
ball,1,0.1,Thunder,L Marshall,GEB Boyce,EA Russell,0,0,,,,,,"",""
ball,1,0.2,Thunder,L Marshall,GEB Boyce,EA Russell,0,0,,,,,,"",""
ball,1,0.3,Thunder,L Marshall,GEB Boyce,EA Russell,0,0,,,,,,"",""
ball,1,0.4,Thunder,L Marshall,GEB Boyce,EA Russell,0,0,,,,,,"",""
ball,1,0.5,Thunder,L Marshall,GEB Boyce,EA Russell,4,0,,,,,,"",""
ball,1,0.6,Thunder,L Marshall,GEB Boyce,EA Russell,1,0,,,,,,"",""
ball,1,1.1,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,1.2,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,1.3,Thunder,L Marshall,GEB Boyce,EL Arlott,4,0,,,,,,"",""
ball,1,1.4,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,1.5,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,1.6,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,2.1,Thunder,GEB Boyce,L Marshall,EA Russell,0,0,,,,,,"",""
ball,1,2.2,Thunder,GEB Boyce,L Marshall,EA Russell,0,1,1,,,,,"",""
ball,1,2.3,Thunder,GEB Boyce,L Marshall,EA Russell,0,0,,,,,,"",""
ball,1,2.4,Thunder,GEB Boyce,L Marshall,EA Russell,0,0,,,,,,"",""
ball,1,2.5,Thunder,GEB Boyce,L Marshall,EA Russell,0,0,,,,,,"",""
ball,1,2.6,Thunder,GEB Boyce,L Marshall,EA Russell,0,1,1,,,,,"",""
ball,1,2.7,Thunder,GEB Boyce,L Marshall,EA Russell,0,0,,,,,,"",""
ball,1,2.8,Thunder,GEB Boyce,L Marshall,EA Russell,0,0,,,,,,"",""
ball,1,3.1,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,3.2,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,3.3,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,3.4,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,3.5,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,3.6,Thunder,L Marshall,GEB Boyce,EL Arlott,0,0,,,,,,"",""
ball,1,4.1,Thunder,GEB Boyce,L Marshall,EA Russell,0,0,,,,,,"",""
