version,1.7.0
info,balls_per_over,6
info,team,Joburg Super Kings
info,team,MI Cape Town
info,gender,male
info,season,2025/26
info,date,2026/01/06
info,event,SA20
info,match_number,15
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,field
info,player_of_match,N Pooran
info,umpire,AT Holdstock
info,umpire,A Jacobs
info,reserve_umpire,W Wyngaard
info,tv_umpire,M Erasmus
info,match_referee,SB Lambson
info,winner,MI Cape Town
info,winner_wickets,4
info,method,D/L
info,player,Joburg Super Kings,JM Vince
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,D Forrester
info,player,Joburg Super Kings,M De Villiers
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,Shubham Ranjane
info,player,Joburg Super Kings,PWA Mulder
info,player,Joburg Super Kings,AJ Hosein
info,player,Joburg Super Kings,P Subrayen
info,player,Joburg Super Kings,N Burger
info,player,Joburg Super Kings,RJ Gleeson
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,N Pooran
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,JF Smith
info,player,MI Cape Town,Karim Janat
info,player,MI Cape Town,C Bosch
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,K Rabada
info,player,MI Cape Town,TA Boult
info,registry,people,A Jacobs,70d117de
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,C Bosch,172dff15
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Forrester,23393635
info,registry,people,F du Plessis,3355b542
info,registry,people,GF Linde,e5437608
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JF Smith,91cd48e0
info,registry,people,JM Vince,a15618fe
info,registry,people,K Rabada,e62dd25d
info,registry,people,Karim Janat,62175638
info,registry,people,M De Villiers,e9aaf862
info,registry,people,M Erasmus,15d3c895
info,registry,people,N Burger,465aa633
info,registry,people,N Pooran,3241e3fd
info,registry,people,P Subrayen,7ec9711d
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RJ Gleeson,402f8494
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SB Lambson,4146063f
info,registry,people,Shubham Ranjane,6c7a68d0
info,registry,people,TA Boult,a818c1be
info,registry,people,W Wyngaard,5cafa9ed
ball,1,0.1,Joburg Super Kings,JM Vince,F du Plessis,TA Boult,4,0,,,,,,"",""
ball,1,0.2,Joburg Super Kings,JM Vince,F du Plessis,TA Boult,0,0,,,,,,"",""
ball,1,0.3,Joburg Super Kings,JM Vince,F du Plessis,TA Boult,4,0,,,,,,"",""
ball,1,0.4,Joburg Super Kings,JM Vince,F du Plessis,TA Boult,1,0,,,,,,"",""
ball,1,0.5,Joburg Super Kings,F du Plessis,JM Vince,TA Boult,1,0,,,,,,"",""
ball,1,0.6,Joburg Super Kings,JM Vince,F du Plessis,TA Boult,0,0,,,,,,"",""
ball,1,1.1,Joburg Super Kings,F du Plessis,JM Vince,K Rabada,0,0,,,,,,"",""
ball,1,1.2,Joburg Super Kings,F du Plessis,JM Vince,K Rabada,4,0,,,,,,"",""
ball,1,1.3,Joburg Super Kings,F du Plessis,JM Vince,K Rabada,0,0,,,,,,"",""
ball,1,1.4,Joburg Super Kings,F du Plessis,JM Vince,K Rabada,4,0,,,,,,"",""
ball,1,1.5,Joburg Super Kings,F du Plessis,JM Vince,K Rabada,4,0,,,,,,"",""
ball,1,1.6,Joburg Super Kings,F du Plessis,JM Vince,K Rabada,4,0,,,,,,"",""
ball,1,2.1,Joburg Super Kings,JM Vince,F du Plessis,GF Linde,0,0,,,,,,"",""
ball,1,2.2,Joburg Super Kings,JM Vince,F du Plessis,GF Linde,0,0,,,,,,"",""
ball,1,2.3,Joburg Super Kings,JM Vince,F du Plessis,GF Linde,6,0,,,,,,"",""
ball,1,2.4,Joburg Super Kings,JM Vince,F du Plessis,GF Linde,0,0,,,,,,caught,JM Vince
ball,1,2.5,Joburg Super Kings,D Forrester,F du Plessis,GF Linde,4,0,,,,,,"",""
ball,1,2.6,Joburg Super Kings,D Forrester,F du Plessis,GF Linde,1,0,,,,,,"",""
ball,1,3.1,Joburg Super Kings,D Forrester,F du Plessis,C Bosch,0,0,,,,,,caught,D Forrester
ball,1,3.2,Joburg Super Kings,M De Villiers,F du Plessis,C Bosch,4,0,,,,,,"",""
ball,1,3.3,Joburg Super Kings,M De Villiers,F du Plessis,C Bosch,0,0,,,,,,"",""
ball,1,3.4,Joburg Super Kings,M De Villiers,F du Plessis,C Bosch,0,1,,,,1,,"",""
ball,1,3.5,Joburg Super Kings,F du Plessis,M De Villiers,C Bosch,0,0,,,,,,"",""
ball,1,3.6,Joburg Super Kings,F du Plessis,M De Villiers,C Bosch,0,0,,,,,,"",""
