version,1.7.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Hobart Hurricanes
info,gender,female
info,season,2024/25
info,date,2024/11/16
info,event,Women's Big Bash League
info,match_number,29
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Adelaide Strikers
info,toss_decision,bat
info,player_of_match,M Penna
info,umpire,MV Waldron
info,umpire,PR George
info,reserve_umpire,D Bhatt
info,tv_umpire,D Taylor
info,match_referee,SD Fry
info,winner,Adelaide Strikers
info,winner_runs,38
info,player,Adelaide Strikers,S Mandhana
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,O Prendergast
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,AC Mushangwe
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,SW Bates
info,player,Hobart Hurricanes,CL Tryon
info,player,Hobart Hurricanes,KE Bryce
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,A Smith
info,player,Hobart Hurricanes,LG Smith
info,player,Hobart Hurricanes,C Wilson
info,registry,people,A Smith,b125ce63
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Mushangwe,db873292
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,C Wilson,44b2bacc
info,registry,people,CL Tryon,4d4605e6
info,registry,people,D Bhatt,b34f743c
info,registry,people,D Taylor,b940a2b2
info,registry,people,EJ Villani,cde96d97
info,registry,people,H Graham,99812d10
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KE Bryce,f13d3eba
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LG Smith,9c515112
info,registry,people,M Penna,36453b99
info,registry,people,M Strano,f57d5dbb
info,registry,people,ML Schutt,17608a6f
info,registry,people,MV Waldron,2e4f11e9
info,registry,people,NJ Carey,dff806f4
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,PR George,b76e2583
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SD Fry,6b725ed1
info,registry,people,SW Bates,89bbc67a
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Adelaide Strikers,S Mandhana,KM Mack,M Strano,0,0,,,,,,"",""
ball,1,0.2,Adelaide Strikers,S Mandhana,KM Mack,M Strano,1,0,,,,,,"",""
ball,1,0.3,Adelaide Strikers,KM Mack,S Mandhana,M Strano,0,1,1,,,,,"",""
ball,1,0.4,Adelaide Strikers,KM Mack,S Mandhana,M Strano,2,0,,,,,,"",""
ball,1,0.5,Adelaide Strikers,KM Mack,S Mandhana,M Strano,1,0,,,,,,"",""
ball,1,0.6,Adelaide Strikers,S Mandhana,KM Mack,M Strano,0,0,,,,,,"",""
ball,1,0.7,Adelaide Strikers,S Mandhana,KM Mack,M Strano,1,0,,,,,,"",""
ball,1,1.1,Adelaide Strikers,S Mandhana,KM Mack,KE Bryce,0,0,,,,,,"",""
ball,1,1.2,Adelaide Strikers,S Mandhana,KM Mack,KE Bryce,4,0,,,,,,"",""
ball,1,1.3,Adelaide Strikers,S Mandhana,KM Mack,KE Bryce,0,0,,,,,,"",""
ball,1,1.4,Adelaide Strikers,S Mandhana,KM Mack,KE Bryce,0,0,,,,,,"",""
ball,1,1.5,Adelaide Strikers,S Mandhana,KM Mack,KE Bryce,0,2,2,,,,,"",""
ball,1,1.6,Adelaide Strikers,KM Mack,S Mandhana,KE Bryce,1,0,,,,,,"",""
ball,1,1.7,Adelaide Strikers,S Mandhana,KM Mack,KE Bryce,0,0,,,,,,caught,S Mandhana
ball,1,2.1,Adelaide Strikers,KM Mack,L Wolvaardt,LG Smith,1,0,,,,,,"",""
ball,1,2.2,Adelaide Strikers,L Wolvaardt,KM Mack,LG Smith,1,0,,,,,,"",""
ball,1,2.3,Adelaide Strikers,KM Mack,L Wolvaardt,LG Smith,0,0,,,,,,"",""
ball,1,2.4,Adelaide Strikers,KM Mack,L Wolvaardt,LG Smith,0,0,,,,,,"",""
ball,1,2.5,Adelaide Strikers,KM Mack,L Wolvaardt,LG Smith,0,1,1,,,,,"",""
ball,1,2.6,Adelaide Strikers,KM Mack,L Wolvaardt,LG Smith,1,0,,,,,,"",""
ball,1,2.7,Adelaide Strikers,L Wolvaardt,KM Mack,LG Smith,3,0,,,,,,"",""
ball,1,3.1,Adelaide Strikers,L Wolvaardt,KM Mack,KE Bryce,1,0,,,,,,"",""
ball,1,3.2,Adelaide Strikers,KM Mack,L Wolvaardt,KE Bryce,0,0,,,,,,lbw,KM Mack
ball,1,3.3,Adelaide Strikers,TM McGrath,L Wolvaardt,KE Bryce,0,0,,,,,,"",""
ball,1,3.4,Adelaide Strikers,TM McGrath,L Wolvaardt,KE Bryce,0,1,1,,,,,"",""
ball,1,3.5,Adelaide Strikers,TM McGrath,L Wolvaardt,KE Bryce,0,0,,,,,,"",""
ball,1,3.6,Adelaide Strikers,TM McGrath,L Wolvaardt,KE Bryce,4,0,,,,,,"",""
ball,1,3.7,Adelaide Strikers,TM McGrath,L Wolvaardt,KE Bryce,0,0,,,,,,"",""
ball,1,4.1,Adelaide Strikers,L Wolvaardt,TM McGrath,H Graham,1,0,,,,,,"",""
ball,1,4.2,Adelaide Strikers,TM McGrath,L Wolvaardt,H Graham,0,0,,,,,,"",""
ball,1,4.3,Adelaide Strikers,TM McGrath,L Wolvaardt,H Graham,1,0,,,,,,"",""
ball,1,4.4,Adelaide Strikers,L Wolvaardt,TM McGrath,H Graham,0,0,,,,,,"",""
ball,1,4.5,Adelaide Strikers,L Wolvaardt,TM McGrath,H Graham,0,0,,,,,,"",""
ball,1,4.6,Adelaide Strikers,L Wolvaardt,TM McGrath,H Graham,4,0,,,,,,"",""
ball,1,5.1,Adelaide Strikers,TM McGrath,L Wolvaardt,A Smith,1,0,,,,,,"",""
ball,1,5.2,Adelaide Strikers,L Wolvaardt,TM McGrath,A Smith,1,0,,,,,,"",""
ball,1,5.3,Adelaide Strikers,TM McGrath,L Wolvaardt,A Smith,0,0,,,,,,"",""
ball,1,5.4,Adelaide Strikers,TM McGrath,L Wolvaardt,A Smith,0,0,,,,,,lbw,TM McGrath
ball,1,5.5,Adelaide Strikers,BE Patterson,L Wolvaardt,A Smith,1,0,,,,,,"",""
ball,1,5.6,Adelaide Strikers,L Wolvaardt,BE Patterson,A Smith,0,0,,,,,,"",""
ball,1,6.1,Adelaide Strikers,BE Patterson,L Wolvaardt,CL Tryon,1,0,,,,,,"",""
