version,1.7.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Sydney Sixers
info,gender,male
info,season,2025/26
info,date,2026/01/01
info,event,Big Bash League
info,match_number,18
info,venue,"Docklands Stadium, Melbourne"
info,city,Melbourne
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,SA Abbott
info,umpire,Sharad Patel
info,umpire,SE Dionysius
info,reserve_umpire,Bede Sajowitz
info,tv_umpire,D Crozier
info,match_referee,RL Parry
info,winner,Sydney Sixers
info,winner_wickets,6
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,Mohammad Rizwan
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,OJ Peake
info,player,Melbourne Renegades,Hassan Khan
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,M Spoors
info,player,Melbourne Renegades,AJ Tye
info,player,Melbourne Renegades,GS Sandhu
info,player,Melbourne Renegades,JP Behrendorff
info,player,Sydney Sixers,DP Hughes
info,player,Sydney Sixers,Babar Azam
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,JA Davies
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,BAD Manenti
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,H Kerr
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,Babar Azam,8a75e999
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,D Crozier,635509c0
info,registry,people,DP Hughes,f3982af9
info,registry,people,GS Sandhu,1558d83b
info,registry,people,H Kerr,f422728b
info,registry,people,Hassan Khan,486065b3
info,registry,people,J Brown,647e7d44
info,registry,people,J Edwards,f787e0eb
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JA Davies,5cdf8304
info,registry,people,JC Silk,7a6dc294
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JR Philippe,39086549
info,registry,people,M Spoors,da4a1e46
info,registry,people,MC Henriques,32198ae0
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,OJ Peake,9c8448ba
info,registry,people,RL Parry,86d151dc
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,TL Seifert,4663bd23
info,registry,people,W Sutherland,bc2d4f2e
ball,1,0.1,Melbourne Renegades,J Brown,TL Seifert,SA Abbott,0,0,,,,,,"",""
ball,1,0.2,Melbourne Renegades,J Brown,TL Seifert,SA Abbott,1,0,,,,,,"",""
ball,1,0.3,Melbourne Renegades,TL Seifert,J Brown,SA Abbott,1,0,,,,,,"",""
ball,1,0.4,Melbourne Renegades,J Brown,TL Seifert,SA Abbott,0,0,,,,,,"",""
ball,1,0.5,Melbourne Renegades,J Brown,TL Seifert,SA Abbott,0,0,,,,,,"",""
ball,1,0.6,Melbourne Renegades,J Brown,TL Seifert,SA Abbott,0,0,,,,,,"",""
ball,1,1.1,Melbourne Renegades,TL Seifert,J Brown,J Edwards,4,0,,,,,,"",""
ball,1,1.2,Melbourne Renegades,TL Seifert,J Brown,J Edwards,1,0,,,,,,"",""
ball,1,1.3,Melbourne Renegades,J Brown,TL Seifert,J Edwards,1,0,,,,,,"",""
ball,1,1.4,Melbourne Renegades,TL Seifert,J Brown,J Edwards,0,0,,,,,,"",""
ball,1,1.5,Melbourne Renegades,TL Seifert,J Brown,J Edwards,2,0,,,,,,"",""
ball,1,1.6,Melbourne Renegades,TL Seifert,J Brown,J Edwards,0,0,,,,,,bowled,TL Seifert
ball,1,2.1,Melbourne Renegades,J Brown,Mohammad Rizwan,BJ Dwarshuis,0,0,,,,,,"",""
ball,1,2.2,Melbourne Renegades,J Brown,Mohammad Rizwan,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,2.3,Melbourne Renegades,J Brown,Mohammad Rizwan,BJ Dwarshuis,2,0,,,,,,"",""
ball,1,2.4,Melbourne Renegades,J Brown,Mohammad Rizwan,BJ Dwarshuis,6,0,,,,,,"",""
ball,1,2.5,Melbourne Renegades,J Brown,Mohammad Rizwan,BJ Dwarshuis,6,0,,,,,,"",""
ball,1,2.6,Melbourne Renegades,J Brown,Mohammad Rizwan,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,3.1,Melbourne Renegades,Mohammad Rizwan,J Brown,J Edwards,0,0,,,,,,"",""
ball,1,3.2,Melbourne Renegades,Mohammad Rizwan,J Brown,J Edwards,1,0,,,,,,"",""
ball,1,3.3,Melbourne Renegades,J Brown,Mohammad Rizwan,J Edwards,1,0,,,,,,"",""
ball,1,3.4,Melbourne Renegades,Mohammad Rizwan,J Brown,J Edwards,2,0,,,,,,"",""
ball,1,3.5,Melbourne Renegades,Mohammad Rizwan,J Brown,J Edwards,0,0,,,,,,"",""
ball,1,3.6,Melbourne Renegades,Mohammad Rizwan,J Brown,J Edwards,0,0,,,,,,"",""
