version,1.7.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Sydney Thunder
info,gender,female
info,season,2023/24
info,date,2023/11/12
info,event,Women's Big Bash League
info,match_number,36
info,venue,"Junction Oval, Melbourne"
info,city,Melbourne
info,toss_winner,Sydney Thunder
info,toss_decision,field
info,player_of_match,BL Mooney
info,umpire,C Haysom
info,umpire,L McCabe
info,tv_umpire,SAJ Craig
info,match_referee,RW Stratford
info,winner,Perth Scorchers
info,winner_runs,42
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,NR Sciver-Brunt
info,player,Perth Scorchers,AE Jones
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,CC Ainsworth
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,M Kapp
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,C Moore
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,LG Smith
info,player,Sydney Thunder,LK Bell
info,player,Sydney Thunder,SL Bates
info,registry,people,A King,83558266
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AE Jones,b05e45e4
info,registry,people,AL Edgar,795ff893
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Haysom,e8eb3b33
info,registry,people,C Moore,284cd027
info,registry,people,C Piparo,276f3dde
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,HJ Darlington,50b558d2
info,registry,people,L McCabe,1dbc4a64
info,registry,people,L Mills,c35a0b8a
info,registry,people,LG Smith,9c515112
info,registry,people,LK Bell,38b4583c
info,registry,people,M Darke,57a90666
info,registry,people,M Kapp,63e3b6b3
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Cleary,507acf2e
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,RW Stratford,85489579
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SFM Devine,de69af96
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Wilson,32100b2d
ball,1,0.1,Perth Scorchers,SFM Devine,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,0.2,Perth Scorchers,SFM Devine,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,0.3,Perth Scorchers,SFM Devine,BL Mooney,M Kapp,0,0,,,,,,"",""
ball,1,0.4,Perth Scorchers,SFM Devine,BL Mooney,M Kapp,1,0,,,,,,"",""
ball,1,0.5,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,0,0,,,,,,"",""
ball,1,0.6,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,1,0,,,,,,"",""
ball,1,1.1,Perth Scorchers,BL Mooney,SFM Devine,LK Bell,0,0,,,,,,"",""
ball,1,1.2,Perth Scorchers,BL Mooney,SFM Devine,LK Bell,4,0,,,,,,"",""
ball,1,1.3,Perth Scorchers,BL Mooney,SFM Devine,LK Bell,4,0,,,,,,"",""
ball,1,1.4,Perth Scorchers,BL Mooney,SFM Devine,LK Bell,0,0,,,,,,"",""
ball,1,1.5,Perth Scorchers,BL Mooney,SFM Devine,LK Bell,0,1,,,,1,,"",""
ball,1,1.6,Perth Scorchers,SFM Devine,BL Mooney,LK Bell,0,0,,,,,,"",""
ball,1,2.1,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,4,0,,,,,,"",""
ball,1,2.2,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,2,0,,,,,,"",""
ball,1,2.3,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,0,0,,,,,,"",""
ball,1,2.4,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,0,0,,,,,,"",""
ball,1,2.5,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,0,0,,,,,,"",""
ball,1,2.6,Perth Scorchers,BL Mooney,SFM Devine,M Kapp,4,0,,,,,,"",""
ball,1,3.1,Perth Scorchers,SFM Devine,BL Mooney,SL Bates,0,0,,,,,,"",""
ball,1,3.2,Perth Scorchers,SFM Devine,BL Mooney,SL Bates,1,0,,,,,,"",""
ball,1,3.3,Perth Scorchers,BL Mooney,SFM Devine,SL Bates,0,0,,,,,,"",""
ball,1,3.4,Perth Scorchers,BL Mooney,SFM Devine,SL Bates,1,0,,,,,,"",""
ball,1,3.5,Perth Scorchers,SFM Devine,BL Mooney,SL Bates,1,0,,,,,,"",""
