version,1.7.0
info,balls_per_over,6
info,team,Kent
info,team,Surrey
info,gender,male
info,season,2018
info,date,2018/06/01
info,event,Royal London One-Day Cup
info,venue,"Kent County Cricket Ground, Beckenham"
info,city,Beckenham
info,toss_winner,Surrey
info,toss_decision,field
info,umpire,AG Wharf
info,umpire,RJ Bailey
info,winner,Kent
info,winner_runs,220
info,player,Kent,DJ Bell-Drummond
info,player,Kent,HG Kuhn
info,player,Kent,JL Denly
info,player,Kent,SW Billings
info,player,Kent,AJ Blake
info,player,Kent,SR Dickson
info,player,Kent,DI Stevens
info,player,Kent,CJ Haggett
info,player,Kent,MJ Henry
info,player,Kent,Imran Qayyum
info,player,Kent,ME Claydon
info,player,Surrey,JJ Roy
info,player,Surrey,MD Stoneman
info,player,Surrey,WG Jacks
info,player,Surrey,RJ Burns
info,player,Surrey,BT Foakes
info,player,Surrey,OJ Pope
info,player,Surrey,R Clarke
info,player,Surrey,TK Curran
info,player,Surrey,GJ Batty
info,player,Surrey,JW Dernbach
info,player,Surrey,M Morkel
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AJ Blake,ea27a674
info,registry,people,BT Foakes,fd770945
info,registry,people,CJ Haggett,9395f98e
info,registry,people,DI Stevens,bca21d18
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,GJ Batty,5ac8f17b
info,registry,people,HG Kuhn,ede05b97
info,registry,people,Imran Qayyum,e5652e3d
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JL Denly,bdadf7da
info,registry,people,JW Dernbach,7be8a0ed
info,registry,people,M Morkel,5bb5a915
info,registry,people,MD Stoneman,1b77f62b
info,registry,people,ME Claydon,15101f12
info,registry,people,MJ Henry,e84ac20c
info,registry,people,OJ Pope,e94bc520
info,registry,people,R Clarke,8728a058
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,RJ Burns,29e8a62e
info,registry,people,SR Dickson,2344bdd1
info,registry,people,SW Billings,c16d4035
info,registry,people,TK Curran,e86754b2
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,Kent,DJ Bell-Drummond,HG Kuhn,JW Dernbach,0,0,,,,,,"",""
ball,1,0.2,Kent,DJ Bell-Drummond,HG Kuhn,JW Dernbach,1,0,,,,,,"",""
ball,1,0.3,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,0,0,,,,,,"",""
ball,1,0.4,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,4,0,,,,,,"",""
ball,1,0.5,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,0,0,,,,,,"",""
ball,1,0.6,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,0,0,,,,,,"",""
ball,1,1.1,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,0,0,,,,,,"",""
ball,1,1.2,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,0,0,,,,,,"",""
ball,1,1.3,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,4,0,,,,,,"",""
ball,1,1.4,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,0,0,,,,,,"",""
ball,1,1.5,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,0,0,,,,,,"",""
ball,1,1.6,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,0,0,,,,,,"",""
ball,1,2.1,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,2,0,,,,,,"",""
ball,1,2.2,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,0,0,,,,,,"",""
ball,1,2.3,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,0,0,,,,,,"",""
ball,1,2.4,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,0,0,,,,,,"",""
ball,1,2.5,Kent,HG Kuhn,DJ Bell-Drummond,JW Dernbach,1,0,,,,,,"",""
ball,1,2.6,Kent,DJ Bell-Drummond,HG Kuhn,JW Dernbach,2,0,,,,,,"",""
ball,1,3.1,Kent,HG Kuhn,DJ Bell-Drummond,M Morkel,0,0,,,,,,"",""
ball,1,3.2,Kent,HG Kuhn,DJ Bell-Drummond,M Morkel,0,0,,,,,,"",""
ball,1,3.3,Kent,HG Kuhn,DJ Bell-Drummond,M Morkel,1,0,,,,,,"",""
ball,1,3.4,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,4,0,,,,,,"",""
ball,1,3.5,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,0,0,,,,,,"",""
ball,1,3.6,Kent,DJ Bell-Drummond,HG Kuhn,M Morkel,0,0,,,,,,"",""
