version,1.7.0
info,balls_per_over,6
info,team,Lahore Qalandars
info,team,Islamabad United
info,gender,male
info,season,2022/23
info,date,2023/03/09
info,event,Pakistan Super League
info,match_number,26
info,venue,Rawalpindi Cricket Stadium
info,city,Rawalpindi
info,toss_winner,Lahore Qalandars
info,toss_decision,bat
info,player_of_match,Fakhar Zaman
info,umpire,Aleem Dar
info,umpire,Faisal Afridi
info,reserve_umpire,Nasir Hussain
info,tv_umpire,Ahsan Raza
info,match_referee,RS Mahanama
info,winner,Lahore Qalandars
info,winner_runs,119
info,player,Lahore Qalandars,Abdullah Shafique
info,player,Lahore Qalandars,Fakhar Zaman
info,player,Lahore Qalandars,Kamran Ghulam
info,player,Lahore Qalandars,SW Billings
info,player,Lahore Qalandars,Sikandar Raza
info,player,Lahore Qalandars,D Wiese
info,player,Lahore Qalandars,Rashid Khan
info,player,Lahore Qalandars,Hussain Talat
info,player,Lahore Qalandars,Shaheen Shah Afridi
info,player,Lahore Qalandars,Haris Rauf
info,player,Lahore Qalandars,Zaman Khan
info,player,Islamabad United,Rahmanullah Gurbaz
info,player,Islamabad United,AD Hales
info,player,Islamabad United,C Munro
info,player,Islamabad United,Shadab Khan
info,player,Islamabad United,Mubasir Khan
info,player,Islamabad United,Asif Ali
info,player,Islamabad United,Faheem Ashraf
info,player,Islamabad United,Hasan Ali
info,player,Islamabad United,Mohammad Wasim
info,player,Islamabad United,Fazalhaq Farooqi
info,player,Islamabad United,Azam Khan
info,registry,people,AD Hales,92aeac25
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Azam Khan,ee8f1a6d
info,registry,people,C Munro,af2c687b
info,registry,people,D Wiese,aa8d28ae
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hasan Ali,2911de16
info,registry,people,Hussain Talat,bb4b445b
info,registry,people,Kamran Ghulam,35f4cf7e
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,Mubasir Khan,7264b765
info,registry,people,Nasir Hussain,5b2fe85b
info,registry,people,RS Mahanama,57910393
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SW Billings,c16d4035
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Zaman Khan,28392e11
ball,1,0.1,Lahore Qalandars,Abdullah Shafique,Fakhar Zaman,Fazalhaq Farooqi,0,1,1,,,,,"",""
ball,1,0.2,Lahore Qalandars,Abdullah Shafique,Fakhar Zaman,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,0.3,Lahore Qalandars,Fakhar Zaman,Abdullah Shafique,Fazalhaq Farooqi,0,1,,,,1,,"",""
ball,1,0.4,Lahore Qalandars,Abdullah Shafique,Fakhar Zaman,Fazalhaq Farooqi,0,0,,,,,,caught,Abdullah Shafique
ball,1,0.5,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.6,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,0.7,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Fazalhaq Farooqi,0,1,1,,,,,"",""
ball,1,0.8,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,1.1,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,0,1,1,,,,,"",""
ball,1,1.2,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,0,1,1,,,,,"",""
ball,1,1.3,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,0,0,,,,,,"",""
ball,1,1.4,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,1,0,,,,,,"",""
ball,1,1.5,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,0,0,,,,,,"",""
ball,1,1.6,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,0,1,1,,,,,"",""
ball,1,1.7,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,0,1,,1,,,,"",""
ball,1,1.8,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,1,0,,,,,,"",""
ball,1,1.9,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,0,1,1,,,,,"",""
ball,1,1.10,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,0,0,,,,,,"",""
ball,1,1.11,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,1,0,,,,,,"",""
ball,1,2.1,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.2,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.3,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,2.4,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Fazalhaq Farooqi,4,0,,,,,,"",""
ball,1,2.5,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Fazalhaq Farooqi,1,0,,,,,,"",""
ball,1,2.6,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Fazalhaq Farooqi,0,0,,,,,,"",""
ball,1,3.1,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Faheem Ashraf,0,0,,,,,,"",""
ball,1,3.2,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Faheem Ashraf,4,0,,,,,,"",""
ball,1,3.3,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Faheem Ashraf,6,0,,,,,,"",""
ball,1,3.4,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Faheem Ashraf,4,0,,,,,,"",""
ball,1,3.5,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Faheem Ashraf,1,0,,,,,,"",""
ball,1,3.6,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Faheem Ashraf,1,0,,,,,,"",""
ball,1,4.1,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,1,0,,,,,,"",""
ball,1,4.2,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,2,0,,,,,,"",""
ball,1,4.3,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Hasan Ali,1,0,,,,,,"",""
ball,1,4.4,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,0,0,,,,,,"",""
ball,1,4.5,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,4,0,,,,,,"",""
ball,1,4.6,Lahore Qalandars,Kamran Ghulam,Fakhar Zaman,Hasan Ali,0,0,,,,,,"",""
ball,1,5.1,Lahore Qalandars,Fakhar Zaman,Kamran Ghulam,Mohammad Wasim,1,0,,,,,,"",""
