version,1.7.0
info,balls_per_over,6
info,team,Brisbane Heat
info,team,Melbourne Renegades
info,gender,male
info,season,2024/25
info,date,2025/01/18
info,event,Big Bash League
info,match_number,38
info,venue,"Docklands Stadium, Melbourne"
info,city,Melbourne
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,J Fraser-McGurk
info,umpire,BC Treloar
info,umpire,DM Koch
info,reserve_umpire,C Grant
info,tv_umpire,SAJ Craig
info,match_referee,RL Parry
info,winner,Melbourne Renegades
info,winner_wickets,3
info,player,Brisbane Heat,NA McSweeney
info,player,Brisbane Heat,JP Wood
info,player,Brisbane Heat,MT Renshaw
info,player,Brisbane Heat,DR Drew
info,player,Brisbane Heat,TP Alsop
info,player,Brisbane Heat,M Bryant
info,player,Brisbane Heat,PI Walter
info,player,Brisbane Heat,MG Neser
info,player,Brisbane Heat,XC Bartlett
info,player,Brisbane Heat,SH Johnson
info,player,Brisbane Heat,MJ Swepson
info,player,Melbourne Renegades,TS Muyeye
info,player,Melbourne Renegades,Josh Brown
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,OJ Peake
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,HT Dixon
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,F O'Neill
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,C Stow
info,registry,people,A Zampa,14f96089
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,C Grant,876ed858
info,registry,people,C Stow,3f9ec1d2
info,registry,people,DM Koch,6d10c034
info,registry,people,DR Drew,88684a42
info,registry,people,F O'Neill,39d608d4
info,registry,people,HT Dixon,ecbad6c6
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JP Wood,3c3adfce
info,registry,people,Josh Brown,647e7d44
info,registry,people,M Bryant,f32012f4
info,registry,people,MG Neser,0164b064
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,MT Renshaw,218d4d78
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,OJ Peake,9c8448ba
info,registry,people,PI Walter,57590dbb
info,registry,people,RL Parry,86d151dc
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,TL Seifert,4663bd23
info,registry,people,TP Alsop,961b8ff1
info,registry,people,TS Muyeye,10b79140
info,registry,people,TS Rogers,1b04e02b
info,registry,people,W Sutherland,bc2d4f2e
info,registry,people,XC Bartlett,3b53243a
ball,1,0.1,Brisbane Heat,NA McSweeney,JP Wood,TS Rogers,1,0,,,,,,"",""
ball,1,0.2,Brisbane Heat,JP Wood,NA McSweeney,TS Rogers,0,1,,,,1,,"",""
ball,1,0.3,Brisbane Heat,NA McSweeney,JP Wood,TS Rogers,0,0,,,,,,"",""
ball,1,0.4,Brisbane Heat,NA McSweeney,JP Wood,TS Rogers,1,0,,,,,,"",""
ball,1,0.5,Brisbane Heat,JP Wood,NA McSweeney,TS Rogers,0,1,,,,1,,"",""
ball,1,0.6,Brisbane Heat,NA McSweeney,JP Wood,TS Rogers,0,1,,,,1,,"",""
ball,1,1.1,Brisbane Heat,NA McSweeney,JP Wood,F O'Neill,0,0,,,,,,"",""
ball,1,1.2,Brisbane Heat,NA McSweeney,JP Wood,F O'Neill,1,0,,,,,,"",""
ball,1,1.3,Brisbane Heat,JP Wood,NA McSweeney,F O'Neill,0,0,,,,,,"",""
ball,1,1.4,Brisbane Heat,JP Wood,NA McSweeney,F O'Neill,1,0,,,,,,"",""
ball,1,1.5,Brisbane Heat,NA McSweeney,JP Wood,F O'Neill,0,1,1,,,,,"",""
ball,1,1.6,Brisbane Heat,NA McSweeney,JP Wood,F O'Neill,1,0,,,,,,"",""
ball,1,1.7,Brisbane Heat,JP Wood,NA McSweeney,F O'Neill,0,0,,,,,,"",""
ball,1,2.1,Brisbane Heat,NA McSweeney,JP Wood,W Sutherland,1,0,,,,,,"",""
ball,1,2.2,Brisbane Heat,JP Wood,NA McSweeney,W Sutherland,6,0,,,,,,"",""
ball,1,2.3,Brisbane Heat,JP Wood,NA McSweeney,W Sutherland,6,0,,,,,,"",""
ball,1,2.4,Brisbane Heat,JP Wood,NA McSweeney,W Sutherland,6,0,,,,,,"",""
ball,1,2.5,Brisbane Heat,JP Wood,NA McSweeney,W Sutherland,0,0,,,,,,"",""
ball,1,2.6,Brisbane Heat,JP Wood,NA McSweeney,W Sutherland,0,0,,,,,,"",""
ball,1,3.1,Brisbane Heat,NA McSweeney,JP Wood,TS Rogers,0,0,,,,,,"",""
ball,1,3.2,Brisbane Heat,NA McSweeney,JP Wood,TS Rogers,1,0,,,,,,"",""
ball,1,3.3,Brisbane Heat,JP Wood,NA McSweeney,TS Rogers,0,0,,,,,,"",""
ball,1,3.4,Brisbane Heat,JP Wood,NA McSweeney,TS Rogers,0,0,,,,,,"",""
ball,1,3.5,Brisbane Heat,JP Wood,NA McSweeney,TS Rogers,1,0,,,,,,"",""
