version,1.7.0
info,balls_per_over,6
info,team,Haryana
info,team,Karnataka
info,gender,male
info,season,2019/20
info,date,2019/11/29
info,event,Syed Mushtaq Ali Trophy
info,venue,Lalbhai Contractor Stadium
info,city,
info,toss_winner,Karnataka
info,toss_decision,field
info,winner,Karnataka
info,winner_wickets,8
info,player,Haryana,Chaitanya Bishnoi
info,player,Haryana,HV Patel
info,player,Haryana,Shivam Chauhan
info,player,Haryana,Himanshu Rana
info,player,Haryana,R Tewatia
info,player,Haryana,Sumit Kumar
info,player,Haryana,JH Saroha
info,player,Haryana,A Mishra
info,player,Haryana,J Yadav
info,player,Haryana,YS Chahal
info,player,Haryana,AH Hooda
info,player,Karnataka,A Mithun
info,player,Karnataka,RG More
info,player,Karnataka,Vasuki Koushik
info,player,Karnataka,K Gowtham
info,player,Karnataka,S Gopal
info,player,Karnataka,KL Rahul
info,player,Karnataka,D Padikkal
info,player,Karnataka,MA Agarwal
info,player,Karnataka,MK Pandey
info,player,Karnataka,KK Nair
info,player,Karnataka,Rohan Kadam
info,registry,people,A Mishra,6b19d823
info,registry,people,A Mithun,66cf56a5
info,registry,people,AH Hooda,e4072aa1
info,registry,people,Chaitanya Bishnoi,e793a8ed
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,HV Patel,f986ca1a
info,registry,people,Himanshu Rana,9d3940b3
info,registry,people,J Yadav,81049310
info,registry,people,JH Saroha,72bf3f11
info,registry,people,K Gowtham,90de905a
info,registry,people,KK Nair,944533a5
info,registry,people,KL Rahul,b17e2f24
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MK Pandey,93b4fc78
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RG More,b2b23612
info,registry,people,Rohan Kadam,673314ef
info,registry,people,S Gopal,7a8bd078
info,registry,people,Shivam Chauhan,c6272773
info,registry,people,Sumit Kumar,8998a68f
info,registry,people,Vasuki Koushik,f6cb1703
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,0,0,,,,,,"",""
ball,1,0.2,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,4,0,,,,,,"",""
ball,1,0.3,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,0,0,,,,,,"",""
ball,1,0.4,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,0,0,,,,,,"",""
ball,1,0.5,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,1,0,,,,,,"",""
ball,1,0.6,Haryana,HV Patel,Chaitanya Bishnoi,A Mithun,1,0,,,,,,"",""
ball,1,1.1,Haryana,HV Patel,Chaitanya Bishnoi,RG More,0,0,,,,,,"",""
ball,1,1.2,Haryana,HV Patel,Chaitanya Bishnoi,RG More,0,0,,,,,,"",""
ball,1,1.3,Haryana,HV Patel,Chaitanya Bishnoi,RG More,0,0,,,,,,"",""
ball,1,1.4,Haryana,HV Patel,Chaitanya Bishnoi,RG More,0,0,,,,,,"",""
ball,1,1.5,Haryana,HV Patel,Chaitanya Bishnoi,RG More,4,0,,,,,,"",""
ball,1,1.6,Haryana,HV Patel,Chaitanya Bishnoi,RG More,4,0,,,,,,"",""
ball,1,2.1,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,4,0,,,,,,"",""
ball,1,2.2,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,0,0,,,,,,"",""
ball,1,2.3,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,4,0,,,,,,"",""
ball,1,2.4,Haryana,Chaitanya Bishnoi,HV Patel,A Mithun,1,0,,,,,,"",""
ball,1,2.5,Haryana,HV Patel,Chaitanya Bishnoi,A Mithun,4,0,,,,,,"",""
ball,1,2.6,Haryana,HV Patel,Chaitanya Bishnoi,A Mithun,0,0,,,,,,"",""
ball,1,3.1,Haryana,Chaitanya Bishnoi,HV Patel,RG More,2,0,,,,,,"",""
