version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Bangladesh
info,gender,female
info,season,2025/26
info,date,2025/10/10
info,event,ICC Women's World Cup
info,match_number,11
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,BM Halliday
info,umpire,CA Polosak
info,umpire,S Dambanevana
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,Eloise Sheridan
info,match_referee,JM Pereira
info,winner,New Zealand
info,winner_runs,100
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,IC Gaze
info,player,New Zealand,JM Kerr
info,player,New Zealand,RA Mair
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,EJ Carson
info,player,Bangladesh,Rubya Haider
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Sumaiya Akter
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nishita Akter Nishi
info,player,Bangladesh,Marufa Akter
info,registry,people,AC Kerr,7673c908
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,CA Polosak,26a360d2
info,registry,people,EJ Carson,7693851c
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,GE Plimmer,575494db
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,IC Gaze,60c250bf
info,registry,people,JM Kerr,9af58032
info,registry,people,JM Pereira,f9a4a039
info,registry,people,LMM Tahuhu,60471339
info,registry,people,ML Green,865eae1f
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,Nishita Akter Nishi,71a3b8a6
info,registry,people,RA Mair,d5eb8b84
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Rubya Haider,5d095ee8
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Mostary,94de63bf
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Sumaiya Akter,469eb822
ball,1,0.1,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,1,,1,,,,"",""
ball,1,0.2,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,0.3,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,1,1,,,,,"",""
ball,1,0.4,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,0.5,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,0.6,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,0.7,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,0.8,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,1.1,New Zealand,GE Plimmer,SW Bates,Nahida Akter,1,0,,,,,,"",""
ball,1,1.2,New Zealand,SW Bates,GE Plimmer,Nahida Akter,1,0,,,,,,"",""
ball,1,1.3,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,1.4,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,1.5,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,1.6,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,2.1,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,2.2,New Zealand,SW Bates,GE Plimmer,Marufa Akter,4,0,,,,,,"",""
ball,1,2.3,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,2.4,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,2.5,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,2.6,New Zealand,SW Bates,GE Plimmer,Marufa Akter,4,0,,,,,,"",""
ball,1,3.1,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,3.2,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,3.3,New Zealand,GE Plimmer,SW Bates,Nahida Akter,1,0,,,,,,"",""
ball,1,3.4,New Zealand,SW Bates,GE Plimmer,Nahida Akter,1,0,,,,,,"",""
ball,1,3.5,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,3.6,New Zealand,GE Plimmer,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,4.1,New Zealand,SW Bates,GE Plimmer,Rabeya Khan,0,0,,,,,,"",""
ball,1,4.2,New Zealand,SW Bates,GE Plimmer,Rabeya Khan,0,0,,,,,,"",""
ball,1,4.3,New Zealand,SW Bates,GE Plimmer,Rabeya Khan,0,0,,,,,,"",""
ball,1,4.4,New Zealand,SW Bates,GE Plimmer,Rabeya Khan,4,0,,,,,,"",""
ball,1,4.5,New Zealand,SW Bates,GE Plimmer,Rabeya Khan,0,0,,,,,,"",""
ball,1,4.6,New Zealand,SW Bates,GE Plimmer,Rabeya Khan,1,0,,,,,,"",""
ball,1,5.1,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,5.2,New Zealand,SW Bates,GE Plimmer,Marufa Akter,0,0,,,,,,"",""
ball,1,5.3,New Zealand,SW Bates,GE Plimmer,Marufa Akter,4,0,,,,,,"",""
