version,1.7.0
info,balls_per_over,6
info,team,Gujarat Giants
info,team,Royal Challengers Bengaluru
info,gender,female
info,season,2024/25
info,date,2025/02/14
info,event,Women's Premier League
info,match_number,1
info,venue,"Kotambi Stadium, Vadodara"
info,city,Vadodara
info,toss_winner,Royal Challengers Bengaluru
info,toss_decision,field
info,player_of_match,RM Ghosh
info,umpire,Bhavesh Patel
info,umpire,Gayathri Venugopal
info,reserve_umpire,AK Argal
info,tv_umpire,N Janani
info,match_referee,GS Lakshmi
info,winner,Royal Challengers Bengaluru
info,winner_wickets,6
info,player,Gujarat Giants,BL Mooney
info,player,Gujarat Giants,L Wolvaardt
info,player,Gujarat Giants,D Hemalatha
info,player,Gujarat Giants,A Gardner
info,player,Gujarat Giants,DJS Dottin
info,player,Gujarat Giants,Simran Shaikh
info,player,Gujarat Giants,H Deol
info,player,Gujarat Giants,KS Gautam
info,player,Gujarat Giants,TP Kanwar
info,player,Gujarat Giants,SG Satghare
info,player,Gujarat Giants,Priya Mishra
info,player,Royal Challengers Bengaluru,S Mandhana
info,player,Royal Challengers Bengaluru,DN Wyatt
info,player,Royal Challengers Bengaluru,EA Perry
info,player,Royal Challengers Bengaluru,Raghvi Bist
info,player,Royal Challengers Bengaluru,RM Ghosh
info,player,Royal Challengers Bengaluru,KS Ahuja
info,player,Royal Challengers Bengaluru,G Wareham
info,player,Royal Challengers Bengaluru,KJ Garth
info,player,Royal Challengers Bengaluru,P Rawat
info,player,Royal Challengers Bengaluru,VJ Joshitha
info,player,Royal Challengers Bengaluru,Renuka Singh
info,registry,people,A Gardner,bc969efb
info,registry,people,AK Argal,0ee78cf3
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,Bhavesh Patel,ee03dc30
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,DJS Dottin,53bee17f
info,registry,people,DN Wyatt,a139c379
info,registry,people,EA Perry,be150fc8
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Deol,3664712e
info,registry,people,KJ Garth,0b69a844
info,registry,people,KS Ahuja,58593620
info,registry,people,KS Gautam,bc773c4a
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,N Janani,d06a665d
info,registry,people,P Rawat,34b8cd68
info,registry,people,Priya Mishra,91e217c3
info,registry,people,RM Ghosh,721e0199
info,registry,people,Raghvi Bist,19826516
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SG Satghare,3708b522
info,registry,people,Simran Shaikh,4961601c
info,registry,people,TP Kanwar,443c122f
info,registry,people,VJ Joshitha,f086c757
ball,1,0.1,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,0,0,,,,,,"",""
ball,1,0.2,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,4,0,,,,,,"",""
ball,1,0.3,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,0,0,,,,,,"",""
ball,1,0.4,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,"",""
ball,1,0.5,Gujarat Giants,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,0.6,Gujarat Giants,L Wolvaardt,BL Mooney,Renuka Singh,0,1,1,,,,,"",""
ball,1,0.7,Gujarat Giants,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,1.1,Gujarat Giants,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,"",""
ball,1,1.2,Gujarat Giants,L Wolvaardt,BL Mooney,KJ Garth,0,1,1,,,,,"",""
ball,1,1.3,Gujarat Giants,L Wolvaardt,BL Mooney,KJ Garth,1,0,,,,,,"",""
ball,1,1.4,Gujarat Giants,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,"",""
ball,1,1.5,Gujarat Giants,L Wolvaardt,BL Mooney,KJ Garth,0,0,,,,,,"",""
ball,1,1.6,Gujarat Giants,L Wolvaardt,BL Mooney,KJ Garth,4,0,,,,,,"",""
ball,1,1.7,Gujarat Giants,L Wolvaardt,BL Mooney,KJ Garth,0,0,,,,,,"",""
ball,1,2.1,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,2,0,,,,,,"",""
ball,1,2.2,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,"",""
ball,1,2.3,Gujarat Giants,L Wolvaardt,BL Mooney,Renuka Singh,0,2,2,,,,,"",""
ball,1,2.4,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,"",""
ball,1,2.5,Gujarat Giants,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,2.6,Gujarat Giants,L Wolvaardt,BL Mooney,Renuka Singh,0,1,,,1,,,"",""
ball,1,2.7,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,0,1,1,,,,,"",""
ball,1,2.8,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,"",""
ball,1,3.1,Gujarat Giants,BL Mooney,L Wolvaardt,KJ Garth,4,0,,,,,,"",""
ball,1,3.2,Gujarat Giants,BL Mooney,L Wolvaardt,KJ Garth,0,0,,,,,,"",""
ball,1,3.3,Gujarat Giants,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,"",""
ball,1,3.4,Gujarat Giants,L Wolvaardt,BL Mooney,KJ Garth,1,0,,,,,,"",""
ball,1,3.5,Gujarat Giants,BL Mooney,L Wolvaardt,KJ Garth,0,0,,,,,,"",""
ball,1,3.6,Gujarat Giants,BL Mooney,L Wolvaardt,KJ Garth,1,0,,,,,,"",""
ball,1,4.1,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,4,0,,,,,,"",""
ball,1,4.2,Gujarat Giants,BL Mooney,L Wolvaardt,Renuka Singh,1,0,,,,,,"",""
ball,1,4.3,Gujarat Giants,L Wolvaardt,BL Mooney,Renuka Singh,0,0,,,,,,bowled,L Wolvaardt
ball,1,4.4,Gujarat Giants,D Hemalatha,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,4.5,Gujarat Giants,D Hemalatha,BL Mooney,Renuka Singh,0,0,,,,,,"",""
ball,1,4.6,Gujarat Giants,D Hemalatha,BL Mooney,Renuka Singh,2,0,,,,,,"",""
ball,1,5.1,Gujarat Giants,BL Mooney,D Hemalatha,VJ Joshitha,1,0,,,,,,"",""
ball,1,5.2,Gujarat Giants,D Hemalatha,BL Mooney,VJ Joshitha,0,0,,,,,,"",""
ball,1,5.3,Gujarat Giants,D Hemalatha,BL Mooney,VJ Joshitha,0,0,,,,,,"",""
ball,1,5.4,Gujarat Giants,D Hemalatha,BL Mooney,VJ Joshitha,1,0,,,,,,"",""
ball,1,5.5,Gujarat Giants,BL Mooney,D Hemalatha,VJ Joshitha,0,0,,,,,,"",""
ball,1,5.6,Gujarat Giants,BL Mooney,D Hemalatha,VJ Joshitha,0,0,,,,,,"",""
ball,1,6.1,Gujarat Giants,D Hemalatha,BL Mooney,KS Ahuja,1,0,,,,,,"",""
ball,1,6.2,Gujarat Giants,BL Mooney,D Hemalatha,KS Ahuja,1,0,,,,,,"",""
ball,1,6.3,Gujarat Giants,D Hemalatha,BL Mooney,KS Ahuja,0,0,,,,,,"",""
ball,1,6.4,Gujarat Giants,D Hemalatha,BL Mooney,KS Ahuja,0,0,,,,,,caught,D Hemalatha
ball,1,6.5,Gujarat Giants,A Gardner,BL Mooney,KS Ahuja,1,0,,,,,,"",""
ball,1,6.6,Gujarat Giants,BL Mooney,A Gardner,KS Ahuja,1,0,,,,,,"",""
ball,1,7.1,Gujarat Giants,BL Mooney,A Gardner,VJ Joshitha,1,0,,,,,,"",""
