version,1.7.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Adelaide Strikers
info,gender,female
info,season,2022/23
info,date,2022/11/02
info,event,Women's Big Bash League
info,match_number,26
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Adelaide Strikers
info,toss_decision,field
info,player_of_match,T Flintoff
info,umpire,Bede Sajowitz
info,umpire,D Moran
info,match_referee,Dave Gilbert
info,winner,Melbourne Stars
info,winner_runs,22
info,player,Melbourne Stars,L Winfield-Hill
info,player,Melbourne Stars,JI Rodrigues
info,player,Melbourne Stars,A Capsey
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,T Flintoff
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,N Faltum
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,U Raymond-Hoey
info,player,Melbourne Stars,S Reid
info,player,Melbourne Stars,S Day
info,player,Adelaide Strikers,DJS Dottin
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,TJ McPharlin
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,registry,people,A Capsey,910dd54e
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,A Wellington,9b3bcca4
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,D Brown,2e81be88
info,registry,people,D Moran,fd171c58
info,registry,people,DJS Dottin,53bee17f
info,registry,people,Dave Gilbert,aa782370
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KJ Garth,0b69a844
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Faltum,9a56c670
info,registry,people,S Day,c3d27d76
info,registry,people,S Reid,1380c4c2
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,T Flintoff,5471b94a
info,registry,people,TJ McPharlin,595e1ee7
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,U Raymond-Hoey,1a510809
ball,1,0.1,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,0,0,,,,,,"",""
ball,1,0.2,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,0,0,,,,,,"",""
ball,1,0.3,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,0,0,,,,,,"",""
ball,1,0.4,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,0,0,,,,,,"",""
ball,1,0.5,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,1,0,,,,,,"",""
ball,1,0.6,Melbourne Stars,JI Rodrigues,L Winfield-Hill,ML Schutt,1,0,,,,,,"",""
ball,1,1.1,Melbourne Stars,JI Rodrigues,L Winfield-Hill,D Brown,0,0,,,,,,"",""
ball,1,1.2,Melbourne Stars,JI Rodrigues,L Winfield-Hill,D Brown,1,0,,,,,,"",""
ball,1,1.3,Melbourne Stars,L Winfield-Hill,JI Rodrigues,D Brown,0,0,,,,,,"",""
ball,1,1.4,Melbourne Stars,L Winfield-Hill,JI Rodrigues,D Brown,0,0,,,,,,"",""
ball,1,1.5,Melbourne Stars,L Winfield-Hill,JI Rodrigues,D Brown,0,0,,,,,,"",""
ball,1,1.6,Melbourne Stars,L Winfield-Hill,JI Rodrigues,D Brown,0,1,,,,1,,"",""
ball,1,2.1,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,4,0,,,,,,"",""
ball,1,2.2,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,0,0,,,,,,"",""
ball,1,2.3,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,0,0,,,,,,"",""
ball,1,2.4,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,4,0,,,,,,"",""
ball,1,2.5,Melbourne Stars,L Winfield-Hill,JI Rodrigues,ML Schutt,1,0,,,,,,"",""
ball,1,2.6,Melbourne Stars,JI Rodrigues,L Winfield-Hill,ML Schutt,1,0,,,,,,"",""
ball,1,3.1,Melbourne Stars,JI Rodrigues,L Winfield-Hill,D Brown,1,0,,,,,,"",""
ball,1,3.2,Melbourne Stars,L Winfield-Hill,JI Rodrigues,D Brown,0,0,,,,,,"",""
ball,1,3.3,Melbourne Stars,L Winfield-Hill,JI Rodrigues,D Brown,0,0,,,,,,"",""
