version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Eastern Cape
info,team,Durban's Super Giants
info,gender,male
info,season,2023/24
info,date,2024/02/10
info,event,SA20
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,Sunrisers Eastern Cape
info,toss_decision,bat
info,player_of_match,TB Abell
info,umpire,LB Gcuma
info,umpire,Stephen Harris
info,reserve_umpire,A Steenkamp
info,tv_umpire,A Jacobs
info,match_referee,GH Pienaar
info,winner,Sunrisers Eastern Cape
info,winner_runs,89
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,DJ Malan
info,player,Sunrisers Eastern Cape,TB Abell
info,player,Sunrisers Eastern Cape,AK Markram
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,PE Kruger
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,LA Dawson
info,player,Sunrisers Eastern Cape,SR Harmer
info,player,Sunrisers Eastern Cape,DJ Worrall
info,player,Sunrisers Eastern Cape,OEG Baartman
info,player,Durban's Super Giants,Q de Kock
info,player,Durban's Super Giants,MP Breetzke
info,player,Durban's Super Giants,JT Smuts
info,player,Durban's Super Giants,PBB Rajapaksa
info,player,Durban's Super Giants,PWA Mulder
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,D Pretorius
info,player,Durban's Super Giants,KA Maharaj
info,player,Durban's Super Giants,CJ Dala
info,player,Durban's Super Giants,Naveen-ul-Haq
info,player,Durban's Super Giants,RJW Topley
info,registry,people,A Jacobs,70d117de
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,AK Markram,6a26221c
info,registry,people,CJ Dala,1cb14aa4
info,registry,people,D Pretorius,11614d87
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DJ Worrall,208f22ea
info,registry,people,GH Pienaar,3516e46b
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Hermann,e87aeca2
info,registry,people,JT Smuts,42172c3c
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,LA Dawson,4a461c24
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Jansen,81c36ee9
info,registry,people,MP Breetzke,35f173a0
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PE Kruger,39181592
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RJW Topley,8db7f47f
info,registry,people,SR Harmer,23638956
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TB Abell,ba9258a7
ball,1,0.1,Sunrisers Eastern Cape,J Hermann,DJ Malan,JT Smuts,1,0,,,,,,"",""
ball,1,0.2,Sunrisers Eastern Cape,DJ Malan,J Hermann,JT Smuts,1,0,,,,,,"",""
ball,1,0.3,Sunrisers Eastern Cape,J Hermann,DJ Malan,JT Smuts,4,0,,,,,,"",""
ball,1,0.4,Sunrisers Eastern Cape,J Hermann,DJ Malan,JT Smuts,1,0,,,,,,"",""
ball,1,0.5,Sunrisers Eastern Cape,DJ Malan,J Hermann,JT Smuts,1,0,,,,,,"",""
ball,1,0.6,Sunrisers Eastern Cape,J Hermann,DJ Malan,JT Smuts,1,0,,,,,,"",""
ball,1,1.1,Sunrisers Eastern Cape,J Hermann,DJ Malan,RJW Topley,0,0,,,,,,"",""
ball,1,1.2,Sunrisers Eastern Cape,J Hermann,DJ Malan,RJW Topley,0,1,1,,,,,"",""
ball,1,1.3,Sunrisers Eastern Cape,J Hermann,DJ Malan,RJW Topley,1,0,,,,,,"",""
ball,1,1.4,Sunrisers Eastern Cape,DJ Malan,J Hermann,RJW Topley,4,0,,,,,,"",""
ball,1,1.5,Sunrisers Eastern Cape,DJ Malan,J Hermann,RJW Topley,0,0,,,,,,lbw,DJ Malan
ball,1,1.6,Sunrisers Eastern Cape,TB Abell,J Hermann,RJW Topley,0,0,,,,,,"",""
ball,1,1.7,Sunrisers Eastern Cape,TB Abell,J Hermann,RJW Topley,0,0,,,,,,"",""
ball,1,2.1,Sunrisers Eastern Cape,J Hermann,TB Abell,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,2.2,Sunrisers Eastern Cape,TB Abell,J Hermann,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,2.3,Sunrisers Eastern Cape,J Hermann,TB Abell,Naveen-ul-Haq,0,0,,,,,,"",""
ball,1,2.4,Sunrisers Eastern Cape,J Hermann,TB Abell,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,2.5,Sunrisers Eastern Cape,TB Abell,J Hermann,Naveen-ul-Haq,1,0,,,,,,"",""
ball,1,2.6,Sunrisers Eastern Cape,J Hermann,TB Abell,Naveen-ul-Haq,5,0,,,,,,"",""
ball,1,3.1,Sunrisers Eastern Cape,J Hermann,TB Abell,RJW Topley,4,0,,,,,,"",""
ball,1,3.2,Sunrisers Eastern Cape,J Hermann,TB Abell,RJW Topley,1,0,,,,,,"",""
ball,1,3.3,Sunrisers Eastern Cape,TB Abell,J Hermann,RJW Topley,0,0,,,,,,"",""
ball,1,3.4,Sunrisers Eastern Cape,TB Abell,J Hermann,RJW Topley,0,0,,,,,,"",""
