version,1.7.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Melbourne Renegades
info,gender,male
info,season,2024/25
info,date,2024/12/30
info,event,Big Bash League
info,match_number,16
info,venue,Sydney Showground Stadium
info,city,Sydney
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,DA Warner
info,umpire,GA Abood
info,umpire,Troy Penman
info,reserve_umpire,D Taylor
info,tv_umpire,MW Graham-Smith
info,match_referee,Dave Gilbert
info,winner,Sydney Thunder
info,winner_runs,8
info,player,Sydney Thunder,CT Bancroft
info,player,Sydney Thunder,DA Warner
info,player,Sydney Thunder,SE Rutherford
info,player,Sydney Thunder,O Davies
info,player,Sydney Thunder,SW Billings
info,player,Sydney Thunder,M Gilkes
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,DR Sams
info,player,Sydney Thunder,TD Andrews
info,player,Sydney Thunder,LH Ferguson
info,player,Sydney Thunder,WA Agar
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,JG Bethell
info,player,Melbourne Renegades,LJ Evans
info,player,Melbourne Renegades,MW Harvey
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,F O'Neill
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,KW Richardson
info,registry,people,A Zampa,14f96089
info,registry,people,CJ Green,19b9f399
info,registry,people,CT Bancroft,399b0b94
info,registry,people,D Taylor,b940a2b2
info,registry,people,DA Warner,dcce6f09
info,registry,people,DR Sams,caf69bf7
info,registry,people,Dave Gilbert,aa782370
info,registry,people,F O'Neill,39d608d4
info,registry,people,GA Abood,a4af5528
info,registry,people,J Brown,647e7d44
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JG Bethell,3c55c703
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,LJ Evans,1c513d54
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,MW Harvey,47dc9794
info,registry,people,O Davies,0ea54eca
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SW Billings,c16d4035
info,registry,people,TD Andrews,a0f612b6
info,registry,people,TL Seifert,4663bd23
info,registry,people,TS Rogers,1b04e02b
info,registry,people,Troy Penman,0aa42c26
info,registry,people,W Sutherland,bc2d4f2e
info,registry,people,WA Agar,15de1f5d
ball,1,0.1,Sydney Thunder,CT Bancroft,DA Warner,F O'Neill,1,0,,,,,,"",""
ball,1,0.2,Sydney Thunder,DA Warner,CT Bancroft,F O'Neill,0,1,1,,,,,"",""
ball,1,0.3,Sydney Thunder,DA Warner,CT Bancroft,F O'Neill,1,0,,,,,,"",""
ball,1,0.4,Sydney Thunder,CT Bancroft,DA Warner,F O'Neill,2,0,,,,,,"",""
ball,1,0.5,Sydney Thunder,CT Bancroft,DA Warner,F O'Neill,0,0,,,,,,"",""
ball,1,0.6,Sydney Thunder,CT Bancroft,DA Warner,F O'Neill,0,1,1,,,,,"",""
ball,1,0.7,Sydney Thunder,CT Bancroft,DA Warner,F O'Neill,4,0,,,,,,"",""
ball,1,0.8,Sydney Thunder,CT Bancroft,DA Warner,F O'Neill,0,0,,,,,,"",""
ball,1,1.1,Sydney Thunder,DA Warner,CT Bancroft,TS Rogers,4,0,,,,,,"",""
ball,1,1.2,Sydney Thunder,DA Warner,CT Bancroft,TS Rogers,3,0,,,,,,"",""
ball,1,1.3,Sydney Thunder,CT Bancroft,DA Warner,TS Rogers,1,0,,,,,,"",""
ball,1,1.4,Sydney Thunder,DA Warner,CT Bancroft,TS Rogers,0,0,,,,,,"",""
ball,1,1.5,Sydney Thunder,DA Warner,CT Bancroft,TS Rogers,1,0,,,,,,"",""
ball,1,1.6,Sydney Thunder,CT Bancroft,DA Warner,TS Rogers,0,0,,,,,,caught,CT Bancroft
ball,1,2.1,Sydney Thunder,DA Warner,SE Rutherford,KW Richardson,2,0,,,,,,"",""
ball,1,2.2,Sydney Thunder,DA Warner,SE Rutherford,KW Richardson,4,0,,,,,,"",""
ball,1,2.3,Sydney Thunder,DA Warner,SE Rutherford,KW Richardson,1,0,,,,,,"",""
ball,1,2.4,Sydney Thunder,SE Rutherford,DA Warner,KW Richardson,1,0,,,,,,"",""
ball,1,2.5,Sydney Thunder,DA Warner,SE Rutherford,KW Richardson,1,0,,,,,,"",""
ball,1,2.6,Sydney Thunder,SE Rutherford,DA Warner,KW Richardson,0,0,,,,,,"",""
ball,1,3.1,Sydney Thunder,DA Warner,SE Rutherford,W Sutherland,1,0,,,,,,"",""
ball,1,3.2,Sydney Thunder,SE Rutherford,DA Warner,W Sutherland,0,0,,,,,,"",""
ball,1,3.3,Sydney Thunder,SE Rutherford,DA Warner,W Sutherland,0,0,,,,,,"",""
ball,1,3.4,Sydney Thunder,SE Rutherford,DA Warner,W Sutherland,1,0,,,,,,"",""
