version,1.7.0
info,balls_per_over,6
info,team,Tamil Union Cricket and Athletic Club
info,team,Sinhalese Sports Club
info,gender,male
info,season,2024/25
info,date,2025/02/07
info,date,2025/02/08
info,date,2025/02/09
info,event,Major League Tournament
info,venue,"Sinhalese Sports Club Ground, Colombo"
info,city,Colombo
info,toss_winner,Sinhalese Sports Club
info,toss_decision,field
info,umpire,ID Gunawardene
info,umpire,RD Kottahachchi
info,match_referee,M Jayasena
info,winner,Sinhalese Sports Club
info,winner_innings,1
info,winner_runs,10
info,player,Tamil Union Cricket and Athletic Club,ND Paranavithana
info,player,Tamil Union Cricket and Athletic Club,Sineth Jayawardena
info,player,Tamil Union Cricket and Athletic Club,WT Dilshan
info,player,Tamil Union Cricket and Athletic Club,DS Weerakkody
info,player,Tamil Union Cricket and Athletic Club,T Harshana
info,player,Tamil Union Cricket and Athletic Club,R Upamal
info,player,Tamil Union Cricket and Athletic Club,SMLD Samarakoon
info,player,Tamil Union Cricket and Athletic Club,V Viyaskanth
info,player,Tamil Union Cricket and Athletic Club,KTH Ratnayake
info,player,Tamil Union Cricket and Athletic Club,KKV Perera
info,player,Tamil Union Cricket and Athletic Club,KDA Manoj
info,player,Sinhalese Sports Club,ND Perera
info,player,Sinhalese Sports Club,S Daniel
info,player,Sinhalese Sports Club,WIA Fernando
info,player,Sinhalese Sports Club,Krishan Sanjula
info,player,Sinhalese Sports Club,KIC Asalanka
info,player,Sinhalese Sports Club,MNK Fernando
info,player,Sinhalese Sports Club,C Wickramasinghe
info,player,Sinhalese Sports Club,D Kalupahana
info,player,Sinhalese Sports Club,NT Gamage
info,player,Sinhalese Sports Club,CAK Rajitha
info,player,Sinhalese Sports Club,PM Liyanagamage
info,registry,people,C Wickramasinghe,a5c48ed1
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,D Kalupahana,ec33ff92
info,registry,people,DS Weerakkody,3473e5f2
info,registry,people,ID Gunawardene,63841782
info,registry,people,KDA Manoj,361c920a
info,registry,people,KIC Asalanka,732c038e
info,registry,people,KKV Perera,106fe7a6
info,registry,people,KTH Ratnayake,4eb02f2e
info,registry,people,Krishan Sanjula,ea11cb97
info,registry,people,M Jayasena,fa87f32f
info,registry,people,MNK Fernando,ba603555
info,registry,people,ND Paranavithana,4e602f29
info,registry,people,ND Perera,f7928e6a
info,registry,people,NT Gamage,f66b8839
info,registry,people,PM Liyanagamage,3ee0050f
info,registry,people,R Upamal,b1934b6d
info,registry,people,RD Kottahachchi,92e41d14
info,registry,people,S Daniel,a38e7be7
info,registry,people,SMLD Samarakoon,d28f4d1c
info,registry,people,Sineth Jayawardena,e4bf3570
info,registry,people,T Harshana,403d4c73
info,registry,people,V Viyaskanth,03a83c50
info,registry,people,WIA Fernando,9550470d
info,registry,people,WT Dilshan,796c1afb
ball,1,0.1,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.2,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.3,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.4,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.5,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,4,0,,,,,,"",""
ball,1,0.6,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,1.1,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,1.2,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,1,,1,,,,"",""
ball,1,1.3,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,1.4,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,1.5,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,1.6,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,1.7,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,4,0,,,,,,"",""
ball,1,2.1,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.2,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.3,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.4,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,2,0,,,,,,"",""
ball,1,2.5,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.6,Tamil Union Cricket and Athletic Club,ND Paranavithana,Sineth Jayawardena,CAK Rajitha,0,0,,,,,,"",""
ball,1,3.1,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,4,0,,,,,,"",""
ball,1,3.2,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,3.3,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,3.4,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,3.5,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
ball,1,3.6,Tamil Union Cricket and Athletic Club,Sineth Jayawardena,ND Paranavithana,PM Liyanagamage,0,0,,,,,,"",""
