version,1.7.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Sydney Sixers
info,gender,male
info,season,2024/25
info,date,2025/01/01
info,event,Big Bash League
info,match_number,18
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,Nikhil Chaudhary
info,umpire,MW Graham-Smith
info,umpire,SA Lightbody
info,reserve_umpire,Simon Burns
info,tv_umpire,GA Abood
info,match_referee,David Johnston
info,winner,Hobart Hurricanes
info,winner_runs,50
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,SD Hope
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,P Hatzoglou
info,player,Hobart Hurricanes,B Stanlake
info,player,Hobart Hurricanes,RP Meredith
info,player,Hobart Hurricanes,Waqar Salamkheil
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,JM Vince
info,player,Sydney Sixers,KR Patterson
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,H Kerr
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,AJ Hosein
info,player,Sydney Sixers,T Murphy
info,player,Sydney Sixers,JM Bird
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,B Stanlake,6834d1f2
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,BR McDermott,c41043e6
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,David Johnston,92cef862
info,registry,people,GA Abood,a4af5528
info,registry,people,H Kerr,f422728b
info,registry,people,J Edwards,f787e0eb
info,registry,people,JC Silk,7a6dc294
info,registry,people,JM Bird,bc773eeb
info,registry,people,JM Vince,a15618fe
info,registry,people,JR Philippe,39086549
info,registry,people,KR Patterson,e3bf8356
info,registry,people,MC Henriques,32198ae0
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,P Hatzoglou,6f95e5fa
info,registry,people,RP Meredith,64775749
info,registry,people,SA Lightbody,680b8cbf
info,registry,people,SD Hope,1fc6ef83
info,registry,people,Simon Burns,c0741b3f
info,registry,people,T Murphy,ac2e7ec0
info,registry,people,TH David,f1f99156
info,registry,people,Waqar Salamkheil,3f1066d0
ball,1,0.1,Hobart Hurricanes,MS Wade,MJ Owen,AJ Hosein,0,0,,,,,,"",""
ball,1,0.2,Hobart Hurricanes,MS Wade,MJ Owen,AJ Hosein,1,0,,,,,,"",""
ball,1,0.3,Hobart Hurricanes,MJ Owen,MS Wade,AJ Hosein,0,0,,,,,,"",""
ball,1,0.4,Hobart Hurricanes,MJ Owen,MS Wade,AJ Hosein,6,0,,,,,,"",""
ball,1,0.5,Hobart Hurricanes,MJ Owen,MS Wade,AJ Hosein,0,0,,,,,,"",""
ball,1,0.6,Hobart Hurricanes,MJ Owen,MS Wade,AJ Hosein,1,0,,,,,,"",""
ball,1,1.1,Hobart Hurricanes,MJ Owen,MS Wade,JM Bird,0,0,,,,,,"",""
ball,1,1.2,Hobart Hurricanes,MJ Owen,MS Wade,JM Bird,0,0,,,,,,"",""
ball,1,1.3,Hobart Hurricanes,MJ Owen,MS Wade,JM Bird,3,0,,,,,,"",""
ball,1,1.4,Hobart Hurricanes,MS Wade,MJ Owen,JM Bird,0,0,,,,,,"",""
ball,1,1.5,Hobart Hurricanes,MS Wade,MJ Owen,JM Bird,0,0,,,,,,"",""
ball,1,1.6,Hobart Hurricanes,MS Wade,MJ Owen,JM Bird,1,0,,,,,,"",""
ball,1,2.1,Hobart Hurricanes,MS Wade,MJ Owen,J Edwards,0,0,,,,,,"",""
ball,1,2.2,Hobart Hurricanes,MS Wade,MJ Owen,J Edwards,1,0,,,,,,"",""
ball,1,2.3,Hobart Hurricanes,MJ Owen,MS Wade,J Edwards,0,0,,,,,,"",""
ball,1,2.4,Hobart Hurricanes,MJ Owen,MS Wade,J Edwards,6,0,,,,,,"",""
ball,1,2.5,Hobart Hurricanes,MJ Owen,MS Wade,J Edwards,4,0,,,,,,"",""
ball,1,2.6,Hobart Hurricanes,MJ Owen,MS Wade,J Edwards,0,0,,,,,,"",""
ball,1,3.1,Hobart Hurricanes,MS Wade,MJ Owen,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,3.2,Hobart Hurricanes,MJ Owen,MS Wade,BJ Dwarshuis,0,1,,,,1,,"",""
ball,1,3.3,Hobart Hurricanes,MS Wade,MJ Owen,BJ Dwarshuis,0,1,,,,1,,"",""
ball,1,3.4,Hobart Hurricanes,MJ Owen,MS Wade,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,3.5,Hobart Hurricanes,MJ Owen,MS Wade,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,3.6,Hobart Hurricanes,MJ Owen,MS Wade,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,4.1,Hobart Hurricanes,MS Wade,MJ Owen,H Kerr,1,0,,,,,,"",""
ball,1,4.2,Hobart Hurricanes,MJ Owen,MS Wade,H Kerr,1,0,,,,,,"",""
ball,1,4.3,Hobart Hurricanes,MS Wade,MJ Owen,H Kerr,4,0,,,,,,"",""
ball,1,4.4,Hobart Hurricanes,MS Wade,MJ Owen,H Kerr,1,0,,,,,,"",""
ball,1,4.5,Hobart Hurricanes,MJ Owen,MS Wade,H Kerr,0,0,,,,,,caught,MJ Owen
ball,1,4.6,Hobart Hurricanes,SD Hope,MS Wade,H Kerr,1,0,,,,,,"",""
ball,1,5.1,Hobart Hurricanes,SD Hope,MS Wade,T Murphy,0,0,,,,,,"",""
ball,1,5.2,Hobart Hurricanes,SD Hope,MS Wade,T Murphy,1,0,,,,,,"",""
