version,1.7.0
info,balls_per_over,6
info,team,Barisal Burners
info,team,Duronto Rajshahi
info,gender,male
info,season,2011/12
info,date,2012/02/11
info,event,Bangladesh Premier League
info,match_number,4
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Barisal Burners
info,toss_decision,bat
info,player_of_match,Ahmed Shehzad
info,umpire,DL Orchard
info,umpire,Gazi Sohel
info,reserve_umpire,Tanvir Ahmed
info,tv_umpire,Sharfuddoula
info,match_referee,MJ Procter
info,winner,Barisal Burners
info,winner_runs,22
info,player,Barisal Burners,Ahmed Shehzad
info,player,Barisal Burners,CH Gayle
info,player,Barisal Burners,Shahriar Nafees
info,player,Barisal Burners,BJ Hodge
info,player,Barisal Burners,Nazmul Islam
info,player,Barisal Burners,Mohammad Mithun
info,player,Barisal Burners,SM Harwood
info,player,Barisal Burners,Suhrawadi Shuvo
info,player,Barisal Burners,Mominul Haque
info,player,Barisal Burners,Yasir Arafat
info,player,Barisal Burners,Farhad Hossain
info,player,Duronto Rajshahi,Mizanur Rahman
info,player,Duronto Rajshahi,Junaid Siddique
info,player,Duronto Rajshahi,MN Samuels
info,player,Duronto Rajshahi,Mushfiqur Rahim
info,player,Duronto Rajshahi,Abdul Razzaq
info,player,Duronto Rajshahi,Fawad Alam
info,player,Duronto Rajshahi,Sabbir Rahman
info,player,Duronto Rajshahi,SM Ervine
info,player,Duronto Rajshahi,Mohammad Sami
info,player,Duronto Rajshahi,Syed Rasel
info,player,Duronto Rajshahi,Saqlain Sajib
info,registry,people,Abdul Razzaq,390ff45b
info,registry,people,Ahmed Shehzad,f8fd6e3f
info,registry,people,BJ Hodge,b57f8a9a
info,registry,people,CH Gayle,db584dad
info,registry,people,DL Orchard,a7df1d20
info,registry,people,Farhad Hossain,7f9bd93c
info,registry,people,Fawad Alam,61f05b05
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Junaid Siddique,62e203d4
info,registry,people,MJ Procter,32e65048
info,registry,people,MN Samuels,f846de6a
info,registry,people,Mizanur Rahman,7b0fb3d5
info,registry,people,Mohammad Mithun,77191792
info,registry,people,Mohammad Sami,68ddabdb
info,registry,people,Mominul Haque,de0a3209
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Nazmul Islam,6575e3bc
info,registry,people,SM Ervine,556302a7
info,registry,people,SM Harwood,63bff7f9
info,registry,people,Sabbir Rahman,7147f314
info,registry,people,Saqlain Sajib,f3c150bb
info,registry,people,Shahriar Nafees,b9c225c2
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Suhrawadi Shuvo,8fb49ef8
info,registry,people,Syed Rasel,b743f01b
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Yasir Arafat,3cf5ae43
ball,1,0.1,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,0,0,,,,,,"",""
ball,1,0.2,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,1,0,,,,,,"",""
ball,1,0.3,Barisal Burners,CH Gayle,Ahmed Shehzad,Syed Rasel,1,0,,,,,,"",""
ball,1,0.4,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,0,0,,,,,,"",""
ball,1,0.5,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,4,0,,,,,,"",""
ball,1,0.6,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,4,0,,,,,,"",""
ball,1,1.1,Barisal Burners,CH Gayle,Ahmed Shehzad,Mohammad Sami,4,0,,,,,,"",""
ball,1,1.2,Barisal Burners,CH Gayle,Ahmed Shehzad,Mohammad Sami,0,0,,,,,,"",""
ball,1,1.3,Barisal Burners,CH Gayle,Ahmed Shehzad,Mohammad Sami,4,0,,,,,,"",""
ball,1,1.4,Barisal Burners,CH Gayle,Ahmed Shehzad,Mohammad Sami,0,0,,,,,,"",""
ball,1,1.5,Barisal Burners,CH Gayle,Ahmed Shehzad,Mohammad Sami,6,0,,,,,,"",""
ball,1,1.6,Barisal Burners,CH Gayle,Ahmed Shehzad,Mohammad Sami,1,0,,,,,,"",""
ball,1,2.1,Barisal Burners,CH Gayle,Ahmed Shehzad,Syed Rasel,1,0,,,,,,"",""
ball,1,2.2,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,6,0,,,,,,"",""
ball,1,2.3,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,1,0,,,,,,"",""
ball,1,2.4,Barisal Burners,CH Gayle,Ahmed Shehzad,Syed Rasel,0,0,,,,,,"",""
ball,1,2.5,Barisal Burners,CH Gayle,Ahmed Shehzad,Syed Rasel,1,0,,,,,,"",""
ball,1,2.6,Barisal Burners,Ahmed Shehzad,CH Gayle,Syed Rasel,1,0,,,,,,"",""
ball,1,3.1,Barisal Burners,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,"",""
ball,1,3.2,Barisal Burners,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,"",""
ball,1,3.3,Barisal Burners,Ahmed Shehzad,CH Gayle,Mohammad Sami,6,0,,,,,,"",""
ball,1,3.4,Barisal Burners,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,"",""
ball,1,3.5,Barisal Burners,Ahmed Shehzad,CH Gayle,Mohammad Sami,6,0,,,,,,"",""
ball,1,3.6,Barisal Burners,Ahmed Shehzad,CH Gayle,Mohammad Sami,0,0,,,,,,"",""
