version,1.7.0
info,balls_per_over,6
info,team,Jaffna Kings
info,team,Kandy Falcons
info,gender,male
info,season,2024
info,date,2024/07/20
info,event,Lanka Premier League
info,venue,"R Premadasa Stadium, Colombo"
info,city,Colombo
info,toss_winner,Kandy Falcons
info,toss_decision,field
info,player_of_match,BKG Mendis
info,umpire,Faisal Afridi
info,umpire,HDPK Dharmasena
info,reserve_umpire,RA Kottahachchi
info,tv_umpire,RSA Palliyaguruge
info,match_referee,RS Madugalle
info,winner,Jaffna Kings
info,winner_runs,1
info,player,Jaffna Kings,P Nissanka
info,player,Jaffna Kings,BKG Mendis
info,player,Jaffna Kings,RR Rossouw
info,player,Jaffna Kings,WIA Fernando
info,player,Jaffna Kings,KIC Asalanka
info,player,Jaffna Kings,DM de Silva
info,player,Jaffna Kings,Azmatullah Omarzai
info,player,Jaffna Kings,FA Allen
info,player,Jaffna Kings,V Viyaskanth
info,player,Jaffna Kings,JP Behrendorff
info,player,Jaffna Kings,AM Fernando
info,player,Kandy Falcons,LD Chandimal
info,player,Kandy Falcons,ADS Fletcher
info,player,Kandy Falcons,Mohammad Haris
info,player,Kandy Falcons,PHKD Mendis
info,player,Kandy Falcons,PWH de Silva
info,player,Kandy Falcons,AD Mathews
info,player,Kandy Falcons,MD Shanaka
info,player,Kandy Falcons,PC de Silva
info,player,Kandy Falcons,RTM Mendis
info,player,Kandy Falcons,P Rathnayake
info,player,Kandy Falcons,Mohammad Hasnain
info,registry,people,AD Mathews,896d78ad
info,registry,people,ADS Fletcher,1bae756b
info,registry,people,AM Fernando,de3d549a
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,DM de Silva,7d608e12
info,registry,people,FA Allen,b52ffbbd
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JP Behrendorff,4933f499
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Mohammad Hasnain,8596fe80
info,registry,people,P Nissanka,8ee36b18
info,registry,people,P Rathnayake,c1fdfb46
info,registry,people,PC de Silva,b40ee8a8
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RA Kottahachchi,808f2939
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,RS Madugalle,766b5798
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,RTM Mendis,1be67d37
info,registry,people,V Viyaskanth,03a83c50
info,registry,people,WIA Fernando,9550470d
ball,1,0.1,Jaffna Kings,P Nissanka,BKG Mendis,AD Mathews,1,0,,,,,,"",""
ball,1,0.2,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,4,0,,,,,,"",""
ball,1,0.3,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,0,0,,,,,,"",""
ball,1,0.4,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,0,0,,,,,,"",""
ball,1,0.5,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,1,0,,,,,,"",""
ball,1,0.6,Jaffna Kings,P Nissanka,BKG Mendis,AD Mathews,1,0,,,,,,"",""
ball,1,1.1,Jaffna Kings,P Nissanka,BKG Mendis,MD Shanaka,4,0,,,,,,"",""
ball,1,1.2,Jaffna Kings,P Nissanka,BKG Mendis,MD Shanaka,4,0,,,,,,"",""
ball,1,1.3,Jaffna Kings,P Nissanka,BKG Mendis,MD Shanaka,0,0,,,,,,"",""
ball,1,1.4,Jaffna Kings,P Nissanka,BKG Mendis,MD Shanaka,1,0,,,,,,"",""
ball,1,1.5,Jaffna Kings,BKG Mendis,P Nissanka,MD Shanaka,0,0,,,,,,"",""
ball,1,1.6,Jaffna Kings,BKG Mendis,P Nissanka,MD Shanaka,4,0,,,,,,"",""
ball,1,2.1,Jaffna Kings,P Nissanka,BKG Mendis,AD Mathews,1,0,,,,,,"",""
ball,1,2.2,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,4,0,,,,,,"",""
ball,1,2.3,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,1,0,,,,,,"",""
ball,1,2.4,Jaffna Kings,P Nissanka,BKG Mendis,AD Mathews,1,0,,,,,,"",""
ball,1,2.5,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,6,0,,,,,,"",""
ball,1,2.6,Jaffna Kings,BKG Mendis,P Nissanka,AD Mathews,0,0,,,,,,"",""
ball,1,3.1,Jaffna Kings,P Nissanka,BKG Mendis,PC de Silva,1,0,,,,,,"",""
ball,1,3.2,Jaffna Kings,BKG Mendis,P Nissanka,PC de Silva,1,0,,,,,,"",""
ball,1,3.3,Jaffna Kings,P Nissanka,BKG Mendis,PC de Silva,0,0,,,,,,"",""
ball,1,3.4,Jaffna Kings,P Nissanka,BKG Mendis,PC de Silva,0,0,,,,,,"",""
ball,1,3.5,Jaffna Kings,P Nissanka,BKG Mendis,PC de Silva,0,0,,,,,,"",""
ball,1,3.6,Jaffna Kings,P Nissanka,BKG Mendis,PC de Silva,1,0,,,,,,"",""
ball,1,4.1,Jaffna Kings,P Nissanka,BKG Mendis,Mohammad Hasnain,1,0,,,,,,"",""
ball,1,4.2,Jaffna Kings,BKG Mendis,P Nissanka,Mohammad Hasnain,1,0,,,,,,"",""
ball,1,4.3,Jaffna Kings,P Nissanka,BKG Mendis,Mohammad Hasnain,0,0,,,,,,"",""
ball,1,4.4,Jaffna Kings,P Nissanka,BKG Mendis,Mohammad Hasnain,0,0,,,,,,"",""
ball,1,4.5,Jaffna Kings,P Nissanka,BKG Mendis,Mohammad Hasnain,1,0,,,,,,"",""
