version,1.7.0
info,balls_per_over,6
info,team,Pretoria Capitals
info,team,Sunrisers Eastern Cape
info,gender,male
info,season,2025/26
info,date,2026/01/05
info,event,SA20
info,match_number,14
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,Pretoria Capitals
info,toss_decision,bat
info,player_of_match,Q de Kock
info,umpire,A Steenkamp
info,umpire,DJ Smith
info,reserve_umpire,ID Blackwell
info,tv_umpire,Lauren Agenbag
info,match_referee,CD Isaacs
info,winner,Sunrisers Eastern Cape
info,winner_wickets,10
info,player,Pretoria Capitals,C Esterhuizen
info,player,Pretoria Capitals,B Parsons
info,player,Pretoria Capitals,SD Hope
info,player,Pretoria Capitals,WJ Lubbe
info,player,Pretoria Capitals,D Brevis
info,player,Pretoria Capitals,SE Rutherford
info,player,Pretoria Capitals,AD Russell
info,player,Pretoria Capitals,KA Maharaj
info,player,Pretoria Capitals,LB Williams
info,player,Pretoria Capitals,TS Mills
info,player,Pretoria Capitals,L Ngidi
info,player,Sunrisers Eastern Cape,Q de Kock
info,player,Sunrisers Eastern Cape,JM Bairstow
info,player,Sunrisers Eastern Cape,MP Breetzke
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,S Muthusamy
info,player,Sunrisers Eastern Cape,L Gregory
info,player,Sunrisers Eastern Cape,A Nortje
info,player,Sunrisers Eastern Cape,AF Milne
info,player,Sunrisers Eastern Cape,L Sipamla
info,registry,people,A Nortje,acdc62f5
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,AD Russell,bbd41817
info,registry,people,AF Milne,350bb1b1
info,registry,people,B Parsons,fc60e81a
info,registry,people,C Esterhuizen,ef9acbcc
info,registry,people,CD Isaacs,c0215bbd
info,registry,people,D Brevis,844e79d1
info,registry,people,DJ Smith,d17bec15
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,J Hermann,e87aeca2
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,L Gregory,06c2de82
info,registry,people,L Ngidi,f834dcfc
info,registry,people,L Sipamla,f892fcf9
info,registry,people,LB Williams,a1d95bd8
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Jansen,81c36ee9
info,registry,people,MP Breetzke,35f173a0
info,registry,people,Q de Kock,372455c4
info,registry,people,S Muthusamy,7dfb8890
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TS Mills,245c97cb
info,registry,people,WJ Lubbe,10f42013
ball,1,0.1,Pretoria Capitals,C Esterhuizen,B Parsons,M Jansen,0,1,1,,,,,"",""
ball,1,0.2,Pretoria Capitals,C Esterhuizen,B Parsons,M Jansen,0,0,,,,,,"",""
ball,1,0.3,Pretoria Capitals,C Esterhuizen,B Parsons,M Jansen,0,1,1,,,,,"",""
ball,1,0.4,Pretoria Capitals,C Esterhuizen,B Parsons,M Jansen,1,0,,,,,,"",""
ball,1,0.5,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,1,0,,,,,,"",""
ball,1,0.6,Pretoria Capitals,C Esterhuizen,B Parsons,M Jansen,1,0,,,,,,"",""
ball,1,0.7,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,1,0,,,,,,"",""
ball,1,0.8,Pretoria Capitals,C Esterhuizen,B Parsons,M Jansen,0,0,,,,,,"",""
ball,1,1.1,Pretoria Capitals,B Parsons,C Esterhuizen,AF Milne,0,0,,,,,,"",""
ball,1,1.2,Pretoria Capitals,B Parsons,C Esterhuizen,AF Milne,0,0,,,,,,"",""
ball,1,1.3,Pretoria Capitals,B Parsons,C Esterhuizen,AF Milne,0,1,1,,,,,"",""
ball,1,1.4,Pretoria Capitals,B Parsons,C Esterhuizen,AF Milne,0,0,,,,,,"",""
ball,1,1.5,Pretoria Capitals,B Parsons,C Esterhuizen,AF Milne,1,0,,,,,,"",""
ball,1,1.6,Pretoria Capitals,C Esterhuizen,B Parsons,AF Milne,4,0,,,,,,"",""
ball,1,1.7,Pretoria Capitals,C Esterhuizen,B Parsons,AF Milne,0,0,,,,,,"",""
ball,1,2.1,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,0,1,1,,,,,"",""
ball,1,2.2,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,0,0,,,,,,"",""
ball,1,2.3,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,0,0,,,,,,"",""
ball,1,2.4,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,0,1,1,,,,,"",""
ball,1,2.5,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,0,0,,,,,,"",""
ball,1,2.6,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,0,0,,,,,,"",""
ball,1,2.7,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,0,1,1,,,,,"",""
ball,1,2.8,Pretoria Capitals,B Parsons,C Esterhuizen,M Jansen,1,0,,,,,,"",""
ball,1,2.9,Pretoria Capitals,C Esterhuizen,B Parsons,M Jansen,0,0,,,,,,"",""
ball,1,3.1,Pretoria Capitals,B Parsons,C Esterhuizen,L Sipamla,4,0,,,,,,"",""
ball,1,3.2,Pretoria Capitals,B Parsons,C Esterhuizen,L Sipamla,6,0,,,,,,"",""
ball,1,3.3,Pretoria Capitals,B Parsons,C Esterhuizen,L Sipamla,4,0,,,,,,"",""
ball,1,3.4,Pretoria Capitals,B Parsons,C Esterhuizen,L Sipamla,0,0,,,,,,caught,B Parsons
