version,1.7.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Perth Scorchers
info,gender,female
info,season,2025/26
info,date,2025/11/14
info,event,Women's Big Bash League
info,match_number,8
info,venue,"Karen Rolton Oval, Adelaide"
info,city,Adelaide
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,MM Lanning
info,umpire,PR George
info,umpire,R Stewart
info,reserve_umpire,K Miegel
info,tv_umpire,Eloise Sheridan
info,match_referee,SD Fry
info,winner,Melbourne Stars
info,winner_runs,16
info,method,D/L
info,player,Melbourne Stars,MM Lanning
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,AE Jones
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,M Kapp
info,player,Melbourne Stars,DR Gibson
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,G Prestwidge
info,player,Melbourne Stars,ML Gibson
info,player,Melbourne Stars,S Day
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,KM Mack
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,FG Kemp
info,player,Perth Scorchers,M Hinkley
info,player,Perth Scorchers,PJ Scholfield
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,E Hoskin
info,registry,people,A King,83558266
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AE Jones,b05e45e4
info,registry,people,AL Edgar,795ff893
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,DR Gibson,d2763568
info,registry,people,E Hoskin,cd2ad878
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,K Miegel,fcef2064
info,registry,people,KJ Garth,0b69a844
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Mills,c35a0b8a
info,registry,people,M Hinkley,3812165d
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ML Gibson,27fa592f
info,registry,people,MM Lanning,27e003ce
info,registry,people,PJ Scholfield,588360ee
info,registry,people,PR George,b76e2583
info,registry,people,R McKenna,f7e41cd8
info,registry,people,R Stewart,818856af
info,registry,people,S Day,c3d27d76
info,registry,people,SD Fry,6b725ed1
info,registry,people,SFM Devine,de69af96
info,registry,people,SK Moloney,a0bc8dc1
ball,1,0.1,Melbourne Stars,MM Lanning,R McKenna,CC Ainsworth,0,0,,,,,,"",""
ball,1,0.2,Melbourne Stars,MM Lanning,R McKenna,CC Ainsworth,0,1,1,,,,,"",""
ball,1,0.3,Melbourne Stars,MM Lanning,R McKenna,CC Ainsworth,1,0,,,,,,"",""
ball,1,0.4,Melbourne Stars,R McKenna,MM Lanning,CC Ainsworth,0,0,,,,,,"",""
ball,1,0.5,Melbourne Stars,R McKenna,MM Lanning,CC Ainsworth,1,0,,,,,,"",""
ball,1,0.6,Melbourne Stars,MM Lanning,R McKenna,CC Ainsworth,1,0,,,,,,"",""
ball,1,0.7,Melbourne Stars,R McKenna,MM Lanning,CC Ainsworth,0,0,,,,,,"",""
ball,1,1.1,Melbourne Stars,MM Lanning,R McKenna,E Hoskin,0,1,1,,,,,"",""
ball,1,1.2,Melbourne Stars,MM Lanning,R McKenna,E Hoskin,1,0,,,,,,"",""
ball,1,1.3,Melbourne Stars,R McKenna,MM Lanning,E Hoskin,4,0,,,,,,"",""
ball,1,1.4,Melbourne Stars,R McKenna,MM Lanning,E Hoskin,0,0,,,,,,"",""
ball,1,1.5,Melbourne Stars,R McKenna,MM Lanning,E Hoskin,0,1,1,,,,,"",""
ball,1,1.6,Melbourne Stars,R McKenna,MM Lanning,E Hoskin,0,1,1,,,,,"",""
ball,1,1.7,Melbourne Stars,R McKenna,MM Lanning,E Hoskin,0,1,1,,,,,"",""
ball,1,1.8,Melbourne Stars,R McKenna,MM Lanning,E Hoskin,4,0,,,,,,"",""
ball,1,1.9,Melbourne Stars,R McKenna,MM Lanning,E Hoskin,1,0,,,,,,"",""
ball,1,1.10,Melbourne Stars,MM Lanning,R McKenna,E Hoskin,1,0,,,,,,"",""
ball,1,2.1,Melbourne Stars,MM Lanning,R McKenna,CC Ainsworth,0,0,,,,,,"",""
ball,1,2.2,Melbourne Stars,MM Lanning,R McKenna,CC Ainsworth,0,2,2,,,,,"",""
ball,1,2.3,Melbourne Stars,R McKenna,MM Lanning,CC Ainsworth,0,0,,,,,,caught,R McKenna
ball,1,2.4,Melbourne Stars,AE Jones,MM Lanning,CC Ainsworth,0,0,,,,,,"",""
ball,1,2.5,Melbourne Stars,AE Jones,MM Lanning,CC Ainsworth,0,0,,,,,,"",""
ball,1,2.6,Melbourne Stars,AE Jones,MM Lanning,CC Ainsworth,1,0,,,,,,"",""
ball,1,2.7,Melbourne Stars,MM Lanning,AE Jones,CC Ainsworth,0,0,,,,,,"",""
ball,1,3.1,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,0,0,,,,,,"",""
ball,1,3.2,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,0,0,,,,,,"",""
ball,1,3.3,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,1,0,,,,,,"",""
ball,1,3.4,Melbourne Stars,MM Lanning,AE Jones,SFM Devine,0,0,,,,,,"",""
ball,1,3.5,Melbourne Stars,MM Lanning,AE Jones,SFM Devine,0,0,,,,,,"",""
ball,1,3.6,Melbourne Stars,MM Lanning,AE Jones,SFM Devine,0,0,,,,,,"",""
ball,1,4.1,Melbourne Stars,AE Jones,MM Lanning,CC Ainsworth,0,0,,,,,,"",""
ball,1,4.2,Melbourne Stars,AE Jones,MM Lanning,CC Ainsworth,0,0,,,,,,"",""
ball,1,4.3,Melbourne Stars,AE Jones,MM Lanning,CC Ainsworth,0,0,,,,,,"",""
ball,1,4.4,Melbourne Stars,AE Jones,MM Lanning,CC Ainsworth,1,0,,,,,,"",""
ball,1,4.5,Melbourne Stars,MM Lanning,AE Jones,CC Ainsworth,4,0,,,,,,"",""
ball,1,4.6,Melbourne Stars,MM Lanning,AE Jones,CC Ainsworth,1,0,,,,,,"",""
ball,1,5.1,Melbourne Stars,MM Lanning,AE Jones,A King,2,0,,,,,,"",""
ball,1,5.2,Melbourne Stars,MM Lanning,AE Jones,A King,0,0,,,,,,"",""
ball,1,5.3,Melbourne Stars,MM Lanning,AE Jones,A King,4,0,,,,,,"",""
ball,1,5.4,Melbourne Stars,MM Lanning,AE Jones,A King,1,0,,,,,,"",""
ball,1,5.5,Melbourne Stars,AE Jones,MM Lanning,A King,0,0,,,,,,"",""
ball,1,5.6,Melbourne Stars,AE Jones,MM Lanning,A King,1,0,,,,,,"",""
ball,1,6.1,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,0,0,,,,,,"",""
ball,1,6.2,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,0,0,,,,,,"",""
ball,1,6.3,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,0,0,,,,,,"",""
ball,1,6.4,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,4,0,,,,,,"",""
ball,1,6.5,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,0,0,,,,,,"",""
ball,1,6.6,Melbourne Stars,AE Jones,MM Lanning,SFM Devine,1,0,,,,,,"",""
ball,1,7.1,Melbourne Stars,AE Jones,MM Lanning,A King,1,0,,,,,,"",""
ball,1,7.2,Melbourne Stars,MM Lanning,AE Jones,A King,1,0,,,,,,"",""
ball,1,7.3,Melbourne Stars,AE Jones,MM Lanning,A King,4,0,,,,,,"",""
ball,1,7.4,Melbourne Stars,AE Jones,MM Lanning,A King,1,0,,,,,,"",""
ball,1,7.5,Melbourne Stars,MM Lanning,AE Jones,A King,1,0,,,,,,"",""
ball,1,7.6,Melbourne Stars,AE Jones,MM Lanning,A King,2,0,,,,,,"",""
ball,1,8.1,Melbourne Stars,MM Lanning,AE Jones,AL Edgar,0,0,,,,,,"",""
ball,1,8.2,Melbourne Stars,MM Lanning,AE Jones,AL Edgar,1,0,,,,,,"",""
ball,1,8.3,Melbourne Stars,AE Jones,MM Lanning,AL Edgar,1,0,,,,,,"",""
ball,1,8.4,Melbourne Stars,MM Lanning,AE Jones,AL Edgar,1,0,,,,,,"",""
ball,1,8.5,Melbourne Stars,AE Jones,MM Lanning,AL Edgar,4,0,,,,,,"",""
ball,1,8.6,Melbourne Stars,AE Jones,MM Lanning,AL Edgar,1,0,,,,,,"",""
ball,1,9.1,Melbourne Stars,AE Jones,MM Lanning,L Mills,2,0,,,,,,"",""
ball,1,9.2,Melbourne Stars,AE Jones,MM Lanning,L Mills,1,0,,,,,,"",""
ball,1,9.3,Melbourne Stars,MM Lanning,AE Jones,L Mills,1,0,,,,,,"",""
ball,1,9.4,Melbourne Stars,AE Jones,MM Lanning,L Mills,2,0,,,,,,"",""
ball,1,9.5,Melbourne Stars,AE Jones,MM Lanning,L Mills,1,0,,,,,,"",""
ball,1,9.6,Melbourne Stars,MM Lanning,AE Jones,L Mills,1,0,,,,,,"",""
ball,1,10.1,Melbourne Stars,MM Lanning,AE Jones,CC Ainsworth,4,0,,,,,,"",""
ball,1,10.2,Melbourne Stars,MM Lanning,AE Jones,CC Ainsworth,2,0,,,,,,"",""
ball,1,10.3,Melbourne Stars,MM Lanning,AE Jones,CC Ainsworth,0,1,1,,,,,"",""
