version,1.7.0
info,balls_per_over,6
info,team,Brisbane Heat
info,team,Sydney Sixers
info,gender,female
info,season,2023/24
info,date,2023/11/21
info,event,Women's Big Bash League
info,match_number,49
info,venue,"Allan Border Field, Brisbane"
info,city,Brisbane
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,EA Perry
info,umpire,J Adie
info,umpire,N James
info,match_referee,Kepler Wessels
info,winner,Sydney Sixers
info,winner_wickets,6
info,player,Brisbane Heat,GM Harris
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,BAM Heath
info,player,Brisbane Heat,AC Kerr
info,player,Brisbane Heat,M du Preez
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,G Voll
info,player,Brisbane Heat,M Hinkley
info,player,Brisbane Heat,NM Hancock
info,player,Brisbane Heat,CG Sippel
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,SW Bates
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,EA Burns
info,player,Sydney Sixers,M Carmichael
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,JM Kerr
info,player,Sydney Sixers,KM Pelle
info,player,Sydney Sixers,K Peterson
info,player,Sydney Sixers,L Cheatle
info,player,Sydney Sixers,LCN Smith
info,registry,people,A Gardner,bc969efb
info,registry,people,AC Kerr,7673c908
info,registry,people,BAM Heath,3b5a9438
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,CR Knott,d7ff1adc
info,registry,people,EA Burns,2e0b6638
info,registry,people,EA Perry,be150fc8
info,registry,people,G Redmayne,324b9eee
info,registry,people,G Voll,5c30d455
info,registry,people,GM Harris,72166006
info,registry,people,J Adie,259c0030
info,registry,people,JL Jonassen,0475a86b
info,registry,people,JM Kerr,9af58032
info,registry,people,K Peterson,5f377534
info,registry,people,KM Pelle,ae28c962
info,registry,people,Kepler Wessels,3bedaff0
info,registry,people,L Cheatle,275dff85
info,registry,people,LCN Smith,340202b0
info,registry,people,M Brown,78bec461
info,registry,people,M Carmichael,4b546c04
info,registry,people,M Hinkley,3812165d
info,registry,people,M du Preez,e219f17a
info,registry,people,N James,3de4511d
info,registry,people,NM Hancock,af8c3a85
info,registry,people,SW Bates,89bbc67a
ball,1,0.1,Brisbane Heat,GM Harris,G Redmayne,L Cheatle,2,0,,,,,,"",""
ball,1,0.2,Brisbane Heat,GM Harris,G Redmayne,L Cheatle,0,0,,,,,,caught,GM Harris
ball,1,0.3,Brisbane Heat,BAM Heath,G Redmayne,L Cheatle,0,0,,,,,,"",""
ball,1,0.4,Brisbane Heat,BAM Heath,G Redmayne,L Cheatle,0,0,,,,,,"",""
ball,1,0.5,Brisbane Heat,BAM Heath,G Redmayne,L Cheatle,1,0,,,,,,"",""
ball,1,0.6,Brisbane Heat,G Redmayne,BAM Heath,L Cheatle,0,0,,,,,,"",""
ball,1,1.1,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,0,0,,,,,,"",""
ball,1,1.2,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,0,0,,,,,,"",""
ball,1,1.3,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,0,0,,,,,,"",""
ball,1,1.4,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,0,0,,,,,,"",""
ball,1,1.5,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,0,5,5,,,,,"",""
ball,1,1.6,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,0,1,1,,,,,"",""
ball,1,1.7,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,0,0,,,,,,"",""
ball,1,1.8,Brisbane Heat,BAM Heath,G Redmayne,EA Perry,1,0,,,,,,"",""
ball,1,2.1,Brisbane Heat,BAM Heath,G Redmayne,L Cheatle,0,0,,,,,,"",""
ball,1,2.2,Brisbane Heat,BAM Heath,G Redmayne,L Cheatle,0,0,,,,,,"",""
ball,1,2.3,Brisbane Heat,BAM Heath,G Redmayne,L Cheatle,1,0,,,,,,"",""
ball,1,2.4,Brisbane Heat,G Redmayne,BAM Heath,L Cheatle,4,0,,,,,,"",""
ball,1,2.5,Brisbane Heat,G Redmayne,BAM Heath,L Cheatle,0,0,,,,,,"",""
ball,1,2.6,Brisbane Heat,G Redmayne,BAM Heath,L Cheatle,0,0,,,,,,"",""
ball,1,3.1,Brisbane Heat,BAM Heath,G Redmayne,JM Kerr,0,0,,,,,,"",""
