version,1.7.0
info,balls_per_over,6
info,team,South East Stars
info,team,Southern Vipers
info,gender,female
info,season,2022
info,date,2022/09/21
info,event,Rachael Heyhoe Flint Trophy
info,venue,"Kent County Cricket Ground, Beckenham"
info,city,Beckenham
info,toss_winner,South East Stars
info,toss_decision,bat
info,umpire,JD Shantry
info,umpire,J Naeem
info,match_referee,H Pack
info,winner,Southern Vipers
info,winner_wickets,6
info,player,South East Stars,C Brewer
info,player,South East Stars,KM Chathli
info,player,South East Stars,BF Smith
info,player,South East Stars,J Spence
info,player,South East Stars,PA Franklin
info,player,South East Stars,R Southby
info,player,South East Stars,R MacDonald-Gay
info,player,South East Stars,FR Davies
info,player,South East Stars,A Stonehouse
info,player,South East Stars,E Gray
info,player,South East Stars,D Gregory
info,player,Southern Vipers,EM McCaughan
info,player,Southern Vipers,ME Bouchier
info,player,Southern Vipers,GA Elwiss
info,player,Southern Vipers,GL Adams
info,player,Southern Vipers,PJ Scholfield
info,player,Southern Vipers,E Windsor
info,player,Southern Vipers,CAE Hill
info,player,Southern Vipers,TG Norris
info,player,Southern Vipers,MLL Taylor
info,player,Southern Vipers,CM Taylor
info,player,Southern Vipers,FM Trussler
info,registry,people,A Stonehouse,c9366237
info,registry,people,BF Smith,c64b7c5b
info,registry,people,C Brewer,baf11c9a
info,registry,people,CAE Hill,24ffb29f
info,registry,people,CM Taylor,d23c808d
info,registry,people,D Gregory,b3ccffff
info,registry,people,E Gray,58717de2
info,registry,people,E Windsor,1d7f8759
info,registry,people,EM McCaughan,ed2711ea
info,registry,people,FM Trussler,625370f4
info,registry,people,FR Davies,2479daa6
info,registry,people,GA Elwiss,287ed3a0
info,registry,people,GL Adams,7b1f2542
info,registry,people,H Pack,fed53c91
info,registry,people,J Naeem,0dc3fee0
info,registry,people,J Spence,79dd743c
info,registry,people,JD Shantry,70fdd428
info,registry,people,KM Chathli,6ffbf04c
info,registry,people,ME Bouchier,c2554b59
info,registry,people,MLL Taylor,014cfac4
info,registry,people,PA Franklin,d6a9af83
info,registry,people,PJ Scholfield,588360ee
info,registry,people,R MacDonald-Gay,459a7b0a
info,registry,people,R Southby,bbe1525d
info,registry,people,TG Norris,8ae7bb3e
ball,1,0.1,South East Stars,C Brewer,KM Chathli,TG Norris,1,0,,,,,,"",""
ball,1,0.2,South East Stars,KM Chathli,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,0.3,South East Stars,KM Chathli,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,0.4,South East Stars,KM Chathli,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,0.5,South East Stars,KM Chathli,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,0.6,South East Stars,KM Chathli,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,1.1,South East Stars,C Brewer,KM Chathli,CM Taylor,0,0,,,,,,"",""
ball,1,1.2,South East Stars,C Brewer,KM Chathli,CM Taylor,1,0,,,,,,"",""
ball,1,1.3,South East Stars,KM Chathli,C Brewer,CM Taylor,0,0,,,,,,"",""
ball,1,1.4,South East Stars,KM Chathli,C Brewer,CM Taylor,0,0,,,,,,stumped,KM Chathli
ball,1,1.5,South East Stars,BF Smith,C Brewer,CM Taylor,1,0,,,,,,"",""
ball,1,1.6,South East Stars,C Brewer,BF Smith,CM Taylor,0,0,,,,,,"",""
ball,1,2.1,South East Stars,BF Smith,C Brewer,TG Norris,2,0,,,,,,"",""
ball,1,2.2,South East Stars,BF Smith,C Brewer,TG Norris,4,0,,,,,,"",""
ball,1,2.3,South East Stars,BF Smith,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,2.4,South East Stars,BF Smith,C Brewer,TG Norris,0,0,,,,,,caught,BF Smith
ball,1,2.5,South East Stars,J Spence,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,2.6,South East Stars,J Spence,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,3.1,South East Stars,C Brewer,J Spence,CM Taylor,0,0,,,,,,"",""
ball,1,3.2,South East Stars,C Brewer,J Spence,CM Taylor,0,0,,,,,,"",""
ball,1,3.3,South East Stars,C Brewer,J Spence,CM Taylor,0,0,,,,,,"",""
ball,1,3.4,South East Stars,C Brewer,J Spence,CM Taylor,1,0,,,,,,"",""
ball,1,3.5,South East Stars,J Spence,C Brewer,CM Taylor,0,0,,,,,,"",""
ball,1,3.6,South East Stars,J Spence,C Brewer,CM Taylor,1,0,,,,,,"",""
ball,1,4.1,South East Stars,J Spence,C Brewer,TG Norris,0,0,,,,,,"",""
ball,1,4.2,South East Stars,J Spence,C Brewer,TG Norris,1,0,,,,,,"",""
ball,1,4.3,South East Stars,C Brewer,J Spence,TG Norris,0,0,,,,,,"",""
ball,1,4.4,South East Stars,C Brewer,J Spence,TG Norris,0,0,,,,,,"",""
ball,1,4.5,South East Stars,C Brewer,J Spence,TG Norris,0,0,,,,,,"",""
