version,1.7.0
info,balls_per_over,6
info,team,Kent
info,team,Warwickshire
info,gender,male
info,season,2014
info,date,2014/09/04
info,event,Royal London One-Day Cup
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Kent
info,toss_decision,bat
info,player_of_match,WB Rankin
info,umpire,SJ O'Shaughnessy
info,umpire,RT Robinson
info,tv_umpire,AG Wharf
info,winner,Warwickshire
info,winner_wickets,6
info,player,Kent,SA Northeast
info,player,Kent,RWT Key
info,player,Kent,BW Harmison
info,player,Kent,BP Nash
info,player,Kent,FK Cowdrey
info,player,Kent,DI Stevens
info,player,Kent,AJ Blake
info,player,Kent,SW Billings
info,player,Kent,ME Claydon
info,player,Kent,DA Griffiths
info,player,Kent,AEN Riley
info,player,Warwickshire,V Chopra
info,player,Warwickshire,WTS Porterfield
info,player,Warwickshire,IJL Trott
info,player,Warwickshire,TR Ambrose
info,player,Warwickshire,LJ Evans
info,player,Warwickshire,R Clarke
info,player,Warwickshire,A Javid
info,player,Warwickshire,JS Patel
info,player,Warwickshire,RO Gordon
info,player,Warwickshire,OJ Hannon-Dalby
info,player,Warwickshire,WB Rankin
info,registry,people,A Javid,8d1dad51
info,registry,people,AEN Riley,eaa4cfc2
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AJ Blake,ea27a674
info,registry,people,BP Nash,749a1b3a
info,registry,people,BW Harmison,7795ab76
info,registry,people,DA Griffiths,1f572ee8
info,registry,people,DI Stevens,bca21d18
info,registry,people,FK Cowdrey,1179469b
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,JS Patel,f5821615
info,registry,people,LJ Evans,1c513d54
info,registry,people,ME Claydon,15101f12
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,R Clarke,8728a058
info,registry,people,RO Gordon,151d88b3
info,registry,people,RT Robinson,b143c87d
info,registry,people,RWT Key,bcb01d8c
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,SW Billings,c16d4035
info,registry,people,TR Ambrose,a15aaa7f
info,registry,people,V Chopra,54745c20
info,registry,people,WB Rankin,29b89ae8
info,registry,people,WTS Porterfield,ec02b798
ball,1,0.1,Kent,SA Northeast,RWT Key,R Clarke,0,0,,,,,,"",""
ball,1,0.2,Kent,SA Northeast,RWT Key,R Clarke,0,0,,,,,,"",""
ball,1,0.3,Kent,SA Northeast,RWT Key,R Clarke,0,0,,,,,,"",""
ball,1,0.4,Kent,SA Northeast,RWT Key,R Clarke,0,0,,,,,,"",""
ball,1,0.5,Kent,SA Northeast,RWT Key,R Clarke,4,0,,,,,,"",""
ball,1,0.6,Kent,SA Northeast,RWT Key,R Clarke,0,0,,,,,,"",""
ball,1,1.1,Kent,RWT Key,SA Northeast,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.2,Kent,RWT Key,SA Northeast,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.3,Kent,RWT Key,SA Northeast,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.4,Kent,RWT Key,SA Northeast,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.5,Kent,RWT Key,SA Northeast,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.6,Kent,RWT Key,SA Northeast,OJ Hannon-Dalby,2,0,,,,,,"",""
ball,1,2.1,Kent,SA Northeast,RWT Key,R Clarke,1,0,,,,,,"",""
ball,1,2.2,Kent,RWT Key,SA Northeast,R Clarke,0,0,,,,,,"",""
ball,1,2.3,Kent,RWT Key,SA Northeast,R Clarke,0,0,,,,,,"",""
ball,1,2.4,Kent,RWT Key,SA Northeast,R Clarke,4,0,,,,,,"",""
ball,1,2.5,Kent,RWT Key,SA Northeast,R Clarke,0,0,,,,,,"",""
ball,1,2.6,Kent,RWT Key,SA Northeast,R Clarke,0,0,,,,,,"",""
ball,1,3.1,Kent,SA Northeast,RWT Key,OJ Hannon-Dalby,2,0,,,,,,"",""
ball,1,3.2,Kent,SA Northeast,RWT Key,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,3.3,Kent,SA Northeast,RWT Key,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,3.4,Kent,SA Northeast,RWT Key,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,3.5,Kent,SA Northeast,RWT Key,OJ Hannon-Dalby,0,0,,,,,,"",""
