version,1.7.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Adelaide Strikers
info,gender,female
info,season,2025/26
info,date,2025/11/10
info,event,Women's Big Bash League
info,match_number,4
info,venue,"Junction Oval, Melbourne"
info,city,Melbourne
info,toss_winner,Adelaide Strikers
info,toss_decision,field
info,umpire,Bede Sajowitz
info,umpire,Malcolm Wood
info,reserve_umpire,G Bawa
info,tv_umpire,D Brigham
info,match_referee,SJ Elliott
info,outcome,no result
info,player,Melbourne Stars,MM Lanning
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,AE Jones
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,M Kapp
info,player,Melbourne Stars,DR Gibson
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,G Prestwidge
info,player,Melbourne Stars,ML Gibson
info,player,Melbourne Stars,S Day
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,TT Beaumont
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,E Johnston
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,S Ecclestone
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AE Jones,b05e45e4
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,D Brigham,464daf41
info,registry,people,D Brown,2e81be88
info,registry,people,DR Gibson,d2763568
info,registry,people,E Johnston,3785e30d
info,registry,people,G Bawa,dad513b6
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KJ Garth,0b69a844
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Penna,36453b99
info,registry,people,ML Gibson,27fa592f
info,registry,people,ML Schutt,17608a6f
info,registry,people,MM Lanning,27e003ce
info,registry,people,Malcolm Wood,c4e58bfb
info,registry,people,R McKenna,f7e41cd8
info,registry,people,S Day,c3d27d76
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,SJ Elliott,13f8d4b5
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,TT Beaumont,b2664905
ball,1,0.1,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,4,0,,,,,,"",""
ball,1,0.2,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,0,,,,,,"",""
ball,1,0.3,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,4,0,,,,,,"",""
ball,1,0.4,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,0,,,,,,"",""
ball,1,0.5,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,0,,,,,,"",""
ball,1,0.6,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,1,1,,,,,"",""
ball,1,0.7,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,0,,,,,,"",""
ball,1,1.1,Melbourne Stars,R McKenna,MM Lanning,D Brown,0,0,,,,,,"",""
ball,1,1.2,Melbourne Stars,R McKenna,MM Lanning,D Brown,0,0,,,,,,"",""
ball,1,1.3,Melbourne Stars,R McKenna,MM Lanning,D Brown,0,0,,,,,,"",""
ball,1,1.4,Melbourne Stars,R McKenna,MM Lanning,D Brown,4,0,,,,,,"",""
ball,1,1.5,Melbourne Stars,R McKenna,MM Lanning,D Brown,4,0,,,,,,"",""
ball,1,1.6,Melbourne Stars,R McKenna,MM Lanning,D Brown,0,0,,,,,,"",""
ball,1,2.1,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,1,1,,,,,"",""
ball,1,2.2,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,0,,,,,,"",""
ball,1,2.3,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,2,0,,,,,,"",""
ball,1,2.4,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,1,1,,,,,"",""
ball,1,2.5,Melbourne Stars,MM Lanning,R McKenna,ML Schutt,0,1,,,,1,,"",""
ball,1,2.6,Melbourne Stars,R McKenna,MM Lanning,ML Schutt,4,0,,,,,,"",""
ball,1,2.7,Melbourne Stars,R McKenna,MM Lanning,ML Schutt,0,0,,,,,,"",""
ball,1,2.8,Melbourne Stars,R McKenna,MM Lanning,ML Schutt,0,0,,,,,,"",""
ball,1,3.1,Melbourne Stars,MM Lanning,R McKenna,D Brown,1,0,,,,,,"",""
ball,1,3.2,Melbourne Stars,R McKenna,MM Lanning,D Brown,2,0,,,,,,"",""
ball,1,3.3,Melbourne Stars,R McKenna,MM Lanning,D Brown,1,0,,,,,,"",""
