version,1.7.0
info,balls_per_over,6
info,team,MI Cape Town
info,team,Sunrisers Eastern Cape
info,gender,male
info,season,2024/25
info,date,2025/01/09
info,event,SA20
info,match_number,1
info,venue,"St George's Park, Gqeberha"
info,city,Gqeberha
info,toss_winner,Sunrisers Eastern Cape
info,toss_decision,field
info,player_of_match,D Potgieter
info,umpire,A Paleker
info,umpire,M Erasmus
info,reserve_umpire,AM Sodumo
info,tv_umpire,A Jacobs
info,match_referee,ZTA Ndamane
info,winner,MI Cape Town
info,winner_runs,97
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,C Esterhuizen
info,player,MI Cape Town,CA Ingram
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,Azmatullah Omarzai
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,C Bosch
info,player,MI Cape Town,TA Boult
info,player,Sunrisers Eastern Cape,Z Crawley
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,TB Abell
info,player,Sunrisers Eastern Cape,AK Markram
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,B Swanepoel
info,player,Sunrisers Eastern Cape,DG Bedingham
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,LA Dawson
info,player,Sunrisers Eastern Cape,SR Harmer
info,player,Sunrisers Eastern Cape,RJ Gleeson
info,registry,people,A Jacobs,70d117de
info,registry,people,A Paleker,634b11ac
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Sodumo,cc6850ec
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B Swanepoel,6e0a2209
info,registry,people,C Bosch,172dff15
info,registry,people,C Esterhuizen,ef9acbcc
info,registry,people,CA Ingram,c995d726
info,registry,people,D Brevis,844e79d1
info,registry,people,D Potgieter,60fbf53a
info,registry,people,DG Bedingham,a1b69936
info,registry,people,GF Linde,e5437608
info,registry,people,HE van der Dussen,9948e262
info,registry,people,J Hermann,e87aeca2
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Jansen,81c36ee9
info,registry,people,RJ Gleeson,402f8494
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SR Harmer,23638956
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TA Boult,a818c1be
info,registry,people,TB Abell,ba9258a7
info,registry,people,Z Crawley,922e1b19
info,registry,people,ZTA Ndamane,545cc6db
ball,1,0.1,MI Cape Town,HE van der Dussen,RR Hendricks,M Jansen,0,1,1,,,,,"",""
ball,1,0.2,MI Cape Town,HE van der Dussen,RR Hendricks,M Jansen,0,1,,,,1,,"",""
ball,1,0.3,MI Cape Town,RR Hendricks,HE van der Dussen,M Jansen,0,0,,,,,,"",""
ball,1,0.4,MI Cape Town,RR Hendricks,HE van der Dussen,M Jansen,0,0,,,,,,"",""
ball,1,0.5,MI Cape Town,RR Hendricks,HE van der Dussen,M Jansen,0,0,,,,,,caught,RR Hendricks
ball,1,0.6,MI Cape Town,C Esterhuizen,HE van der Dussen,M Jansen,0,0,,,,,,"",""
ball,1,0.7,MI Cape Town,C Esterhuizen,HE van der Dussen,M Jansen,0,0,,,,,,"",""
ball,1,1.1,MI Cape Town,HE van der Dussen,C Esterhuizen,B Swanepoel,0,0,,,,,,"",""
ball,1,1.2,MI Cape Town,HE van der Dussen,C Esterhuizen,B Swanepoel,4,0,,,,,,"",""
ball,1,1.3,MI Cape Town,HE van der Dussen,C Esterhuizen,B Swanepoel,1,0,,,,,,"",""
ball,1,1.4,MI Cape Town,C Esterhuizen,HE van der Dussen,B Swanepoel,1,0,,,,,,"",""
ball,1,1.5,MI Cape Town,HE van der Dussen,C Esterhuizen,B Swanepoel,2,0,,,,,,"",""
ball,1,1.6,MI Cape Town,HE van der Dussen,C Esterhuizen,B Swanepoel,0,0,,,,,,"",""
ball,1,2.1,MI Cape Town,C Esterhuizen,HE van der Dussen,M Jansen,1,0,,,,,,"",""
ball,1,2.2,MI Cape Town,HE van der Dussen,C Esterhuizen,M Jansen,0,0,,,,,,"",""
ball,1,2.3,MI Cape Town,HE van der Dussen,C Esterhuizen,M Jansen,0,1,,,,1,,"",""
ball,1,2.4,MI Cape Town,C Esterhuizen,HE van der Dussen,M Jansen,0,0,,,,,,"",""
ball,1,2.5,MI Cape Town,C Esterhuizen,HE van der Dussen,M Jansen,0,0,,,,,,"",""
ball,1,2.6,MI Cape Town,C Esterhuizen,HE van der Dussen,M Jansen,0,1,1,,,,,"",""
ball,1,2.7,MI Cape Town,C Esterhuizen,HE van der Dussen,M Jansen,4,0,,,,,,"",""
ball,1,3.1,MI Cape Town,HE van der Dussen,C Esterhuizen,RJ Gleeson,1,0,,,,,,"",""
ball,1,3.2,MI Cape Town,C Esterhuizen,HE van der Dussen,RJ Gleeson,0,0,,,,,,"",""
ball,1,3.3,MI Cape Town,C Esterhuizen,HE van der Dussen,RJ Gleeson,1,0,,,,,,"",""
ball,1,3.4,MI Cape Town,HE van der Dussen,C Esterhuizen,RJ Gleeson,0,0,,,,,,"",""
ball,1,3.5,MI Cape Town,HE van der Dussen,C Esterhuizen,RJ Gleeson,2,0,,,,,,"",""
ball,1,3.6,MI Cape Town,HE van der Dussen,C Esterhuizen,RJ Gleeson,0,0,,,,,,"",""
ball,1,4.1,MI Cape Town,C Esterhuizen,HE van der Dussen,B Swanepoel,6,0,,,,,,"",""
ball,1,4.2,MI Cape Town,C Esterhuizen,HE van der Dussen,B Swanepoel,0,0,,,,,,"",""
ball,1,4.3,MI Cape Town,C Esterhuizen,HE van der Dussen,B Swanepoel,0,0,,,,,,"",""
ball,1,4.4,MI Cape Town,C Esterhuizen,HE van der Dussen,B Swanepoel,0,0,,,,,,"",""
ball,1,4.5,MI Cape Town,C Esterhuizen,HE van der Dussen,B Swanepoel,0,0,,,,,,"",""
ball,1,4.6,MI Cape Town,C Esterhuizen,HE van der Dussen,B Swanepoel,1,0,,,,,,"",""
ball,1,5.1,MI Cape Town,C Esterhuizen,HE van der Dussen,RJ Gleeson,4,0,,,,,,"",""
