version,1.7.0
info,balls_per_over,6
info,team,New South Wales
info,team,Queensland
info,gender,male
info,season,2025/26
info,date,2025/12/05
info,date,2025/12/06
info,date,2025/12/07
info,event,Sheffield Shield
info,match_number,17
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,New South Wales
info,toss_decision,bat
info,player_of_match,CH Stobo
info,umpire,BC Treloar
info,umpire,GA Abood
info,match_referee,RL Parry
info,winner,New South Wales
info,winner_runs,341
info,player,New South Wales,S Konstas
info,player,New South Wales,M Gilkes
info,player,New South Wales,KR Patterson
info,player,New South Wales,L Shaw
info,player,New South Wales,RR Hicks
info,player,New South Wales,J Edwards
info,player,New South Wales,JA Davies
info,player,New South Wales,CH Stobo
info,player,New South Wales,T Sangha
info,player,New South Wales,LC Hatcher
info,player,New South Wales,RR Pawson
info,player,Queensland,BC Floros
info,player,Queensland,ACI Lovell
info,player,Queensland,HR Burdon
info,player,Queensland,J Clayton
info,player,Queensland,HD Weibgen
info,player,Queensland,LD Hearne
info,player,Queensland,JJ Peirson
info,player,Queensland,ST Geyer
info,player,Queensland,GS Sandhu
info,player,Queensland,T Straker
info,player,Queensland,MJ Swepson
info,player,Queensland,T Whitney
info,registry,people,ACI Lovell,2372b3ad
info,registry,people,BC Floros,4d748b6a
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,CH Stobo,098229a5
info,registry,people,GA Abood,a4af5528
info,registry,people,GS Sandhu,1558d83b
info,registry,people,HD Weibgen,2535b30f
info,registry,people,HR Burdon,309e9b1c
info,registry,people,J Clayton,c56fc66d
info,registry,people,J Edwards,f787e0eb
info,registry,people,JA Davies,5cdf8304
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,KR Patterson,e3bf8356
info,registry,people,L Shaw,b34e4b15
info,registry,people,LC Hatcher,8f3fde65
info,registry,people,LD Hearne,7f2163a0
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,RL Parry,86d151dc
info,registry,people,RR Hicks,7833d84f
info,registry,people,RR Pawson,016188b4
info,registry,people,S Konstas,3c34c9e1
info,registry,people,ST Geyer,1df937b4
info,registry,people,T Sangha,52c952d9
info,registry,people,T Straker,5355168d
info,registry,people,T Whitney,97af3515
ball,1,0.1,New South Wales,S Konstas,M Gilkes,GS Sandhu,1,0,,,,,,"",""
ball,1,0.2,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,0.3,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,1,,1,,,,"",""
ball,1,0.4,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,0.5,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,0.6,New South Wales,M Gilkes,S Konstas,GS Sandhu,1,0,,,,,,"",""
ball,1,0.7,New South Wales,S Konstas,M Gilkes,GS Sandhu,0,0,,,,,,"",""
ball,1,1.1,New South Wales,M Gilkes,S Konstas,T Straker,0,0,,,,,,"",""
ball,1,1.2,New South Wales,M Gilkes,S Konstas,T Straker,0,0,,,,,,"",""
ball,1,1.3,New South Wales,M Gilkes,S Konstas,T Straker,0,0,,,,,,"",""
ball,1,1.4,New South Wales,M Gilkes,S Konstas,T Straker,0,0,,,,,,"",""
ball,1,1.5,New South Wales,M Gilkes,S Konstas,T Straker,1,0,,,,,,"",""
ball,1,1.6,New South Wales,S Konstas,M Gilkes,T Straker,0,4,,,,4,,"",""
ball,1,2.1,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,2.2,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,2.3,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,2.4,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,2.5,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,2.6,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,3.1,New South Wales,S Konstas,M Gilkes,T Straker,0,0,,,,,,"",""
ball,1,3.2,New South Wales,S Konstas,M Gilkes,T Straker,0,0,,,,,,"",""
ball,1,3.3,New South Wales,S Konstas,M Gilkes,T Straker,0,0,,,,,,"",""
ball,1,3.4,New South Wales,S Konstas,M Gilkes,T Straker,0,0,,,,,,"",""
ball,1,3.5,New South Wales,S Konstas,M Gilkes,T Straker,0,0,,,,,,"",""
ball,1,3.6,New South Wales,S Konstas,M Gilkes,T Straker,0,0,,,,,,"",""
ball,1,4.1,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,4.2,New South Wales,M Gilkes,S Konstas,GS Sandhu,6,0,,,,,,"",""
ball,1,4.3,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,4.4,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,4.5,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,4.6,New South Wales,M Gilkes,S Konstas,GS Sandhu,0,0,,,,,,"",""
ball,1,5.1,New South Wales,S Konstas,M Gilkes,T Straker,0,0,,,,,,"",""
ball,1,5.2,New South Wales,S Konstas,M Gilkes,T Straker,1,0,,,,,,"",""
ball,1,5.3,New South Wales,M Gilkes,S Konstas,T Straker,0,0,,,,,,"",""
