version,1.6.0
info,balls_per_over,6
info,team,Adelaide Strikers
info,team,Perth Scorchers
info,gender,female
info,season,2020/21
info,date,2020/11/22
info,event,Women's Big Bash League
info,match_number,54
info,venue,North Sydney Oval
info,city,Sydney
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,A Wellington
info,umpire,BC Treloar
info,umpire,Sharad Patel
info,tv_umpire,GJ Davidson
info,match_referee,Dave Gilbert
info,winner,Adelaide Strikers
info,winner_runs,3
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,BE Patterson
info,player,Adelaide Strikers,TJ McPharlin
info,player,Adelaide Strikers,SJ Coyte
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,A Price
info,player,Adelaide Strikers,D Brown
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,AE Jones
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,NE Bolton
info,player,Perth Scorchers,M Carmichael
info,player,Perth Scorchers,JL Barsby
info,player,Perth Scorchers,T Peschel
info,player,Perth Scorchers,S Glenn
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,SM Betts
info,registry,people,A Price,99e26cea
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AE Jones,b05e45e4
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BE Patterson,7dfbcfff
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Piparo,276f3dde
info,registry,people,D Brown,2e81be88
info,registry,people,Dave Gilbert,aa782370
info,registry,people,GJ Davidson,31ad5973
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Carmichael,4b546c04
info,registry,people,M Penna,36453b99
info,registry,people,ML Schutt,17608a6f
info,registry,people,NE Bolton,dd883071
info,registry,people,P Cleary,507acf2e
info,registry,people,S Glenn,b34e0c77
info,registry,people,SFM Devine,de69af96
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,SM Betts,c4fd751d
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,T Peschel,923402d8
info,registry,people,TJ McPharlin,595e1ee7
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Adelaide Strikers,TM McGrath,KM Mack,NE Bolton,0,0,,,,,,"",""
ball,1,0.2,Adelaide Strikers,TM McGrath,KM Mack,NE Bolton,1,0,,,,,,"",""
ball,1,0.3,Adelaide Strikers,KM Mack,TM McGrath,NE Bolton,1,0,,,,,,"",""
ball,1,0.4,Adelaide Strikers,TM McGrath,KM Mack,NE Bolton,0,0,,,,,,"",""
ball,1,0.5,Adelaide Strikers,TM McGrath,KM Mack,NE Bolton,1,0,,,,,,"",""
ball,1,0.6,Adelaide Strikers,KM Mack,TM McGrath,NE Bolton,4,0,,,,,,"",""
ball,1,1.1,Adelaide Strikers,TM McGrath,KM Mack,T Peschel,0,0,,,,,,run out,TM McGrath
ball,1,1.2,Adelaide Strikers,KM Mack,L Wolvaardt,T Peschel,1,0,,,,,,"",""
ball,1,1.3,Adelaide Strikers,L Wolvaardt,KM Mack,T Peschel,2,0,,,,,,"",""
ball,1,1.4,Adelaide Strikers,L Wolvaardt,KM Mack,T Peschel,0,0,,,,,,"",""
ball,1,1.5,Adelaide Strikers,L Wolvaardt,KM Mack,T Peschel,1,0,,,,,,"",""
ball,1,1.6,Adelaide Strikers,KM Mack,L Wolvaardt,T Peschel,2,0,,,,,,"",""
ball,1,2.1,Adelaide Strikers,L Wolvaardt,KM Mack,S Glenn,0,0,,,,,,"",""
ball,1,2.2,Adelaide Strikers,L Wolvaardt,KM Mack,S Glenn,2,0,,,,,,"",""
ball,1,2.3,Adelaide Strikers,L Wolvaardt,KM Mack,S Glenn,1,0,,,,,,"",""
ball,1,2.4,Adelaide Strikers,KM Mack,L Wolvaardt,S Glenn,0,0,,,,,,"",""
ball,1,2.5,Adelaide Strikers,KM Mack,L Wolvaardt,S Glenn,1,0,,,,,,"",""
ball,1,2.6,Adelaide Strikers,L Wolvaardt,KM Mack,S Glenn,2,0,,,,,,"",""
ball,1,3.1,Adelaide Strikers,KM Mack,L Wolvaardt,P Cleary,1,0,,,,,,"",""
ball,1,3.2,Adelaide Strikers,L Wolvaardt,KM Mack,P Cleary,1,0,,,,,,"",""
ball,1,3.3,Adelaide Strikers,KM Mack,L Wolvaardt,P Cleary,0,1,1,,,,,"",""
ball,1,3.4,Adelaide Strikers,KM Mack,L Wolvaardt,P Cleary,1,0,,,,,,"",""
