version,1.7.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Perth Scorchers
info,gender,female
info,season,2022/23
info,date,2022/11/19
info,event,Women's Big Bash League
info,match_number,52
info,venue,"Ted Summerton Reserve, Moe"
info,city,Moe
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,SK Moloney
info,umpire,L McCabe
info,umpire,Mattis van Eck
info,match_referee,RW Stratford
info,winner,Melbourne Stars
info,winner_runs,6
info,player,Melbourne Stars,L Winfield-Hill
info,player,Melbourne Stars,S Reid
info,player,Melbourne Stars,A Capsey
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,C Smith
info,player,Melbourne Stars,N Faltum
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,U Raymond-Hoey
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,S Day
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,ML Green
info,player,Perth Scorchers,M Kapp
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,M Carmichael
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,T Peschel
info,registry,people,A Capsey,910dd54e
info,registry,people,A King,83558266
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AL Edgar,795ff893
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Piparo,276f3dde
info,registry,people,C Smith,c160db98
info,registry,people,KJ Garth,0b69a844
info,registry,people,L McCabe,1dbc4a64
info,registry,people,L Mills,c35a0b8a
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,M Carmichael,4b546c04
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ML Green,865eae1f
info,registry,people,Mattis van Eck,bf1a68c1
info,registry,people,N Faltum,9a56c670
info,registry,people,P Cleary,507acf2e
info,registry,people,R McKenna,f7e41cd8
info,registry,people,RW Stratford,85489579
info,registry,people,S Day,c3d27d76
info,registry,people,S Reid,1380c4c2
info,registry,people,SFM Devine,de69af96
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,T Peschel,923402d8
info,registry,people,U Raymond-Hoey,1a510809
ball,1,0.1,Melbourne Stars,L Winfield-Hill,S Reid,T Peschel,0,1,1,,,,,"",""
ball,1,0.2,Melbourne Stars,L Winfield-Hill,S Reid,T Peschel,0,0,,,,,,"",""
ball,1,0.3,Melbourne Stars,L Winfield-Hill,S Reid,T Peschel,2,0,,,,,,"",""
ball,1,0.4,Melbourne Stars,L Winfield-Hill,S Reid,T Peschel,0,0,,,,,,"",""
ball,1,0.5,Melbourne Stars,L Winfield-Hill,S Reid,T Peschel,1,0,,,,,,"",""
ball,1,0.6,Melbourne Stars,S Reid,L Winfield-Hill,T Peschel,0,0,,,,,,"",""
ball,1,0.7,Melbourne Stars,S Reid,L Winfield-Hill,T Peschel,0,0,,,,,,"",""
ball,1,1.1,Melbourne Stars,L Winfield-Hill,S Reid,M Kapp,1,0,,,,,,"",""
ball,1,1.2,Melbourne Stars,S Reid,L Winfield-Hill,M Kapp,3,0,,,,,,"",""
ball,1,1.3,Melbourne Stars,L Winfield-Hill,S Reid,M Kapp,0,1,,,,1,,"",""
ball,1,1.4,Melbourne Stars,S Reid,L Winfield-Hill,M Kapp,4,0,,,,,,"",""
ball,1,1.5,Melbourne Stars,S Reid,L Winfield-Hill,M Kapp,4,0,,,,,,"",""
ball,1,1.6,Melbourne Stars,S Reid,L Winfield-Hill,M Kapp,4,0,,,,,,"",""
ball,1,2.1,Melbourne Stars,L Winfield-Hill,S Reid,L Mills,2,0,,,,,,"",""
ball,1,2.2,Melbourne Stars,L Winfield-Hill,S Reid,L Mills,0,0,,,,,,"",""
ball,1,2.3,Melbourne Stars,L Winfield-Hill,S Reid,L Mills,4,0,,,,,,"",""
ball,1,2.4,Melbourne Stars,L Winfield-Hill,S Reid,L Mills,4,0,,,,,,"",""
ball,1,2.5,Melbourne Stars,L Winfield-Hill,S Reid,L Mills,1,0,,,,,,"",""
ball,1,2.6,Melbourne Stars,S Reid,L Winfield-Hill,L Mills,0,0,,,,,,"",""
ball,1,3.1,Melbourne Stars,L Winfield-Hill,S Reid,SFM Devine,0,0,,,,,,"",""
ball,1,3.2,Melbourne Stars,L Winfield-Hill,S Reid,SFM Devine,0,0,,,,,,"",""
ball,1,3.3,Melbourne Stars,L Winfield-Hill,S Reid,SFM Devine,0,0,,,,,,"",""
