version,1.7.0
info,balls_per_over,6
info,team,Abu Dhabi Knight Riders
info,team,Sharjah Warriorz
info,gender,male
info,season,2024/25
info,date,2025/01/30
info,event,International League T20
info,match_number,25
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Sharjah Warriorz
info,toss_decision,field
info,player_of_match,A Zampa
info,umpire,Akbar Ali
info,umpire,RSA Palliyaguruge
info,reserve_umpire,MJ Saggers
info,tv_umpire,LS Reifer
info,match_referee,SJA Taufel
info,winner,Sharjah Warriorz
info,winner_wickets,4
info,player,Abu Dhabi Knight Riders,V Viyaskanth
info,player,Abu Dhabi Knight Riders,KR Mayers
info,player,Abu Dhabi Knight Riders,AGS Gous
info,player,Abu Dhabi Knight Riders,JM Clarke
info,player,Abu Dhabi Knight Riders,RL Chase
info,player,Abu Dhabi Knight Riders,A Sharafu
info,player,Abu Dhabi Knight Riders,SP Narine
info,player,Abu Dhabi Knight Riders,AD Russell
info,player,Abu Dhabi Knight Riders,JO Holder
info,player,Abu Dhabi Knight Riders,DJ Willey
info,player,Abu Dhabi Knight Riders,T Hinds
info,player,Abu Dhabi Knight Riders,Ibrar Ahmad
info,player,Sharjah Warriorz,D Madushanka
info,player,Sharjah Warriorz,T Kohler-Cadmore
info,player,Sharjah Warriorz,J Charles
info,player,Sharjah Warriorz,Rohan Mustafa
info,player,Sharjah Warriorz,JJ Roy
info,player,Sharjah Warriorz,TL Seifert
info,player,Sharjah Warriorz,Ethan D'Souza
info,player,Sharjah Warriorz,AC Agar
info,player,Sharjah Warriorz,Harmeet Singh
info,player,Sharjah Warriorz,A Zampa
info,player,Sharjah Warriorz,AF Milne
info,player,Sharjah Warriorz,TG Southee
info,registry,people,A Sharafu,06cad4f0
info,registry,people,A Zampa,14f96089
info,registry,people,AC Agar,a2421394
info,registry,people,AD Russell,bbd41817
info,registry,people,AF Milne,350bb1b1
info,registry,people,AGS Gous,d1305df0
info,registry,people,Akbar Ali,e753931d
info,registry,people,D Madushanka,de7d833e
info,registry,people,DJ Willey,7f048519
info,registry,people,Ethan D'Souza,31ca7a9c
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,Ibrar Ahmad,aa47439d
info,registry,people,J Charles,09a9d073
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JO Holder,0f721006
info,registry,people,KR Mayers,73c18486
info,registry,people,LS Reifer,5dee559a
info,registry,people,MJ Saggers,402d5937
info,registry,people,RL Chase,3feda4fa
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rohan Mustafa,d1988788
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,SP Narine,9d430b40
info,registry,people,T Hinds,45a62071
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,V Viyaskanth,03a83c50
ball,1,0.1,Abu Dhabi Knight Riders,KR Mayers,AGS Gous,AF Milne,4,0,,,,,,"",""
ball,1,0.2,Abu Dhabi Knight Riders,KR Mayers,AGS Gous,AF Milne,4,0,,,,,,"",""
ball,1,0.3,Abu Dhabi Knight Riders,KR Mayers,AGS Gous,AF Milne,1,0,,,,,,"",""
ball,1,0.4,Abu Dhabi Knight Riders,AGS Gous,KR Mayers,AF Milne,0,0,,,,,,bowled,AGS Gous
ball,1,0.5,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,AF Milne,0,0,,,,,,"",""
ball,1,0.6,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,AF Milne,0,0,,,,,,"",""
ball,1,1.1,Abu Dhabi Knight Riders,KR Mayers,JM Clarke,TG Southee,0,0,,,,,,"",""
ball,1,1.2,Abu Dhabi Knight Riders,KR Mayers,JM Clarke,TG Southee,4,0,,,,,,"",""
ball,1,1.3,Abu Dhabi Knight Riders,KR Mayers,JM Clarke,TG Southee,1,0,,,,,,"",""
ball,1,1.4,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,TG Southee,1,0,,,,,,"",""
ball,1,1.5,Abu Dhabi Knight Riders,KR Mayers,JM Clarke,TG Southee,0,0,,,,,,"",""
ball,1,1.6,Abu Dhabi Knight Riders,KR Mayers,JM Clarke,TG Southee,0,0,,,,,,"",""
ball,1,2.1,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,AF Milne,4,0,,,,,,"",""
ball,1,2.2,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,AF Milne,2,0,,,,,,"",""
ball,1,2.3,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,AF Milne,4,0,,,,,,"",""
ball,1,2.4,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,AF Milne,4,0,,,,,,"",""
ball,1,2.5,Abu Dhabi Knight Riders,JM Clarke,KR Mayers,AF Milne,0,0,,,,,,caught,JM Clarke
ball,1,2.6,Abu Dhabi Knight Riders,RL Chase,KR Mayers,AF Milne,4,0,,,,,,"",""
ball,1,3.1,Abu Dhabi Knight Riders,KR Mayers,RL Chase,D Madushanka,0,0,,,,,,"",""
ball,1,3.2,Abu Dhabi Knight Riders,KR Mayers,RL Chase,D Madushanka,1,0,,,,,,"",""
ball,1,3.3,Abu Dhabi Knight Riders,RL Chase,KR Mayers,D Madushanka,4,0,,,,,,"",""
ball,1,3.4,Abu Dhabi Knight Riders,RL Chase,KR Mayers,D Madushanka,0,0,,,,,,"",""
ball,1,3.5,Abu Dhabi Knight Riders,RL Chase,KR Mayers,D Madushanka,0,0,,,,,,"",""
ball,1,3.6,Abu Dhabi Knight Riders,RL Chase,KR Mayers,D Madushanka,0,0,,,,,,"",""
ball,1,4.1,Abu Dhabi Knight Riders,KR Mayers,RL Chase,TG Southee,2,0,,,,,,"",""
