version,1.7.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Sydney Sixers
info,gender,female
info,season,2024/25
info,date,2024/11/17
info,event,Women's Big Bash League
info,match_number,31
info,venue,"Drummoyne Oval, Sydney"
info,city,Sydney
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,umpire,Bede Sajowitz
info,umpire,Roberto Howard
info,reserve_umpire,L McGill
info,tv_umpire,ME Claydon
info,match_referee,J Broadbent
info,outcome,no result
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,GL Adams
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,T Peschel
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SL Bates
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,AC Kerr
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,Siow Tzin Yee
info,player,Sydney Sixers,HJ Armitage
info,player,Sydney Sixers,SJ Bryce
info,player,Sydney Sixers,M Carmichael
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,C Bray
info,player,Sydney Sixers,CG Sippel
info,player,Sydney Sixers,L Cheatle
info,registry,people,A Gardner,bc969efb
info,registry,people,A Learoyd,1757bedf
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,C Bray,b54cc792
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,EA Perry,be150fc8
info,registry,people,G Voll,5c30d455
info,registry,people,GL Adams,7b1f2542
info,registry,people,HJ Armitage,f05167d2
info,registry,people,HJ Darlington,50b558d2
info,registry,people,J Broadbent,f3266bb5
info,registry,people,L Cheatle,275dff85
info,registry,people,L McGill,ab999519
info,registry,people,M Brown,78bec461
info,registry,people,M Carmichael,4b546c04
info,registry,people,ME Claydon,15101f12
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,S Ismail,108c4c09
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,SL Bates,0816fb1e
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,T Peschel,923402d8
info,registry,people,T Wilson,32100b2d
ball,1,0.1,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,0,0,,,,,,"",""
ball,1,0.2,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,0,0,,,,,,"",""
ball,1,0.3,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,1,0,,,,,,"",""
ball,1,0.4,Sydney Thunder,AC Jayangani,G Voll,L Cheatle,0,0,,,,,,"",""
ball,1,0.5,Sydney Thunder,AC Jayangani,G Voll,L Cheatle,0,0,,,,,,"",""
ball,1,0.6,Sydney Thunder,AC Jayangani,G Voll,L Cheatle,0,1,1,,,,,"",""
ball,1,0.7,Sydney Thunder,AC Jayangani,G Voll,L Cheatle,1,0,,,,,,"",""
ball,1,1.1,Sydney Thunder,AC Jayangani,G Voll,A Gardner,0,0,,,,,,"",""
ball,1,1.2,Sydney Thunder,AC Jayangani,G Voll,A Gardner,0,0,,,,,,"",""
ball,1,1.3,Sydney Thunder,AC Jayangani,G Voll,A Gardner,0,0,,,,,,"",""
ball,1,1.4,Sydney Thunder,AC Jayangani,G Voll,A Gardner,2,0,,,,,,"",""
ball,1,1.5,Sydney Thunder,AC Jayangani,G Voll,A Gardner,0,0,,,,,,"",""
ball,1,1.6,Sydney Thunder,AC Jayangani,G Voll,A Gardner,0,0,,,,,,"",""
ball,1,2.1,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,0,1,,,,1,,"",""
ball,1,2.2,Sydney Thunder,AC Jayangani,G Voll,L Cheatle,1,0,,,,,,"",""
ball,1,2.3,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,0,0,,,,,,"",""
ball,1,2.4,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,4,0,,,,,,"",""
ball,1,2.5,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,6,0,,,,,,"",""
ball,1,2.6,Sydney Thunder,G Voll,AC Jayangani,L Cheatle,2,0,,,,,,"",""
ball,1,3.1,Sydney Thunder,AC Jayangani,G Voll,EA Perry,0,1,1,,,,,"",""
ball,1,3.2,Sydney Thunder,AC Jayangani,G Voll,EA Perry,0,0,,,,,,"",""
ball,1,3.3,Sydney Thunder,AC Jayangani,G Voll,EA Perry,0,1,1,,,,,"",""
ball,1,3.4,Sydney Thunder,AC Jayangani,G Voll,EA Perry,0,1,1,,,,,"",""
