version,1.7.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Adelaide Strikers
info,gender,female
info,season,2024/25
info,date,2024/11/01
info,event,Women's Big Bash League
info,match_number,8
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Sydney Thunder
info,toss_decision,bat
info,player_of_match,G Voll
info,umpire,ME Claydon
info,umpire,Roberto Howard
info,reserve_umpire,Bede Sajowitz
info,tv_umpire,Sharad Patel
info,match_referee,J Stainer
info,winner,Sydney Thunder
info,winner_runs,64
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,SJ Johnson
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SD Bates
info,player,Sydney Thunder,S Eve
info,player,Adelaide Strikers,KM Mack
info,player,Adelaide Strikers,L Wolvaardt
info,player,Adelaide Strikers,E Johnston
info,player,Adelaide Strikers,TM McGrath
info,player,Adelaide Strikers,M Penna
info,player,Adelaide Strikers,O Prendergast
info,player,Adelaide Strikers,A Wellington
info,player,Adelaide Strikers,JL Barsby
info,player,Adelaide Strikers,ML Schutt
info,player,Adelaide Strikers,D Brown
info,player,Adelaide Strikers,AC Mushangwe
info,registry,people,A Learoyd,1757bedf
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Mushangwe,db873292
info,registry,people,Bede Sajowitz,14fb95ae
info,registry,people,D Brown,2e81be88
info,registry,people,E Johnston,3785e30d
info,registry,people,G Voll,5c30d455
info,registry,people,HC Knight,4ba0289e
info,registry,people,HJ Darlington,50b558d2
info,registry,people,J Stainer,fcd293d7
info,registry,people,JL Barsby,47bcaf7a
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Penna,36453b99
info,registry,people,ME Claydon,15101f12
info,registry,people,ML Schutt,17608a6f
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,S Eve,6de2c9c0
info,registry,people,S Ismail,108c4c09
info,registry,people,SD Bates,f5e8e3d2
info,registry,people,SJ Johnson,d7b754d4
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,T Wilson,32100b2d
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Sydney Thunder,AC Jayangani,G Voll,ML Schutt,1,0,,,,,,"",""
ball,1,0.2,Sydney Thunder,G Voll,AC Jayangani,ML Schutt,0,0,,,,,,"",""
ball,1,0.3,Sydney Thunder,G Voll,AC Jayangani,ML Schutt,4,0,,,,,,"",""
ball,1,0.4,Sydney Thunder,G Voll,AC Jayangani,ML Schutt,1,0,,,,,,"",""
ball,1,0.5,Sydney Thunder,AC Jayangani,G Voll,ML Schutt,0,0,,,,,,"",""
ball,1,0.6,Sydney Thunder,AC Jayangani,G Voll,ML Schutt,1,0,,,,,,"",""
ball,1,1.1,Sydney Thunder,AC Jayangani,G Voll,D Brown,1,0,,,,,,"",""
ball,1,1.2,Sydney Thunder,G Voll,AC Jayangani,D Brown,0,1,1,,,,,"",""
ball,1,1.3,Sydney Thunder,G Voll,AC Jayangani,D Brown,0,0,,,,,,"",""
ball,1,1.4,Sydney Thunder,G Voll,AC Jayangani,D Brown,0,1,1,,,,,"",""
ball,1,1.5,Sydney Thunder,G Voll,AC Jayangani,D Brown,2,1,,1,,,,"",""
ball,1,1.6,Sydney Thunder,G Voll,AC Jayangani,D Brown,4,0,,,,,,"",""
ball,1,1.7,Sydney Thunder,G Voll,AC Jayangani,D Brown,4,0,,,,,,"",""
ball,1,1.8,Sydney Thunder,G Voll,AC Jayangani,D Brown,4,0,,,,,,"",""
ball,1,1.9,Sydney Thunder,G Voll,AC Jayangani,D Brown,1,0,,,,,,"",""
ball,1,2.1,Sydney Thunder,G Voll,AC Jayangani,ML Schutt,0,0,,,,,,"",""
ball,1,2.2,Sydney Thunder,G Voll,AC Jayangani,ML Schutt,6,0,,,,,,"",""
ball,1,2.3,Sydney Thunder,G Voll,AC Jayangani,ML Schutt,1,0,,,,,,"",""
ball,1,2.4,Sydney Thunder,AC Jayangani,G Voll,ML Schutt,0,0,,,,,,"",""
ball,1,2.5,Sydney Thunder,AC Jayangani,G Voll,ML Schutt,1,0,,,,,,"",""
ball,1,2.6,Sydney Thunder,G Voll,AC Jayangani,ML Schutt,1,0,,,,,,"",""
ball,1,3.1,Sydney Thunder,G Voll,AC Jayangani,JL Barsby,0,0,,,,,,"",""
ball,1,3.2,Sydney Thunder,G Voll,AC Jayangani,JL Barsby,1,0,,,,,,"",""
ball,1,3.3,Sydney Thunder,AC Jayangani,G Voll,JL Barsby,6,0,,,,,,"",""
ball,1,3.4,Sydney Thunder,AC Jayangani,G Voll,JL Barsby,0,0,,,,,,"",""
ball,1,3.5,Sydney Thunder,AC Jayangani,G Voll,JL Barsby,0,0,,,,,,"",""
ball,1,3.6,Sydney Thunder,AC Jayangani,G Voll,JL Barsby,0,0,,,,,,"",""
