version,1.7.0
info,balls_per_over,6
info,team,Gloucestershire
info,team,Hampshire
info,gender,male
info,season,2025
info,date,2025/06/06
info,event,Vitality Blast Men
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Gloucestershire
info,toss_decision,bat
info,umpire,AC Harris
info,umpire,PK Baldwin
info,match_referee,SJ Davis
info,winner,Hampshire
info,winner_wickets,7
info,player,Gloucestershire,Miles Hammond
info,player,Gloucestershire,CT Bancroft
info,player,Gloucestershire,DJM Short
info,player,Gloucestershire,OJ Price
info,player,Gloucestershire,JMR Taylor
info,player,Gloucestershire,BG Charlesworth
info,player,Gloucestershire,James Bracey
info,player,Gloucestershire,MD Taylor
info,player,Gloucestershire,DA Payne
info,player,Gloucestershire,AS Dale
info,player,Gloucestershire,TMJ Smith
info,player,Hampshire,TE Albert
info,player,Hampshire,JM Vince
info,player,Hampshire,TJ Prest
info,player,Hampshire,JJ Weatherley
info,player,Hampshire,D Brevis
info,player,Hampshire,BAC Howell
info,player,Hampshire,JK Fuller
info,player,Hampshire,BC Fortuin
info,player,Hampshire,SW Currie
info,player,Hampshire,CP Wood
info,player,Hampshire,JA Turner
info,registry,people,AC Harris,ef14c0ec
info,registry,people,AS Dale,27e60d6e
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BG Charlesworth,ffdba4e2
info,registry,people,CP Wood,1cfac535
info,registry,people,CT Bancroft,399b0b94
info,registry,people,D Brevis,844e79d1
info,registry,people,DA Payne,6c79c098
info,registry,people,DJM Short,1a156c88
info,registry,people,JA Turner,cdd875d9
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,JK Fuller,dda5aae5
info,registry,people,JM Vince,a15618fe
info,registry,people,JMR Taylor,aed5be04
info,registry,people,James Bracey,5bfdc77a
info,registry,people,MD Taylor,01a95383
info,registry,people,Miles Hammond,c88bc84a
info,registry,people,OJ Price,dfc3f02d
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SW Currie,c5f40e35
info,registry,people,TE Albert,a6c17509
info,registry,people,TJ Prest,0207ff32
info,registry,people,TMJ Smith,0a12e736
ball,1,0.1,Gloucestershire,Miles Hammond,CT Bancroft,CP Wood,0,0,,,,,,"",""
ball,1,0.2,Gloucestershire,Miles Hammond,CT Bancroft,CP Wood,0,0,,,,,,"",""
ball,1,0.3,Gloucestershire,Miles Hammond,CT Bancroft,CP Wood,1,0,,,,,,"",""
ball,1,0.4,Gloucestershire,CT Bancroft,Miles Hammond,CP Wood,1,0,,,,,,"",""
ball,1,0.5,Gloucestershire,Miles Hammond,CT Bancroft,CP Wood,0,0,,,,,,"",""
ball,1,0.6,Gloucestershire,Miles Hammond,CT Bancroft,CP Wood,0,0,,,,,,"",""
ball,1,1.1,Gloucestershire,CT Bancroft,Miles Hammond,JK Fuller,0,1,1,,,,,"",""
ball,1,1.2,Gloucestershire,CT Bancroft,Miles Hammond,JK Fuller,0,0,,,,,,"",""
ball,1,1.3,Gloucestershire,CT Bancroft,Miles Hammond,JK Fuller,0,0,,,,,,"",""
ball,1,1.4,Gloucestershire,CT Bancroft,Miles Hammond,JK Fuller,1,0,,,,,,"",""
ball,1,1.5,Gloucestershire,Miles Hammond,CT Bancroft,JK Fuller,0,0,,,,,,"",""
ball,1,1.6,Gloucestershire,Miles Hammond,CT Bancroft,JK Fuller,4,0,,,,,,"",""
ball,1,1.7,Gloucestershire,Miles Hammond,CT Bancroft,JK Fuller,1,0,,,,,,"",""
ball,1,2.1,Gloucestershire,Miles Hammond,CT Bancroft,JA Turner,1,0,,,,,,"",""
ball,1,2.2,Gloucestershire,CT Bancroft,Miles Hammond,JA Turner,0,0,,,,,,"",""
ball,1,2.3,Gloucestershire,CT Bancroft,Miles Hammond,JA Turner,1,0,,,,,,"",""
ball,1,2.4,Gloucestershire,Miles Hammond,CT Bancroft,JA Turner,4,0,,,,,,"",""
ball,1,2.5,Gloucestershire,Miles Hammond,CT Bancroft,JA Turner,0,0,,,,,,caught,Miles Hammond
ball,1,2.6,Gloucestershire,DJM Short,CT Bancroft,JA Turner,0,0,,,,,,"",""
ball,1,3.1,Gloucestershire,CT Bancroft,DJM Short,CP Wood,0,0,,,,,,"",""
ball,1,3.2,Gloucestershire,CT Bancroft,DJM Short,CP Wood,0,0,,,,,,"",""
