version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Eastern Cape
info,team,Joburg Super Kings
info,gender,male
info,season,2022/23
info,date,2023/02/09
info,event,SA20
info,venue,"SuperSport Park, Centurion"
info,city,Centurion
info,toss_winner,Joburg Super Kings
info,toss_decision,field
info,player_of_match,AK Markram
info,umpire,BP Jele
info,umpire,M Erasmus
info,reserve_umpire,AT Holdstock
info,tv_umpire,A Paleker
info,match_referee,SB Lambson
info,winner,Sunrisers Eastern Cape
info,winner_runs,14
info,player,Sunrisers Eastern Cape,AM Rossington
info,player,Sunrisers Eastern Cape,T Bavuma
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,AK Markram
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,JM Cox
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,RE van der Merwe
info,player,Sunrisers Eastern Cape,BA Carse
info,player,Sunrisers Eastern Cape,SSB Magala
info,player,Sunrisers Eastern Cape,OEG Baartman
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,G Coetzee
info,player,Joburg Super Kings,JL du Plooy
info,player,Joburg Super Kings,RR Hendricks
info,player,Joburg Super Kings,MS Wade
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,R Shepherd
info,player,Joburg Super Kings,BS Makhanya
info,player,Joburg Super Kings,N Burger
info,player,Joburg Super Kings,LB Williams
info,player,Joburg Super Kings,M Theekshana
info,registry,people,A Paleker,634b11ac
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BA Carse,cad40f5e
info,registry,people,BP Jele,7bb1331e
info,registry,people,BS Makhanya,1b42a100
info,registry,people,D Ferreira,f0af99a7
info,registry,people,F du Plessis,3355b542
info,registry,people,G Coetzee,3204c99f
info,registry,people,J Hermann,e87aeca2
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Cox,ff154ecd
info,registry,people,LB Williams,a1d95bd8
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Jansen,81c36ee9
info,registry,people,M Theekshana,f24c6701
info,registry,people,MS Wade,afa7e784
info,registry,people,N Burger,465aa633
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,R Shepherd,c5aef772
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,SB Lambson,4146063f
info,registry,people,SSB Magala,8361e524
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,T Stubbs,85b3fab2
ball,1,0.1,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,0,0,,,,,,"",""
ball,1,0.2,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,0,0,,,,,,"",""
ball,1,0.3,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,0,0,,,,,,"",""
ball,1,0.4,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,0,1,1,,,,,"",""
ball,1,0.5,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,0,1,1,,,,,"",""
ball,1,0.6,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,2,0,,,,,,"",""
ball,1,0.7,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,4,0,,,,,,"",""
ball,1,0.8,Sunrisers Eastern Cape,AM Rossington,T Bavuma,N Burger,0,0,,,,,,"",""
ball,1,1.1,Sunrisers Eastern Cape,T Bavuma,AM Rossington,LB Williams,0,0,,,,,,caught,T Bavuma
ball,1,1.2,Sunrisers Eastern Cape,J Hermann,AM Rossington,LB Williams,1,0,,,,,,"",""
ball,1,1.3,Sunrisers Eastern Cape,AM Rossington,J Hermann,LB Williams,0,0,,,,,,"",""
ball,1,1.4,Sunrisers Eastern Cape,AM Rossington,J Hermann,LB Williams,0,1,1,,,,,"",""
ball,1,1.5,Sunrisers Eastern Cape,AM Rossington,J Hermann,LB Williams,0,0,,,,,,caught,AM Rossington
ball,1,1.6,Sunrisers Eastern Cape,AK Markram,J Hermann,LB Williams,0,1,,1,,,,"",""
ball,1,1.7,Sunrisers Eastern Cape,AK Markram,J Hermann,LB Williams,0,0,,,,,,"",""
ball,1,1.8,Sunrisers Eastern Cape,AK Markram,J Hermann,LB Williams,4,0,,,,,,"",""
ball,1,2.1,Sunrisers Eastern Cape,J Hermann,AK Markram,N Burger,0,0,,,,,,"",""
ball,1,2.2,Sunrisers Eastern Cape,J Hermann,AK Markram,N Burger,1,0,,,,,,"",""
ball,1,2.3,Sunrisers Eastern Cape,AK Markram,J Hermann,N Burger,4,0,,,,,,"",""
ball,1,2.4,Sunrisers Eastern Cape,AK Markram,J Hermann,N Burger,2,0,,,,,,"",""
ball,1,2.5,Sunrisers Eastern Cape,AK Markram,J Hermann,N Burger,4,0,,,,,,"",""
ball,1,2.6,Sunrisers Eastern Cape,AK Markram,J Hermann,N Burger,0,0,,,,,,"",""
ball,1,3.1,Sunrisers Eastern Cape,J Hermann,AK Markram,LB Williams,0,0,,,,,,"",""
