version,1.7.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Sydney Sixers
info,gender,male
info,season,2023/24
info,date,2023/12/11
info,event,Big Bash League
info,match_number,5
info,venue,"University of Tasmania Stadium, Launceston"
info,city,Launceston
info,toss_winner,Hobart Hurricanes
info,toss_decision,bat
info,player_of_match,DP Hughes
info,umpire,GJ Davidson
info,umpire,NR Johnstone
info,reserve_umpire,M Qureshi
info,tv_umpire,SAJ Craig
info,match_referee,RL Parry
info,winner,Sydney Sixers
info,winner_wickets,6
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,CP Jewell
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,SR Hain
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,CJ Anderson
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,PG Dooley
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,P Hatzoglou
info,player,Hobart Hurricanes,RP Meredith
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,JM Vince
info,player,Sydney Sixers,DP Hughes
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,TK Curran
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,JM Bird
info,player,Sydney Sixers,T Murphy
info,player,Sydney Sixers,SNJ O'Keefe
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,BR McDermott,c41043e6
info,registry,people,CJ Anderson,8abdf100
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CP Jewell,806c4e58
info,registry,people,DP Hughes,f3982af9
info,registry,people,GJ Davidson,31ad5973
info,registry,people,J Edwards,f787e0eb
info,registry,people,JC Silk,7a6dc294
info,registry,people,JM Bird,bc773eeb
info,registry,people,JM Vince,a15618fe
info,registry,people,JR Philippe,39086549
info,registry,people,M Qureshi,cf34fbef
info,registry,people,MC Henriques,32198ae0
info,registry,people,MS Wade,afa7e784
info,registry,people,NR Johnstone,ce274b6a
info,registry,people,NT Ellis,9eb1455b
info,registry,people,P Hatzoglou,6f95e5fa
info,registry,people,PG Dooley,5e3054d0
info,registry,people,RL Parry,86d151dc
info,registry,people,RP Meredith,64775749
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SNJ O'Keefe,3540beff
info,registry,people,SR Hain,67b9536c
info,registry,people,T Murphy,ac2e7ec0
info,registry,people,TH David,f1f99156
info,registry,people,TK Curran,e86754b2
ball,1,0.1,Hobart Hurricanes,MS Wade,CP Jewell,JM Bird,4,0,,,,,,"",""
ball,1,0.2,Hobart Hurricanes,MS Wade,CP Jewell,JM Bird,0,0,,,,,,"",""
ball,1,0.3,Hobart Hurricanes,MS Wade,CP Jewell,JM Bird,1,0,,,,,,"",""
ball,1,0.4,Hobart Hurricanes,CP Jewell,MS Wade,JM Bird,6,0,,,,,,"",""
ball,1,0.5,Hobart Hurricanes,CP Jewell,MS Wade,JM Bird,0,0,,,,,,"",""
ball,1,0.6,Hobart Hurricanes,CP Jewell,MS Wade,JM Bird,4,0,,,,,,"",""
ball,1,1.1,Hobart Hurricanes,MS Wade,CP Jewell,T Murphy,1,0,,,,,,"",""
ball,1,1.2,Hobart Hurricanes,CP Jewell,MS Wade,T Murphy,0,0,,,,,,"",""
ball,1,1.3,Hobart Hurricanes,CP Jewell,MS Wade,T Murphy,4,0,,,,,,"",""
ball,1,1.4,Hobart Hurricanes,CP Jewell,MS Wade,T Murphy,4,0,,,,,,"",""
ball,1,1.5,Hobart Hurricanes,CP Jewell,MS Wade,T Murphy,4,0,,,,,,"",""
ball,1,1.6,Hobart Hurricanes,CP Jewell,MS Wade,T Murphy,0,0,,,,,,"",""
ball,1,2.1,Hobart Hurricanes,MS Wade,CP Jewell,J Edwards,4,0,,,,,,"",""
ball,1,2.2,Hobart Hurricanes,MS Wade,CP Jewell,J Edwards,1,0,,,,,,"",""
ball,1,2.3,Hobart Hurricanes,CP Jewell,MS Wade,J Edwards,1,0,,,,,,"",""
ball,1,2.4,Hobart Hurricanes,MS Wade,CP Jewell,J Edwards,0,0,,,,,,caught,MS Wade
ball,1,2.5,Hobart Hurricanes,BR McDermott,CP Jewell,J Edwards,2,0,,,,,,"",""
ball,1,2.6,Hobart Hurricanes,BR McDermott,CP Jewell,J Edwards,0,0,,,,,,"",""
ball,1,3.1,Hobart Hurricanes,CP Jewell,BR McDermott,JM Bird,3,0,,,,,,"",""
ball,1,3.2,Hobart Hurricanes,BR McDermott,CP Jewell,JM Bird,1,0,,,,,,"",""
ball,1,3.3,Hobart Hurricanes,CP Jewell,BR McDermott,JM Bird,0,0,,,,,,"",""
ball,1,3.4,Hobart Hurricanes,CP Jewell,BR McDermott,JM Bird,0,0,,,,,,"",""
ball,1,3.5,Hobart Hurricanes,CP Jewell,BR McDermott,JM Bird,4,0,,,,,,"",""
ball,1,3.6,Hobart Hurricanes,CP Jewell,BR McDermott,JM Bird,1,0,,,,,,"",""
