version,1.7.0
info,balls_per_over,6
info,team,Moors Sports Club
info,team,Tamil Union Cricket and Athletic Club
info,gender,male
info,season,2024/25
info,date,2025/01/03
info,date,2025/01/04
info,date,2025/01/05
info,event,Major League Tournament
info,venue,"P Sara Oval, Colombo"
info,city,Colombo
info,toss_winner,Tamil Union Cricket and Athletic Club
info,toss_decision,field
info,umpire,JWHD Boteju
info,umpire,LE Hannibal
info,match_referee,GLS de Silva
info,outcome,draw
info,player,Moors Sports Club,J Perera
info,player,Moors Sports Club,S de Livera
info,player,Moors Sports Club,L Abeyratne
info,player,Moors Sports Club,S Samarawickrama
info,player,Moors Sports Club,DPS Sooriyabandara
info,player,Moors Sports Club,S Gimhan
info,player,Moors Sports Club,RTM Mendis
info,player,Moors Sports Club,RMMP Rathnayake
info,player,Moors Sports Club,SA Fernando
info,player,Moors Sports Club,HKT Udeshana
info,player,Moors Sports Club,HRC Dilshan
info,player,Tamil Union Cricket and Athletic Club,ND Paranavithana
info,player,Tamil Union Cricket and Athletic Club,WT Dilshan
info,player,Tamil Union Cricket and Athletic Club,M de Silva
info,player,Tamil Union Cricket and Athletic Club,Mohamed Shamaz
info,player,Tamil Union Cricket and Athletic Club,D Manchanayake
info,player,Tamil Union Cricket and Athletic Club,S Hapuhinna
info,player,Tamil Union Cricket and Athletic Club,S Jayathilake
info,player,Tamil Union Cricket and Athletic Club,DTM Fernando
info,player,Tamil Union Cricket and Athletic Club,KTH Ratnayake
info,player,Tamil Union Cricket and Athletic Club,KDA Manoj
info,player,Tamil Union Cricket and Athletic Club,T Vithushan
info,registry,people,D Manchanayake,b8ef67a0
info,registry,people,DPS Sooriyabandara,cc17536f
info,registry,people,DTM Fernando,7d112257
info,registry,people,GLS de Silva,9eda8cca
info,registry,people,HKT Udeshana,b4889110
info,registry,people,HRC Dilshan,af6ff1f5
info,registry,people,J Perera,0e0d4577
info,registry,people,JWHD Boteju,7934d6fb
info,registry,people,KDA Manoj,361c920a
info,registry,people,KTH Ratnayake,4eb02f2e
info,registry,people,L Abeyratne,4ff4e5a1
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,M de Silva,3bec338f
info,registry,people,Mohamed Shamaz,93b6157d
info,registry,people,ND Paranavithana,4e602f29
info,registry,people,RMMP Rathnayake,afe830a2
info,registry,people,RTM Mendis,1be67d37
info,registry,people,S Gimhan,81acb5f5
info,registry,people,S Hapuhinna,60a9ffb4
info,registry,people,S Jayathilake,6ba6ca1f
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,S de Livera,77708937
info,registry,people,SA Fernando,49fb57d4
info,registry,people,T Vithushan,748f1901
info,registry,people,WT Dilshan,796c1afb
ball,1,0.1,Moors Sports Club,J Perera,S de Livera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,0.2,Moors Sports Club,J Perera,S de Livera,KTH Ratnayake,1,0,,,,,,"",""
ball,1,0.3,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,0.4,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,0.5,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,1,0,,,,,,"",""
ball,1,0.6,Moors Sports Club,J Perera,S de Livera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,1.1,Moors Sports Club,S de Livera,J Perera,M de Silva,0,0,,,,,,"",""
ball,1,1.2,Moors Sports Club,S de Livera,J Perera,M de Silva,0,0,,,,,,"",""
ball,1,1.3,Moors Sports Club,S de Livera,J Perera,M de Silva,1,0,,,,,,"",""
ball,1,1.4,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,1.5,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,1.6,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,2.1,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,2.2,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,4,0,,,,,,"",""
ball,1,2.3,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,2.4,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,4,0,,,,,,"",""
ball,1,2.5,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,2.6,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,3.1,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,3.2,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,3.3,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,3.4,Moors Sports Club,J Perera,S de Livera,M de Silva,1,0,,,,,,"",""
ball,1,3.5,Moors Sports Club,S de Livera,J Perera,M de Silva,2,0,,,,,,"",""
ball,1,3.6,Moors Sports Club,S de Livera,J Perera,M de Silva,1,0,,,,,,"",""
ball,1,4.1,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,4.2,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,4.3,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,4,0,,,,,,"",""
ball,1,4.4,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,4.5,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,4.6,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,5.1,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,5.2,Moors Sports Club,J Perera,S de Livera,M de Silva,1,0,,,,,,"",""
ball,1,5.3,Moors Sports Club,S de Livera,J Perera,M de Silva,0,0,,,,,,"",""
ball,1,5.4,Moors Sports Club,S de Livera,J Perera,M de Silva,1,0,,,,,,"",""
ball,1,5.5,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,5.6,Moors Sports Club,J Perera,S de Livera,M de Silva,0,0,,,,,,"",""
ball,1,6.1,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,6.2,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,4,0,,,,,,"",""
ball,1,6.3,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,6.4,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,6.5,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,6.6,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,7.1,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,7.2,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,7.3,Moors Sports Club,J Perera,S de Livera,KDA Manoj,4,0,,,,,,"",""
ball,1,7.4,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,7.5,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,7.6,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,8.1,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,8.2,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,8.3,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,8.4,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,8.5,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,8.6,Moors Sports Club,S de Livera,J Perera,KTH Ratnayake,0,0,,,,,,"",""
ball,1,9.1,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,9.2,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,9.3,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,9.4,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,9.5,Moors Sports Club,J Perera,S de Livera,KDA Manoj,0,0,,,,,,"",""
ball,1,9.6,Moors Sports Club,J Perera,S de Livera,KDA Manoj,1,0,,,,,,"",""
