version,1.7.0
info,balls_per_over,6
info,team,Northamptonshire
info,team,Somerset
info,gender,male
info,season,2024
info,date,2024/08/07
info,event,One-Day Cup
info,venue,"County Ground, Northampton"
info,city,Northampton
info,toss_winner,Northamptonshire
info,toss_decision,bat
info,umpire,NL Bainton
info,umpire,Rob White
info,match_referee,PM Such
info,winner,Somerset
info,winner_wickets,7
info,method,D/L
info,player,Northamptonshire,PP Shaw
info,player,Northamptonshire,R Vasconcelos
info,player,Northamptonshire,GA Bartlett
info,player,Northamptonshire,JJG Sales
info,player,Northamptonshire,SA Zaib
info,player,Northamptonshire,LD McManus
info,player,Northamptonshire,AH Miller
info,player,Northamptonshire,J Broad
info,player,Northamptonshire,MG Finan
info,player,Northamptonshire,BW Sanderson
info,player,Northamptonshire,FJ Heldreich
info,player,Somerset,GW Thomas
info,player,Somerset,ARI Umeed
info,player,Somerset,LP Goldsworthy
info,player,Somerset,JEK Rew
info,player,Somerset,SR Dickson
info,player,Somerset,AM Vaughan
info,player,Somerset,JF Thomas
info,player,Somerset,JH Davey
info,player,Somerset,MJ Leach
info,player,Somerset,ARJ Ogborne
info,player,Somerset,RP Meredith
info,registry,people,AH Miller,693af62a
info,registry,people,AM Vaughan,33a6488e
info,registry,people,ARI Umeed,7a32c1c1
info,registry,people,ARJ Ogborne,88211932
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,FJ Heldreich,56ef4f99
info,registry,people,GA Bartlett,e2caec46
info,registry,people,GW Thomas,f2e28b0c
info,registry,people,J Broad,ec5160d7
info,registry,people,JEK Rew,521595e7
info,registry,people,JF Thomas,bdd4bc21
info,registry,people,JH Davey,d3868bd0
info,registry,people,JJG Sales,a63dfe8a
info,registry,people,LD McManus,6feb46a4
info,registry,people,LP Goldsworthy,ed47cb25
info,registry,people,MG Finan,8c9d3000
info,registry,people,MJ Leach,3987e390
info,registry,people,NL Bainton,cd219cb3
info,registry,people,PM Such,c9f1892c
info,registry,people,PP Shaw,8b3e9c7c
info,registry,people,R Vasconcelos,efe3fcc5
info,registry,people,RP Meredith,64775749
info,registry,people,Rob White,59b91222
info,registry,people,SA Zaib,ab01e323
info,registry,people,SR Dickson,2344bdd1
ball,1,0.1,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,0,0,,,,,,"",""
ball,1,0.2,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,4,0,,,,,,"",""
ball,1,0.3,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,0,0,,,,,,"",""
ball,1,0.4,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,0,0,,,,,,"",""
ball,1,0.5,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,4,0,,,,,,"",""
ball,1,0.6,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,0,0,,,,,,"",""
ball,1,1.1,Northamptonshire,R Vasconcelos,PP Shaw,ARJ Ogborne,0,1,1,,,,,"",""
ball,1,1.2,Northamptonshire,R Vasconcelos,PP Shaw,ARJ Ogborne,0,0,,,,,,"",""
ball,1,1.3,Northamptonshire,R Vasconcelos,PP Shaw,ARJ Ogborne,0,0,,,,,,"",""
ball,1,1.4,Northamptonshire,R Vasconcelos,PP Shaw,ARJ Ogborne,0,0,,,,,,"",""
ball,1,1.5,Northamptonshire,R Vasconcelos,PP Shaw,ARJ Ogborne,0,0,,,,,,"",""
ball,1,1.6,Northamptonshire,R Vasconcelos,PP Shaw,ARJ Ogborne,0,0,,,,,,"",""
ball,1,1.7,Northamptonshire,R Vasconcelos,PP Shaw,ARJ Ogborne,0,0,,,,,,"",""
ball,1,2.1,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,0,0,,,,,,"",""
ball,1,2.2,Northamptonshire,PP Shaw,R Vasconcelos,JH Davey,1,0,,,,,,"",""
ball,1,2.3,Northamptonshire,R Vasconcelos,PP Shaw,JH Davey,0,0,,,,,,"",""
ball,1,2.4,Northamptonshire,R Vasconcelos,PP Shaw,JH Davey,0,0,,,,,,"",""
ball,1,2.5,Northamptonshire,R Vasconcelos,PP Shaw,JH Davey,0,0,,,,,,"",""
ball,1,2.6,Northamptonshire,R Vasconcelos,PP Shaw,JH Davey,0,0,,,,,,"",""
ball,1,3.1,Northamptonshire,PP Shaw,R Vasconcelos,ARJ Ogborne,0,0,,,,,,caught,PP Shaw
ball,1,3.2,Northamptonshire,GA Bartlett,R Vasconcelos,ARJ Ogborne,4,0,,,,,,"",""
