version,1.7.0
info,balls_per_over,6
info,team,Yorkshire
info,team,Nottinghamshire
info,gender,male
info,season,2025
info,date,2025/06/11
info,event,Vitality Blast Men
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Yorkshire
info,toss_decision,bat
info,umpire,Naeem Ashraf
info,umpire,SJ O'Shaughnessy
info,match_referee,DA Cosker
info,winner,Yorkshire
info,winner_runs,9
info,player,Yorkshire,A Lyth
info,player,Yorkshire,DJ Malan
info,player,Yorkshire,W Luxton
info,player,Yorkshire,JH Wharton
info,player,Yorkshire,HG Duke
info,player,Yorkshire,W Sutherland
info,player,Yorkshire,ML Revis
info,player,Yorkshire,DM Bess
info,player,Yorkshire,JA Chohan
info,player,Yorkshire,W O'Rourke
info,player,Yorkshire,CJ White
info,player,Nottinghamshire,JM Clarke
info,player,Nottinghamshire,LW James
info,player,Nottinghamshire,JA Haynes
info,player,Nottinghamshire,FW McCann
info,player,Nottinghamshire,TJ Moores
info,player,Nottinghamshire,M Montgomery
info,player,Nottinghamshire,DR Sams
info,player,Nottinghamshire,LA Patterson-White
info,player,Nottinghamshire,CG Harrison
info,player,Nottinghamshire,C McKerr
info,player,Nottinghamshire,DY Pennington
info,registry,people,A Lyth,70b8fd28
info,registry,people,C McKerr,5ccdb14f
info,registry,people,CG Harrison,f655d740
info,registry,people,CJ White,5a74e559
info,registry,people,DA Cosker,aac9f784
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DM Bess,ad46c747
info,registry,people,DR Sams,caf69bf7
info,registry,people,DY Pennington,219cc59e
info,registry,people,FW McCann,353de846
info,registry,people,HG Duke,443b47a6
info,registry,people,JA Chohan,58be5e46
info,registry,people,JA Haynes,fe4ebca0
info,registry,people,JH Wharton,42a5c1c7
info,registry,people,JM Clarke,2eca67f5
info,registry,people,LA Patterson-White,d48c0f40
info,registry,people,LW James,2baad3bd
info,registry,people,M Montgomery,7671203a
info,registry,people,ML Revis,28217d89
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,TJ Moores,85dcb721
info,registry,people,W Luxton,c15fb753
info,registry,people,W O'Rourke,cb9b8664
info,registry,people,W Sutherland,bc2d4f2e
ball,1,0.1,Yorkshire,A Lyth,DJ Malan,M Montgomery,0,0,,,,,,"",""
ball,1,0.2,Yorkshire,A Lyth,DJ Malan,M Montgomery,1,0,,,,,,"",""
ball,1,0.3,Yorkshire,DJ Malan,A Lyth,M Montgomery,0,0,,,,,,"",""
ball,1,0.4,Yorkshire,DJ Malan,A Lyth,M Montgomery,1,0,,,,,,"",""
ball,1,0.5,Yorkshire,A Lyth,DJ Malan,M Montgomery,6,0,,,,,,"",""
ball,1,0.6,Yorkshire,A Lyth,DJ Malan,M Montgomery,0,0,,,,,,"",""
ball,1,1.1,Yorkshire,DJ Malan,A Lyth,DR Sams,0,0,,,,,,"",""
ball,1,1.2,Yorkshire,DJ Malan,A Lyth,DR Sams,4,0,,,,,,"",""
ball,1,1.3,Yorkshire,DJ Malan,A Lyth,DR Sams,1,0,,,,,,"",""
ball,1,1.4,Yorkshire,A Lyth,DJ Malan,DR Sams,0,0,,,,,,"",""
ball,1,1.5,Yorkshire,A Lyth,DJ Malan,DR Sams,4,0,,,,,,"",""
ball,1,1.6,Yorkshire,A Lyth,DJ Malan,DR Sams,6,0,,,,,,"",""
ball,1,2.1,Yorkshire,DJ Malan,A Lyth,DY Pennington,1,0,,,,,,"",""
ball,1,2.2,Yorkshire,A Lyth,DJ Malan,DY Pennington,1,0,,,,,,"",""
ball,1,2.3,Yorkshire,DJ Malan,A Lyth,DY Pennington,0,4,,,,4,,"",""
ball,1,2.4,Yorkshire,DJ Malan,A Lyth,DY Pennington,6,0,,,,,,"",""
ball,1,2.5,Yorkshire,DJ Malan,A Lyth,DY Pennington,0,0,,,,,,"",""
ball,1,2.6,Yorkshire,DJ Malan,A Lyth,DY Pennington,1,0,,,,,,"",""
ball,1,3.1,Yorkshire,DJ Malan,A Lyth,C McKerr,4,0,,,,,,"",""
ball,1,3.2,Yorkshire,DJ Malan,A Lyth,C McKerr,4,0,,,,,,"",""
ball,1,3.3,Yorkshire,DJ Malan,A Lyth,C McKerr,4,0,,,,,,"",""
ball,1,3.4,Yorkshire,DJ Malan,A Lyth,C McKerr,4,0,,,,,,"",""
ball,1,3.5,Yorkshire,DJ Malan,A Lyth,C McKerr,6,0,,,,,,"",""
