version,1.7.0
info,balls_per_over,6
info,team,Birmingham Bears
info,team,Yorkshire
info,gender,male
info,season,2023
info,date,2023/05/20
info,event,Vitality Blast
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Yorkshire
info,toss_decision,field
info,player_of_match,SR Hain
info,umpire,GD Lloyd
info,umpire,M Burns
info,tv_umpire,PK Baldwin
info,match_referee,Wayne Noon
info,winner,Birmingham Bears
info,winner_runs,34
info,player,Birmingham Bears,PR Stirling
info,player,Birmingham Bears,RM Yates
info,player,Birmingham Bears,AL Davies
info,player,Birmingham Bears,SR Hain
info,player,Birmingham Bears,DR Mousley
info,player,Birmingham Bears,CG Benjamin
info,player,Birmingham Bears,CR Woakes
info,player,Birmingham Bears,HJH Brookes
info,player,Birmingham Bears,DR Briggs
info,player,Birmingham Bears,JB Lintott
info,player,Birmingham Bears,CN Miles
info,player,Yorkshire,A Lyth
info,player,Yorkshire,DJ Malan
info,player,Yorkshire,JM Bairstow
info,player,Yorkshire,Shan Masood
info,player,Yorkshire,WAR Fraine
info,player,Yorkshire,ML Revis
info,player,Yorkshire,BWM Mike
info,player,Yorkshire,JA Thompson
info,player,Yorkshire,DM Bess
info,player,Yorkshire,JA Chohan
info,player,Yorkshire,DJ Leech
info,registry,people,A Lyth,70b8fd28
info,registry,people,AL Davies,29ede60b
info,registry,people,BWM Mike,ed12fcd7
info,registry,people,CG Benjamin,95a15317
info,registry,people,CN Miles,5fed6272
info,registry,people,CR Woakes,4c5d73db
info,registry,people,DJ Leech,2413a688
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DM Bess,ad46c747
info,registry,people,DR Briggs,f3abd0c9
info,registry,people,DR Mousley,876dbe2d
info,registry,people,GD Lloyd,36e0770d
info,registry,people,HJH Brookes,2085e1fa
info,registry,people,JA Chohan,58be5e46
info,registry,people,JA Thompson,1d2f290a
info,registry,people,JB Lintott,e5218454
info,registry,people,JM Bairstow,abb83e27
info,registry,people,M Burns,b3bd0666
info,registry,people,ML Revis,28217d89
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,PR Stirling,cf494ffe
info,registry,people,RM Yates,3581a798
info,registry,people,SR Hain,67b9536c
info,registry,people,Shan Masood,6843a783
info,registry,people,WAR Fraine,e3bc992b
info,registry,people,Wayne Noon,736e1761
ball,1,0.1,Birmingham Bears,PR Stirling,RM Yates,DJ Leech,2,0,,,,,,"",""
ball,1,0.2,Birmingham Bears,PR Stirling,RM Yates,DJ Leech,0,0,,,,,,"",""
ball,1,0.3,Birmingham Bears,PR Stirling,RM Yates,DJ Leech,1,0,,,,,,"",""
ball,1,0.4,Birmingham Bears,RM Yates,PR Stirling,DJ Leech,1,0,,,,,,"",""
ball,1,0.5,Birmingham Bears,PR Stirling,RM Yates,DJ Leech,1,0,,,,,,"",""
ball,1,0.6,Birmingham Bears,RM Yates,PR Stirling,DJ Leech,4,0,,,,,,"",""
ball,1,1.1,Birmingham Bears,PR Stirling,RM Yates,BWM Mike,0,0,,,,,,"",""
ball,1,1.2,Birmingham Bears,PR Stirling,RM Yates,BWM Mike,0,0,,,,,,"",""
ball,1,1.3,Birmingham Bears,PR Stirling,RM Yates,BWM Mike,0,1,,,,1,,"",""
ball,1,1.4,Birmingham Bears,RM Yates,PR Stirling,BWM Mike,0,1,1,,,,,"",""
ball,1,1.5,Birmingham Bears,RM Yates,PR Stirling,BWM Mike,4,0,,,,,,"",""
ball,1,1.6,Birmingham Bears,RM Yates,PR Stirling,BWM Mike,0,0,,,,,,caught,RM Yates
ball,1,1.7,Birmingham Bears,AL Davies,PR Stirling,BWM Mike,1,0,,,,,,"",""
ball,1,2.1,Birmingham Bears,AL Davies,PR Stirling,DJ Leech,4,0,,,,,,"",""
ball,1,2.2,Birmingham Bears,AL Davies,PR Stirling,DJ Leech,0,0,,,,,,"",""
ball,1,2.3,Birmingham Bears,AL Davies,PR Stirling,DJ Leech,0,0,,,,,,"",""
ball,1,2.4,Birmingham Bears,AL Davies,PR Stirling,DJ Leech,2,0,,,,,,"",""
ball,1,2.5,Birmingham Bears,AL Davies,PR Stirling,DJ Leech,1,0,,,,,,"",""
ball,1,2.6,Birmingham Bears,PR Stirling,AL Davies,DJ Leech,6,0,,,,,,"",""
ball,1,3.1,Birmingham Bears,AL Davies,PR Stirling,ML Revis,1,0,,,,,,"",""
ball,1,3.2,Birmingham Bears,PR Stirling,AL Davies,ML Revis,0,0,,,,,,"",""
ball,1,3.3,Birmingham Bears,PR Stirling,AL Davies,ML Revis,0,0,,,,,,"",""
