version,1.7.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Sydney Sixers
info,gender,female
info,season,2025/26
info,date,2025/11/09
info,event,Women's Big Bash League
info,match_number,3
info,venue,"Western Australia Cricket Association Ground, Perth"
info,city,Perth
info,toss_winner,Perth Scorchers
info,toss_decision,bat
info,player_of_match,A Gardner
info,umpire,Ahmad Khan
info,umpire,K Holloman
info,reserve_umpire,J Buscall
info,tv_umpire,Ashlee Gibbons
info,match_referee,CA Burke
info,winner,Sydney Sixers
info,winner_wickets,10
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,KM Mack
info,player,Perth Scorchers,M Hinkley
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,PJ Scholfield
info,player,Perth Scorchers,FG Kemp
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,AL Edgar
info,player,Perth Scorchers,E Hoskin
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,SIR Dunkley
info,player,Sydney Sixers,AC Kerr
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,EA Burns
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,MK Villiers
info,player,Sydney Sixers,E Manix-Geeves
info,player,Sydney Sixers,M Carmichael
info,player,Sydney Sixers,C Bray
info,player,Sydney Sixers,L Cheatle
info,registry,people,A Gardner,bc969efb
info,registry,people,A King,83558266
info,registry,people,AC Kerr,7673c908
info,registry,people,AL Edgar,795ff893
info,registry,people,Ahmad Khan,a63ceba6
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Bray,b54cc792
info,registry,people,CA Burke,629654e6
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,E Hoskin,cd2ad878
info,registry,people,E Manix-Geeves,5c225840
info,registry,people,EA Burns,2e0b6638
info,registry,people,EA Perry,be150fc8
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,J Buscall,abc082bf
info,registry,people,K Holloman,e386f555
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Cheatle,275dff85
info,registry,people,L Mills,c35a0b8a
info,registry,people,M Brown,78bec461
info,registry,people,M Carmichael,4b546c04
info,registry,people,M Hinkley,3812165d
info,registry,people,MK Villiers,cd62f670
info,registry,people,PJ Scholfield,588360ee
info,registry,people,SFM Devine,de69af96
info,registry,people,SIR Dunkley,3a9e9cb2
ball,1,0.1,Perth Scorchers,BL Mooney,KM Mack,L Cheatle,1,0,,,,,,"",""
ball,1,0.2,Perth Scorchers,KM Mack,BL Mooney,L Cheatle,0,0,,,,,,"",""
ball,1,0.3,Perth Scorchers,KM Mack,BL Mooney,L Cheatle,4,0,,,,,,"",""
ball,1,0.4,Perth Scorchers,KM Mack,BL Mooney,L Cheatle,0,0,,,,,,"",""
ball,1,0.5,Perth Scorchers,KM Mack,BL Mooney,L Cheatle,1,0,,,,,,"",""
ball,1,0.6,Perth Scorchers,BL Mooney,KM Mack,L Cheatle,0,0,,,,,,"",""
ball,1,1.1,Perth Scorchers,KM Mack,BL Mooney,M Brown,2,0,,,,,,"",""
ball,1,1.2,Perth Scorchers,KM Mack,BL Mooney,M Brown,0,0,,,,,,"",""
ball,1,1.3,Perth Scorchers,KM Mack,BL Mooney,M Brown,0,0,,,,,,"",""
ball,1,1.4,Perth Scorchers,KM Mack,BL Mooney,M Brown,1,0,,,,,,"",""
ball,1,1.5,Perth Scorchers,BL Mooney,KM Mack,M Brown,1,0,,,,,,"",""
ball,1,1.6,Perth Scorchers,KM Mack,BL Mooney,M Brown,2,0,,,,,,"",""
ball,1,2.1,Perth Scorchers,BL Mooney,KM Mack,AC Kerr,4,1,,1,,,,"",""
ball,1,2.2,Perth Scorchers,BL Mooney,KM Mack,AC Kerr,0,0,,,,,,"",""
ball,1,2.3,Perth Scorchers,BL Mooney,KM Mack,AC Kerr,1,0,,,,,,"",""
ball,1,2.4,Perth Scorchers,KM Mack,BL Mooney,AC Kerr,1,0,,,,,,"",""
ball,1,2.5,Perth Scorchers,BL Mooney,KM Mack,AC Kerr,0,0,,,,,,"",""
ball,1,2.6,Perth Scorchers,BL Mooney,KM Mack,AC Kerr,0,0,,,,,,run out,KM Mack
ball,1,2.7,Perth Scorchers,BL Mooney,M Hinkley,AC Kerr,2,0,,,,,,"",""
ball,1,3.1,Perth Scorchers,M Hinkley,BL Mooney,A Gardner,1,0,,,,,,"",""
ball,1,3.2,Perth Scorchers,BL Mooney,M Hinkley,A Gardner,1,0,,,,,,"",""
ball,1,3.3,Perth Scorchers,M Hinkley,BL Mooney,A Gardner,4,0,,,,,,"",""
ball,1,3.4,Perth Scorchers,M Hinkley,BL Mooney,A Gardner,0,0,,,,,,"",""
ball,1,3.5,Perth Scorchers,M Hinkley,BL Mooney,A Gardner,0,0,,,,,,"",""
