version,1.7.0
info,balls_per_over,6
info,team,Surrey
info,team,Warwickshire
info,gender,male
info,season,2025
info,date,2025/09/08
info,date,2025/09/09
info,date,2025/09/10
info,date,2025/09/11
info,event,County Championship
info,match_number,58
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Warwickshire
info,toss_decision,field
info,umpire,JD Shantry
info,umpire,MA Gough
info,match_referee,WR Smith
info,outcome,draw
info,player,Surrey,RJ Burns
info,player,Surrey,DP Sibley
info,player,Surrey,OJ Pope
info,player,Surrey,BT Foakes
info,player,Surrey,DW Lawrence
info,player,Surrey,RS Patel
info,player,Surrey,J Clark
info,player,Surrey,AAP Atkinson
info,player,Surrey,TE Lawes
info,player,Surrey,MD Fisher
info,player,Surrey,DJ Worrall
info,player,Warwickshire,RM Yates
info,player,Warwickshire,AL Davies
info,player,Warwickshire,WA Young
info,player,Warwickshire,SR Hain
info,player,Warwickshire,Z Malik
info,player,Warwickshire,EG Barnard
info,player,Warwickshire,DR Mousley
info,player,Warwickshire,MG Booth
info,player,Warwickshire,ER Bamber
info,player,Warwickshire,OJ Hannon-Dalby
info,player,Warwickshire,NN Gilchrist
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AL Davies,29ede60b
info,registry,people,BT Foakes,fd770945
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DP Sibley,97e434a6
info,registry,people,DR Mousley,876dbe2d
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,EG Barnard,a510bdd3
info,registry,people,ER Bamber,948beb1f
info,registry,people,J Clark,c672e80e
info,registry,people,JD Shantry,70fdd428
info,registry,people,MA Gough,76752ac8
info,registry,people,MD Fisher,8f2dfebf
info,registry,people,MG Booth,92205bc7
info,registry,people,NN Gilchrist,93cad673
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,OJ Pope,e94bc520
info,registry,people,RJ Burns,29e8a62e
info,registry,people,RM Yates,3581a798
info,registry,people,RS Patel,97905e64
info,registry,people,SR Hain,67b9536c
info,registry,people,TE Lawes,fe2ac1a8
info,registry,people,WA Young,8afe73e2
info,registry,people,WR Smith,ad962377
info,registry,people,Z Malik,1732cd55
ball,1,0.1,Surrey,RJ Burns,DP Sibley,ER Bamber,0,0,,,,,,"",""
ball,1,0.2,Surrey,RJ Burns,DP Sibley,ER Bamber,0,0,,,,,,"",""
ball,1,0.3,Surrey,RJ Burns,DP Sibley,ER Bamber,1,0,,,,,,"",""
ball,1,0.4,Surrey,DP Sibley,RJ Burns,ER Bamber,0,0,,,,,,"",""
ball,1,0.5,Surrey,DP Sibley,RJ Burns,ER Bamber,1,0,,,,,,"",""
ball,1,0.6,Surrey,RJ Burns,DP Sibley,ER Bamber,0,0,,,,,,"",""
ball,1,1.1,Surrey,DP Sibley,RJ Burns,OJ Hannon-Dalby,1,0,,,,,,"",""
ball,1,1.2,Surrey,RJ Burns,DP Sibley,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.3,Surrey,RJ Burns,DP Sibley,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.4,Surrey,RJ Burns,DP Sibley,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.5,Surrey,RJ Burns,DP Sibley,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,1.6,Surrey,RJ Burns,DP Sibley,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,2.1,Surrey,DP Sibley,RJ Burns,ER Bamber,4,0,,,,,,"",""
ball,1,2.2,Surrey,DP Sibley,RJ Burns,ER Bamber,0,0,,,,,,"",""
ball,1,2.3,Surrey,DP Sibley,RJ Burns,ER Bamber,0,0,,,,,,"",""
ball,1,2.4,Surrey,DP Sibley,RJ Burns,ER Bamber,0,0,,,,,,"",""
ball,1,2.5,Surrey,DP Sibley,RJ Burns,ER Bamber,0,0,,,,,,"",""
ball,1,2.6,Surrey,DP Sibley,RJ Burns,ER Bamber,0,0,,,,,,caught,DP Sibley
ball,1,3.1,Surrey,RJ Burns,OJ Pope,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,3.2,Surrey,RJ Burns,OJ Pope,OJ Hannon-Dalby,0,0,,,,,,"",""
ball,1,3.3,Surrey,RJ Burns,OJ Pope,OJ Hannon-Dalby,0,0,,,,,,"",""
