version,1.7.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Delhi Capitals
info,gender,female
info,season,2024/25
info,date,2025/02/28
info,event,Women's Premier League
info,match_number,13
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,JL Jonassen
info,umpire,KM Gandhi
info,umpire,VG Rathi
info,reserve_umpire,AS Guha
info,tv_umpire,K Kelkar
info,match_referee,VR Nagre
info,winner,Delhi Capitals
info,winner_wickets,9
info,player,Mumbai Indians,YH Bhatia
info,player,Mumbai Indians,HK Matthews
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,G Kamalini
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,JN Kalita
info,player,Mumbai Indians,S Ismail
info,player,Delhi Capitals,MM Lanning
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,JL Jonassen
info,player,Delhi Capitals,A Sutherland
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,SJ Bryce
info,player,Delhi Capitals,NS Prasad
info,player,Delhi Capitals,M Mani
info,player,Delhi Capitals,TR Sadhu
info,player,Delhi Capitals,S Pandey
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,AS Guha,c21b184d
info,registry,people,G Kamalini,2a5ed897
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Jonassen,0475a86b
info,registry,people,JN Kalita,4c3bbf03
info,registry,people,K Kelkar,1d88908d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Mani,8d1ade08
info,registry,people,MM Lanning,27e003ce
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,NS Prasad,f903aec2
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ismail,108c4c09
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Sajana,a4dcac97
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TR Sadhu,25ca0573
info,registry,people,VG Rathi,144e5b16
info,registry,people,VR Nagre,fadaac76
info,registry,people,YH Bhatia,9c3d4e8a
ball,1,0.1,Mumbai Indians,YH Bhatia,HK Matthews,M Kapp,4,0,,,,,,"",""
ball,1,0.2,Mumbai Indians,YH Bhatia,HK Matthews,M Kapp,1,0,,,,,,"",""
ball,1,0.3,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,4,0,,,,,,"",""
ball,1,0.4,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,0,0,,,,,,"",""
ball,1,0.5,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,1,0,,,,,,"",""
ball,1,0.6,Mumbai Indians,YH Bhatia,HK Matthews,M Kapp,0,0,,,,,,"",""
ball,1,1.1,Mumbai Indians,HK Matthews,YH Bhatia,S Pandey,0,0,,,,,,"",""
ball,1,1.2,Mumbai Indians,HK Matthews,YH Bhatia,S Pandey,0,0,,,,,,"",""
ball,1,1.3,Mumbai Indians,HK Matthews,YH Bhatia,S Pandey,0,1,,,,1,,"",""
ball,1,1.4,Mumbai Indians,YH Bhatia,HK Matthews,S Pandey,0,0,,,,,,"",""
ball,1,1.5,Mumbai Indians,YH Bhatia,HK Matthews,S Pandey,0,0,,,,,,"",""
ball,1,1.6,Mumbai Indians,YH Bhatia,HK Matthews,S Pandey,6,0,,,,,,"",""
ball,1,2.1,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,0,0,,,,,,"",""
ball,1,2.2,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,0,0,,,,,,"",""
ball,1,2.3,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,0,0,,,,,,"",""
ball,1,2.4,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,1,0,,,,,,"",""
ball,1,2.5,Mumbai Indians,YH Bhatia,HK Matthews,M Kapp,0,1,,,,1,,"",""
ball,1,2.6,Mumbai Indians,HK Matthews,YH Bhatia,M Kapp,1,0,,,,,,"",""
ball,1,3.1,Mumbai Indians,HK Matthews,YH Bhatia,JL Jonassen,4,0,,,,,,"",""
ball,1,3.2,Mumbai Indians,HK Matthews,YH Bhatia,JL Jonassen,4,0,,,,,,"",""
ball,1,3.3,Mumbai Indians,HK Matthews,YH Bhatia,JL Jonassen,0,0,,,,,,"",""
ball,1,3.4,Mumbai Indians,HK Matthews,YH Bhatia,JL Jonassen,2,0,,,,,,"",""
ball,1,3.5,Mumbai Indians,HK Matthews,YH Bhatia,JL Jonassen,0,0,,,,,,"",""
ball,1,3.6,Mumbai Indians,HK Matthews,YH Bhatia,JL Jonassen,1,0,,,,,,"",""
