version,1.6.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Perth Scorchers
info,gender,female
info,season,2020/21
info,date,2020/11/21
info,event,Women's Big Bash League
info,match_number,51
info,venue,North Sydney Oval
info,city,Sydney
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,SFM Devine
info,umpire,CA Polosak
info,umpire,Eloise Sheridan
info,tv_umpire,AK Wilds
info,match_referee,Dave Gilbert
info,winner,Perth Scorchers
info,winner_wickets,10
info,player,Hobart Hurricanes,RH Priest
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,CL Hall
info,player,Hobart Hurricanes,CL Tryon
info,player,Hobart Hurricanes,NE Stalenberg
info,player,Hobart Hurricanes,E Thompson
info,player,Hobart Hurricanes,HNK Jensen
info,player,Hobart Hurricanes,SK Moloney
info,player,Hobart Hurricanes,CL Rafferty
info,player,Hobart Hurricanes,B Vakarewa
info,player,Hobart Hurricanes,A Smith
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,AE Jones
info,player,Perth Scorchers,C Piparo
info,player,Perth Scorchers,H Graham
info,player,Perth Scorchers,NE Bolton
info,player,Perth Scorchers,M Carmichael
info,player,Perth Scorchers,S Glenn
info,player,Perth Scorchers,T Peschel
info,player,Perth Scorchers,P Cleary
info,player,Perth Scorchers,SM Betts
info,registry,people,A Smith,b125ce63
info,registry,people,AE Jones,b05e45e4
info,registry,people,AK Wilds,de412f40
info,registry,people,B Vakarewa,06f988b8
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Piparo,276f3dde
info,registry,people,CA Polosak,26a360d2
info,registry,people,CL Hall,6026e2ae
info,registry,people,CL Rafferty,14a760dc
info,registry,people,CL Tryon,4d4605e6
info,registry,people,Dave Gilbert,aa782370
info,registry,people,E Thompson,a7c3c366
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,H Graham,99812d10
info,registry,people,HNK Jensen,b8cce99f
info,registry,people,M Carmichael,4b546c04
info,registry,people,NE Bolton,dd883071
info,registry,people,NE Stalenberg,609c519e
info,registry,people,NJ Carey,dff806f4
info,registry,people,P Cleary,507acf2e
info,registry,people,RH Priest,e6f0408a
info,registry,people,S Glenn,b34e0c77
info,registry,people,SFM Devine,de69af96
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,SM Betts,c4fd751d
info,registry,people,T Peschel,923402d8
ball,1,0.1,Hobart Hurricanes,RH Priest,NJ Carey,NE Bolton,0,0,,,,,,"",""
ball,1,0.2,Hobart Hurricanes,RH Priest,NJ Carey,NE Bolton,0,0,,,,,,"",""
ball,1,0.3,Hobart Hurricanes,RH Priest,NJ Carey,NE Bolton,0,0,,,,,,"",""
ball,1,0.4,Hobart Hurricanes,RH Priest,NJ Carey,NE Bolton,0,0,,,,,,"",""
ball,1,0.5,Hobart Hurricanes,RH Priest,NJ Carey,NE Bolton,4,0,,,,,,"",""
ball,1,0.6,Hobart Hurricanes,RH Priest,NJ Carey,NE Bolton,4,0,,,,,,"",""
ball,1,1.1,Hobart Hurricanes,NJ Carey,RH Priest,T Peschel,0,0,,,,,,"",""
ball,1,1.2,Hobart Hurricanes,NJ Carey,RH Priest,T Peschel,1,0,,,,,,"",""
ball,1,1.3,Hobart Hurricanes,RH Priest,NJ Carey,T Peschel,0,0,,,,,,caught,RH Priest
ball,1,1.4,Hobart Hurricanes,CL Hall,NJ Carey,T Peschel,1,0,,,,,,"",""
ball,1,1.5,Hobart Hurricanes,NJ Carey,CL Hall,T Peschel,1,0,,,,,,"",""
ball,1,1.6,Hobart Hurricanes,CL Hall,NJ Carey,T Peschel,1,0,,,,,,"",""
ball,1,2.1,Hobart Hurricanes,CL Hall,NJ Carey,P Cleary,0,0,,,,,,"",""
ball,1,2.2,Hobart Hurricanes,CL Hall,NJ Carey,P Cleary,0,0,,,,,,"",""
ball,1,2.3,Hobart Hurricanes,CL Hall,NJ Carey,P Cleary,4,0,,,,,,"",""
ball,1,2.4,Hobart Hurricanes,CL Hall,NJ Carey,P Cleary,0,1,1,,,,,"",""
ball,1,2.5,Hobart Hurricanes,CL Hall,NJ Carey,P Cleary,0,0,,,,,,"",""
ball,1,2.6,Hobart Hurricanes,CL Hall,NJ Carey,P Cleary,4,0,,,,,,"",""
ball,1,2.7,Hobart Hurricanes,CL Hall,NJ Carey,P Cleary,0,0,,,,,,"",""
ball,1,3.1,Hobart Hurricanes,NJ Carey,CL Hall,S Glenn,0,0,,,,,,"",""
ball,1,3.2,Hobart Hurricanes,NJ Carey,CL Hall,S Glenn,1,0,,,,,,"",""
ball,1,3.3,Hobart Hurricanes,CL Hall,NJ Carey,S Glenn,0,0,,,,,,"",""
ball,1,3.4,Hobart Hurricanes,CL Hall,NJ Carey,S Glenn,1,0,,,,,,"",""
