version,1.7.0
info,balls_per_over,6
info,team,Melbourne Stars
info,team,Brisbane Heat
info,gender,female
info,season,2025/26
info,date,2025/11/23
info,event,Women's Big Bash League
info,match_number,22
info,venue,"Allan Border Field, Brisbane"
info,city,Brisbane
info,toss_winner,Melbourne Stars
info,toss_decision,bat
info,player_of_match,M Kapp
info,umpire,K White
info,umpire,N James
info,reserve_umpire,T Pascoe
info,tv_umpire,D Brigham
info,match_referee,J Broadbent
info,winner,Melbourne Stars
info,winner_runs,18
info,player,Melbourne Stars,MM Lanning
info,player,Melbourne Stars,R McKenna
info,player,Melbourne Stars,AE Jones
info,player,Melbourne Stars,A Sutherland
info,player,Melbourne Stars,M Kapp
info,player,Melbourne Stars,KJ Garth
info,player,Melbourne Stars,SK Moloney
info,player,Melbourne Stars,DR Gibson
info,player,Melbourne Stars,G Prestwidge
info,player,Melbourne Stars,ML Gibson
info,player,Melbourne Stars,S Day
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,GM Harris
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,CA Henry
info,player,Brisbane Heat,N de Klerk
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,L Winfield-Hill
info,player,Brisbane Heat,A O'Neil
info,player,Brisbane Heat,ML Wrigley
info,player,Brisbane Heat,NM Hancock
info,player,Brisbane Heat,LK Hamilton
info,registry,people,A O'Neil,4f2cf3ed
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AE Jones,b05e45e4
info,registry,people,CA Henry,75820733
info,registry,people,CR Knott,d7ff1adc
info,registry,people,D Brigham,464daf41
info,registry,people,DR Gibson,d2763568
info,registry,people,G Prestwidge,c218e4e7
info,registry,people,G Redmayne,324b9eee
info,registry,people,GM Harris,72166006
info,registry,people,J Broadbent,f3266bb5
info,registry,people,JL Jonassen,0475a86b
info,registry,people,K White,5766214d
info,registry,people,KJ Garth,0b69a844
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,LK Hamilton,c347ffe6
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ML Gibson,27fa592f
info,registry,people,ML Wrigley,0b71685d
info,registry,people,MM Lanning,27e003ce
info,registry,people,N James,3de4511d
info,registry,people,N de Klerk,ea544967
info,registry,people,NM Hancock,af8c3a85
info,registry,people,R McKenna,f7e41cd8
info,registry,people,S Day,c3d27d76
info,registry,people,SK Moloney,a0bc8dc1
info,registry,people,T Pascoe,7d5ad51c
ball,1,0.1,Melbourne Stars,MM Lanning,R McKenna,LK Hamilton,0,0,,,,,,"",""
ball,1,0.2,Melbourne Stars,MM Lanning,R McKenna,LK Hamilton,0,0,,,,,,"",""
ball,1,0.3,Melbourne Stars,MM Lanning,R McKenna,LK Hamilton,4,0,,,,,,"",""
ball,1,0.4,Melbourne Stars,MM Lanning,R McKenna,LK Hamilton,2,0,,,,,,"",""
ball,1,0.5,Melbourne Stars,MM Lanning,R McKenna,LK Hamilton,0,0,,,,,,"",""
ball,1,0.6,Melbourne Stars,MM Lanning,R McKenna,LK Hamilton,0,0,,,,,,"",""
ball,1,1.1,Melbourne Stars,R McKenna,MM Lanning,CA Henry,0,0,,,,,,"",""
ball,1,1.2,Melbourne Stars,R McKenna,MM Lanning,CA Henry,0,0,,,,,,caught,R McKenna
ball,1,1.3,Melbourne Stars,AE Jones,MM Lanning,CA Henry,0,0,,,,,,"",""
ball,1,1.4,Melbourne Stars,AE Jones,MM Lanning,CA Henry,0,0,,,,,,"",""
ball,1,1.5,Melbourne Stars,AE Jones,MM Lanning,CA Henry,0,0,,,,,,"",""
ball,1,1.6,Melbourne Stars,AE Jones,MM Lanning,CA Henry,4,0,,,,,,"",""
ball,1,2.1,Melbourne Stars,MM Lanning,AE Jones,LK Hamilton,0,0,,,,,,"",""
ball,1,2.2,Melbourne Stars,MM Lanning,AE Jones,LK Hamilton,6,0,,,,,,"",""
ball,1,2.3,Melbourne Stars,MM Lanning,AE Jones,LK Hamilton,1,0,,,,,,"",""
ball,1,2.4,Melbourne Stars,AE Jones,MM Lanning,LK Hamilton,1,0,,,,,,"",""
ball,1,2.5,Melbourne Stars,MM Lanning,AE Jones,LK Hamilton,0,0,,,,,,caught,MM Lanning
ball,1,2.6,Melbourne Stars,A Sutherland,AE Jones,LK Hamilton,0,0,,,,,,"",""
ball,1,3.1,Melbourne Stars,AE Jones,A Sutherland,CA Henry,0,0,,,,,,"",""
ball,1,3.2,Melbourne Stars,AE Jones,A Sutherland,CA Henry,0,0,,,,,,"",""
ball,1,3.3,Melbourne Stars,AE Jones,A Sutherland,CA Henry,4,0,,,,,,"",""
ball,1,3.4,Melbourne Stars,AE Jones,A Sutherland,CA Henry,2,0,,,,,,"",""
ball,1,3.5,Melbourne Stars,AE Jones,A Sutherland,CA Henry,4,0,,,,,,"",""
ball,1,3.6,Melbourne Stars,AE Jones,A Sutherland,CA Henry,0,0,,,,,,"",""
ball,1,4.1,Melbourne Stars,A Sutherland,AE Jones,JL Jonassen,0,1,,,,1,,"",""
ball,1,4.2,Melbourne Stars,AE Jones,A Sutherland,JL Jonassen,0,0,,,,,,caught,AE Jones
ball,1,4.3,Melbourne Stars,M Kapp,A Sutherland,JL Jonassen,1,0,,,,,,"",""
ball,1,4.4,Melbourne Stars,A Sutherland,M Kapp,JL Jonassen,0,1,1,,,,,"",""
ball,1,4.5,Melbourne Stars,A Sutherland,M Kapp,JL Jonassen,2,0,,,,,,"",""
