version,1.6.0
info,balls_per_over,6
info,team,Guyana Amazon Warriors
info,team,Trinbago Knight Riders
info,gender,male
info,season,2019
info,date,2019/09/30
info,event,Caribbean Premier League
info,match_number,27
info,venue,"Queen's Park Oval, Port of Spain"
info,city,Trinidad
info,toss_winner,Trinbago Knight Riders
info,toss_decision,field
info,player_of_match,R Shepherd
info,umpire,LS Reifer
info,umpire,S George
info,reserve_umpire,Danesh Ramdhanie
info,tv_umpire,Zahid Bassarath
info,match_referee,SJA Taufel
info,winner,Guyana Amazon Warriors
info,winner_runs,19
info,player,Guyana Amazon Warriors,BA King
info,player,Guyana Amazon Warriors,C Hemraj
info,player,Guyana Amazon Warriors,SO Hetmyer
info,player,Guyana Amazon Warriors,N Pooran
info,player,Guyana Amazon Warriors,Shoaib Malik
info,player,Guyana Amazon Warriors,SE Rutherford
info,player,Guyana Amazon Warriors,R Shepherd
info,player,Guyana Amazon Warriors,KMA Paul
info,player,Guyana Amazon Warriors,CJ Green
info,player,Guyana Amazon Warriors,B Laughlin
info,player,Guyana Amazon Warriors,Imran Tahir
info,player,Trinbago Knight Riders,LMP Simmons
info,player,Trinbago Knight Riders,M Deyal
info,player,Trinbago Knight Riders,C Munro
info,player,Trinbago Knight Riders,DM Bravo
info,player,Trinbago Knight Riders,D Ramdin
info,player,Trinbago Knight Riders,KA Pollard
info,player,Trinbago Knight Riders,JDS Neesham
info,player,Trinbago Knight Riders,JPR Scantlebury-Searles
info,player,Trinbago Knight Riders,K Pierre
info,player,Trinbago Knight Riders,Ali Khan
info,player,Trinbago Knight Riders,CJ Jordan
info,registry,people,Ali Khan,b0eaaac6
info,registry,people,B Laughlin,b2a79f17
info,registry,people,BA King,7fca84b7
info,registry,people,C Hemraj,9d450c28
info,registry,people,C Munro,af2c687b
info,registry,people,CJ Green,19b9f399
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,D Ramdin,d1523761
info,registry,people,DM Bravo,14b14cd8
info,registry,people,Danesh Ramdhanie,d09891ad
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JPR Scantlebury-Searles,99ed60f8
info,registry,people,K Pierre,a61bcb94
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KMA Paul,75224f22
info,registry,people,LMP Simmons,89f64c19
info,registry,people,LS Reifer,5dee559a
info,registry,people,M Deyal,7183799b
info,registry,people,N Pooran,3241e3fd
info,registry,people,R Shepherd,c5aef772
info,registry,people,S George,6d9e5a54
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Zahid Bassarath,ca6bf044
ball,1,0.1,Guyana Amazon Warriors,BA King,C Hemraj,K Pierre,0,0,,,,,,"",""
ball,1,0.2,Guyana Amazon Warriors,BA King,C Hemraj,K Pierre,1,0,,,,,,"",""
ball,1,0.3,Guyana Amazon Warriors,C Hemraj,BA King,K Pierre,0,0,,,,,,"",""
ball,1,0.4,Guyana Amazon Warriors,C Hemraj,BA King,K Pierre,0,0,,,,,,"",""
ball,1,0.5,Guyana Amazon Warriors,C Hemraj,BA King,K Pierre,0,0,,,,,,"",""
ball,1,0.6,Guyana Amazon Warriors,C Hemraj,BA King,K Pierre,0,0,,,,,,"",""
ball,1,1.1,Guyana Amazon Warriors,BA King,C Hemraj,Ali Khan,0,0,,,,,,"",""
ball,1,1.2,Guyana Amazon Warriors,BA King,C Hemraj,Ali Khan,0,0,,,,,,"",""
ball,1,1.3,Guyana Amazon Warriors,BA King,C Hemraj,Ali Khan,0,0,,,,,,"",""
ball,1,1.4,Guyana Amazon Warriors,BA King,C Hemraj,Ali Khan,0,0,,,,,,"",""
ball,1,1.5,Guyana Amazon Warriors,BA King,C Hemraj,Ali Khan,0,0,,,,,,"",""
ball,1,1.6,Guyana Amazon Warriors,BA King,C Hemraj,Ali Khan,0,1,1,,,,,"",""
ball,1,1.7,Guyana Amazon Warriors,BA King,C Hemraj,Ali Khan,1,0,,,,,,"",""
ball,1,2.1,Guyana Amazon Warriors,BA King,C Hemraj,K Pierre,4,0,,,,,,"",""
ball,1,2.2,Guyana Amazon Warriors,BA King,C Hemraj,K Pierre,6,0,,,,,,"",""
ball,1,2.3,Guyana Amazon Warriors,BA King,C Hemraj,K Pierre,0,0,,,,,,caught,BA King
ball,1,2.4,Guyana Amazon Warriors,C Hemraj,SO Hetmyer,K Pierre,1,0,,,,,,"",""
ball,1,2.5,Guyana Amazon Warriors,SO Hetmyer,C Hemraj,K Pierre,4,0,,,,,,"",""
ball,1,2.6,Guyana Amazon Warriors,SO Hetmyer,C Hemraj,K Pierre,0,0,,,,,,"",""
ball,1,3.1,Guyana Amazon Warriors,C Hemraj,SO Hetmyer,Ali Khan,0,0,,,,,,"",""
ball,1,3.2,Guyana Amazon Warriors,C Hemraj,SO Hetmyer,Ali Khan,4,0,,,,,,"",""
ball,1,3.3,Guyana Amazon Warriors,C Hemraj,SO Hetmyer,Ali Khan,0,0,,,,,,"",""
ball,1,3.4,Guyana Amazon Warriors,C Hemraj,SO Hetmyer,Ali Khan,0,0,,,,,,"",""
ball,1,3.5,Guyana Amazon Warriors,C Hemraj,SO Hetmyer,Ali Khan,1,0,,,,,,"",""
ball,1,3.6,Guyana Amazon Warriors,SO Hetmyer,C Hemraj,Ali Khan,0,0,,,,,,"",""
