version,1.7.0
info,balls_per_over,6
info,team,MI Cape Town
info,team,Paarl Royals
info,gender,male
info,season,2025/26
info,date,2026/01/04
info,event,SA20
info,match_number,13
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,bat
info,player_of_match,Sikandar Raza
info,umpire,A Paleker
info,umpire,Siphelele Gasa
info,reserve_umpire,AM Sodumo
info,tv_umpire,M Erasmus
info,match_referee,SA Fritz
info,winner,Paarl Royals
info,winner_wickets,7
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,RR Hendricks
info,player,MI Cape Town,N Pooran
info,player,MI Cape Town,JF Smith
info,player,MI Cape Town,TJ Moores
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,C Bosch
info,player,MI Cape Town,K Rabada
info,player,MI Cape Town,TA Boult
info,player,Paarl Royals,LG Pretorius
info,player,Paarl Royals,AM Tribe
info,player,Paarl Royals,RA Herman
info,player,Paarl Royals,K Verreynne
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,Sikandar Raza
info,player,Paarl Royals,D Potgieter
info,player,Paarl Royals,Mujeeb Ur Rahman
info,player,Paarl Royals,N Mokoena
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,OEG Baartman
info,registry,people,A Paleker,634b11ac
info,registry,people,AM Sodumo,cc6850ec
info,registry,people,AM Tribe,86f84b37
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,C Bosch,172dff15
info,registry,people,D Potgieter,60fbf53a
info,registry,people,DA Miller,d67d5f00
info,registry,people,GF Linde,e5437608
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JF Smith,91cd48e0
info,registry,people,K Rabada,e62dd25d
info,registry,people,K Verreynne,bf814547
info,registry,people,LG Pretorius,60aa2db3
info,registry,people,M Erasmus,15d3c895
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,N Mokoena,201facae
info,registry,people,N Pooran,3241e3fd
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,RA Herman,9c821d2e
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Siphelele Gasa,e50baa87
info,registry,people,TA Boult,a818c1be
info,registry,people,TJ Moores,85dcb721
ball,1,0.1,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,1,0,,,,,,"",""
ball,1,0.2,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,0,0,,,,,,"",""
ball,1,0.3,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,0,0,,,,,,"",""
ball,1,0.4,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,0,0,,,,,,"",""
ball,1,0.5,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,1,0,,,,,,"",""
ball,1,0.6,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,1,0,,,,,,"",""
ball,1,1.1,MI Cape Town,RD Rickelton,HE van der Dussen,N Mokoena,2,0,,,,,,"",""
ball,1,1.2,MI Cape Town,RD Rickelton,HE van der Dussen,N Mokoena,0,0,,,,,,"",""
ball,1,1.3,MI Cape Town,RD Rickelton,HE van der Dussen,N Mokoena,0,0,,,,,,"",""
ball,1,1.4,MI Cape Town,RD Rickelton,HE van der Dussen,N Mokoena,0,0,,,,,,"",""
ball,1,1.5,MI Cape Town,RD Rickelton,HE van der Dussen,N Mokoena,0,0,,,,,,"",""
ball,1,1.6,MI Cape Town,RD Rickelton,HE van der Dussen,N Mokoena,0,0,,,,,,"",""
ball,1,2.1,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,1,0,,,,,,"",""
ball,1,2.2,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,6,0,,,,,,"",""
ball,1,2.3,MI Cape Town,RD Rickelton,HE van der Dussen,BC Fortuin,1,0,,,,,,"",""
ball,1,2.4,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,0,0,,,,,,"",""
ball,1,2.5,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,6,0,,,,,,"",""
ball,1,2.6,MI Cape Town,HE van der Dussen,RD Rickelton,BC Fortuin,1,0,,,,,,"",""
ball,1,3.1,MI Cape Town,HE van der Dussen,RD Rickelton,OEG Baartman,1,0,,,,,,"",""
ball,1,3.2,MI Cape Town,RD Rickelton,HE van der Dussen,OEG Baartman,0,0,,,,,,"",""
ball,1,3.3,MI Cape Town,RD Rickelton,HE van der Dussen,OEG Baartman,0,0,,,,,,"",""
ball,1,3.4,MI Cape Town,RD Rickelton,HE van der Dussen,OEG Baartman,0,0,,,,,,"",""
ball,1,3.5,MI Cape Town,RD Rickelton,HE van der Dussen,OEG Baartman,0,0,,,,,,"",""
ball,1,3.6,MI Cape Town,RD Rickelton,HE van der Dussen,OEG Baartman,1,0,,,,,,"",""
ball,1,4.1,MI Cape Town,RD Rickelton,HE van der Dussen,Sikandar Raza,1,0,,,,,,"",""
ball,1,4.2,MI Cape Town,HE van der Dussen,RD Rickelton,Sikandar Raza,4,0,,,,,,"",""
ball,1,4.3,MI Cape Town,HE van der Dussen,RD Rickelton,Sikandar Raza,0,0,,,,,,caught,HE van der Dussen
ball,1,4.4,MI Cape Town,RR Hendricks,RD Rickelton,Sikandar Raza,0,0,,,,,,"",""
ball,1,4.5,MI Cape Town,RR Hendricks,RD Rickelton,Sikandar Raza,0,0,,,,,,"",""
ball,1,4.6,MI Cape Town,RR Hendricks,RD Rickelton,Sikandar Raza,0,0,,,,,,"",""
ball,1,5.1,MI Cape Town,RD Rickelton,RR Hendricks,N Mokoena,4,0,,,,,,"",""
ball,1,5.2,MI Cape Town,RD Rickelton,RR Hendricks,N Mokoena,0,0,,,,,,caught,RD Rickelton
